q2_deg,q1_deg,robot_only_rank,augmented_admissible_rank,contact_mode,robot_only_force_n,robot_only_force_norm_n,minimum_robot_force_n,minimum_robot_force_norm_n,bed_reactions_n,force_reserve_n,classification
0.0,0.0,1,1,thigh_0.00,[0.0;31.576789371019846],31.576789371019846,[0.0;31.576789371019835],31.576789371019835,{"thigh_0.00":0.0},None,RANK_OR_UNILATERAL_INCOMPATIBLE
0.25,0.11960984772699138,2,2,thigh_0.00,[26968.9370870359;23.86232583154596],26968.94764381982,[26968.937087035898;23.86232583154596],26968.947643819814,{"thigh_0.00":0.0},-26768.947643819814,FORCE_LIMIT_INFEASIBLE
0.5,0.23921964423853986,2,2,thigh_0.00,[11154.857797283314;25.446643383543723],11154.886821894332,[11154.857797283315;25.446643383543723],11154.886821894333,{"thigh_0.00":0.0},-10954.886821894333,FORCE_LIMIT_INFEASIBLE
0.7130271235631903,0.3411400890047311,2,2,thigh_0.00,[6550.683640038006;26.754925568806353],6550.738277316823,[6550.683640038006;26.75492556880635],6550.738277316823,{"thigh_0.00":0.0},-6350.738277316823,FORCE_LIMIT_INFEASIBLE
0.75,0.35882933831725783,2,2,thigh_0.00,[6028.312402201941;26.978079240864123],6028.37276844268,[6028.312402201942;26.97807924086412],6028.37276844268,{"thigh_0.00":0.0},-5828.37276844268,FORCE_LIMIT_INFEASIBLE
1.0,0.47843887874186797,2,2,thigh_0.00,[3567.9400889300723;28.45661713651886],3568.0535670380827,[3567.940088930074;28.456617136518858],3568.0535670380846,{"thigh_0.00":0.0},-3368.0535670380846,FORCE_LIMIT_INFEASIBLE
1.25,0.5980482142852583,2,2,thigh_0.00,[2169.469370806376;29.882239438872855],2169.6751598110013,[2169.4693708063787;29.88223943887285],2169.675159811004,{"thigh_0.00":0.0},-1969.675159811004,FORCE_LIMIT_INFEASIBLE
1.5,0.7176572937125366,2,2,thigh_0.00,[1298.1435889261563;31.254927140063504],1298.5197911239597,[1298.143588926157;31.2549271400635],1298.5197911239604,{"thigh_0.00":0.0},-1098.5197911239604,FORCE_LIMIT_INFEASIBLE
1.75,0.8372660657790828,2,2,thigh_0.00,[724.7816980826564;32.57465984434516],725.5133481470576,[724.7816980826376;32.57465984434545],725.5133481470389,{"thigh_0.00":0.0},-525.5133481470389,FORCE_LIMIT_INFEASIBLE
2.0,0.9568744792286041,2,2,thigh_0.00,[334.79346325551444;33.84141575635697],336.49948656575407,[334.7934632555149;33.841415756356966],336.4994865657545,{"thigh_0.00":0.0},-136.49948656575452,FORCE_LIMIT_INFEASIBLE
2.25,1.0764824827911852,2,2,thigh_0.00,[64.517858442066;35.05517166931195],73.42628356872898,[64.51785844206601;35.05517166931195],73.42628356872899,{"thigh_0.00":0.0},126.57371643127101,ROBOT_ONLY_FEASIBLE
2.5,1.1960900251813398,2,2,thigh_0.00,[-124.2415738093284;36.215902953105704],129.4123652875859,[-124.24157380932847;36.215902953105704],129.41236528758597,{"thigh_0.00":0.0},70.58763471241403,ROBOT_ONLY_FEASIBLE
2.75,1.31569705509606,2,2,thigh_0.00,[-255.79155897503932;37.3235835423421],258.5002350701508,[-255.79155897503932;37.32358354234211],258.5002350701508,{"thigh_0.00":0.0},-58.50023507015078,FORCE_LIMIT_INFEASIBLE
3.0,1.4353035212128658,2,2,thigh_0.00,[-346.336508844776;38.37818592427481],348.4563997311942,[-346.33650884477595;38.37818592427481],348.45639973119415,{"thigh_0.00":0.0},-148.45639973119415,FORCE_LIMIT_INFEASIBLE
3.25,1.5549093721878486,2,2,thigh_0.00,[-407.09482367827064;39.3796811266619],408.9950546782685,[-407.0948236782706;39.3796811266619],408.99505467826845,{"thigh_0.00":0.0},-208.99505467826845,FORCE_LIMIT_INFEASIBLE
3.5,1.67451455665372,2,2,thigh_0.00,[-446.07963629661924;40.32803870553202],447.8988642811667,[-446.079636296616;40.32803870553193],447.89886428116347,{"thigh_0.00":0.0},-247.89886428116347,FORCE_LIMIT_INFEASIBLE
3.75,1.7941190232178512,2,2,thigh_0.00,[-469.1672585393153;41.22322673285987],470.9748092069952,[-469.1672585393153;41.22322673285987],470.9748092069952,{"thigh_0.00":0.0},-270.9748092069952,FORCE_LIMIT_INFEASIBLE
4.0,1.9137227204603184,2,2,thigh_0.00,[-480.7649603025084;42.06521178414888],482.6017292728216,[-480.7649603025084;42.06521178414887],482.6017292728216,{"thigh_0.00":0.0},-282.6017292728216,FORCE_LIMIT_INFEASIBLE
4.25,2.0333255969319355,2,2,thigh_0.00,[-484.2430618608366;42.85395892591945],486.13558268859765,[-484.243061860833;42.853958925919315],486.13558268859407,{"thigh_0.00":0.0},-286.13558268859407,FORCE_LIMIT_INFEASIBLE
4.5,2.1529276011522955,2,2,thigh_0.00,[-482.22299541855926;43.58943170310016],484.18907037091105,[-482.2229954185593;43.58943170310017],484.1890703709111,{"thigh_0.00":0.0},-284.1890703709111,FORCE_LIMIT_INFEASIBLE
4.75,2.2725286816078043,2,2,thigh_0.00,[-476.77439985859127;44.2715921263203],478.8254402492824,[-476.7743998585892;44.27159212632026],478.82544024928035,{"thigh_0.00":0.0},-278.82544024928035,FORCE_LIMIT_INFEASIBLE
5.0,2.3921287867497067,2,2,thigh_0.00,[-469.5530870705875;44.900400659101294],471.6949730035996,[-469.5530870705875;44.9004006591013],471.6949730035996,{"thigh_0.00":0.0},-271.6949730035996,FORCE_LIMIT_INFEASIBLE
