material,arc_deg,w_time,status,ks_final,ks_max_equiv,rms,viol,dist_viol_upper,dist_viol_lower,gpr_usage_pct,r_mean,r_std,total_steps,arc_steps
"线性(ks=30,对照)",30,0.5,OK,32.75,30.1,2.3873,0.0,0.0,0.0,47.7,0.5525,0.03568,364,111
"线性(ks=30,对照)",30,2.0,OK,32.75,30.1,2.3873,0.0,0.0,0.0,47.7,0.5527,0.03543,364,111
"线性(ks=30,对照)",60,0.5,OK,32.75,30.1,2.1902,0.0,0.0,0.0,40.2,0.5446,0.03612,385,132
"线性(ks=30,对照)",60,2.0,OK,32.75,30.1,1.0791,0.0,0.0,0.0,4.7,0.5188,0.02135,800,547
"线性(ks=30,对照)",90,0.5,OK,32.75,30.1,1.0794,0.0,0.0,0.0,4.7,0.5164,0.02216,800,547
"线性(ks=30,对照)",90,2.0,OK,32.75,30.1,1.0791,0.0,0.0,0.0,4.7,0.5188,0.02135,800,547
渐进硬化,30,0.5,OK,17.42,15.1,0.8896,0.0,0.0,0.0,26.0,0.5645,0.0266,431,173
渐进硬化,30,2.0,OK,17.42,15.1,0.8882,0.0,0.0,0.0,25.9,0.5649,0.02632,432,174
渐进硬化,60,0.5,OK,17.42,15.1,0.7043,0.0,0.0,0.0,16.0,0.5561,0.02272,539,281
渐进硬化,60,2.0,OK,17.42,15.1,0.7028,0.0,0.0,0.0,15.9,0.5563,0.0226,541,283
渐进硬化,90,0.5,OK,17.42,15.1,0.598,0.0,0.0,0.0,11.3,0.553,0.01945,656,398
渐进硬化,90,2.0,OK,17.42,15.1,0.5965,0.0,0.0,0.0,11.2,0.5527,0.0196,658,400
迟滞,30,0.5,OK,19.91,20.4,0.2762,0.0,0.0,0.0,0.0,0.5312,0.00292,441,139
迟滞,30,2.0,OK,19.91,20.4,0.2932,0.0,0.0,0.0,0.0,0.533,0.00233,441,139
迟滞,60,0.5,OK,19.91,20.4,0.2333,0.0,0.0,0.0,0.0,0.5298,0.00264,548,246
迟滞,60,2.0,OK,19.91,20.4,0.2516,0.0,0.0,0.0,0.0,0.5315,0.00239,549,247
迟滞,90,0.5,OK,19.91,20.4,0.2042,0.0,0.0,0.0,0.0,0.5286,0.00275,661,359
迟滞,90,2.0,OK,19.91,20.4,0.2205,0.0,0.0,0.0,0.0,0.53,0.0029,663,361
分段各向异性,30,0.5,OK,200.0,48.1,0.113,0.0,0.0,0.0,0.0,0.5454,0.00023,701,130
分段各向异性,30,2.0,OK,200.0,48.1,0.1129,0.0,0.0,0.0,0.0,0.5452,0.00021,701,130
分段各向异性,60,0.5,OK,200.0,48.1,0.1093,0.0,0.0,0.0,0.0,0.5457,0.00037,800,229
分段各向异性,60,2.0,OK,200.0,48.1,0.1091,0.0,0.0,0.0,0.0,0.5454,0.00036,800,229
分段各向异性,90,0.5,OK,200.0,48.1,0.1093,0.0,0.0,0.0,0.0,0.5457,0.00037,800,229
分段各向异性,90,2.0,OK,200.0,48.1,0.1091,0.0,0.0,0.0,0.0,0.5454,0.00036,800,229
