ks,arc_deg,w_time,status,ks_final,ks_final_err_pct,rms,viol,dist_viol_upper,dist_viol_lower,r_mean,r_std,total_steps,arc_steps
10,30,0.5,OK,11.57,15.7,0.3921,0.0,0.0,0.0,0.5788,0.00046,477,140
10,30,2.0,OK,11.57,15.7,0.389,0.0,0.0,0.0,0.5784,0.00047,476,139
10,60,0.5,OK,11.57,15.7,0.3973,0.0,0.0,0.0,0.5791,0.00045,598,261
10,60,2.0,OK,11.57,15.7,0.3936,0.0,0.0,0.0,0.5787,0.00045,598,261
10,90,0.5,OK,11.57,15.7,0.3955,0.0,0.0,0.0,0.5794,0.0006,719,382
10,90,2.0,OK,11.57,15.7,0.3917,0.0,0.0,0.0,0.579,0.00061,719,382
30,30,0.5,OK,32.75,9.2,0.3296,0.0,0.0,0.0,0.5239,0.00454,400,70
30,30,2.0,OK,32.75,9.2,0.335,0.0,0.0,0.0,0.5241,0.00475,401,71
30,60,0.5,OK,32.75,9.2,0.2367,0.0,0.0,0.0,0.5209,0.00356,486,156
30,60,2.0,OK,32.75,9.2,0.2329,0.0,0.0,0.0,0.5209,0.0036,502,172
30,90,0.5,OK,32.75,9.2,0.1963,0.0,0.0,0.0,0.5204,0.00271,595,265
30,90,2.0,OK,32.75,9.2,0.1957,0.0,0.0,0.0,0.5205,0.00279,611,281
50,30,0.5,OK,52.62,5.2,0.4619,0.0,0.0,0.0,0.5194,0.00054,539,121
50,30,2.0,OK,52.62,5.2,0.4552,0.0,0.0,0.0,0.5192,0.00047,539,121
50,60,0.5,OK,52.62,5.2,0.4844,0.0,0.0,0.0,0.5199,0.00061,648,230
50,60,2.0,OK,52.62,5.2,0.4762,0.0,0.0,0.0,0.5197,0.00056,648,230
50,90,0.5,OK,52.62,5.2,0.4994,0.0,0.0,0.0,0.5202,0.00075,757,339
50,90,2.0,OK,52.62,5.2,0.4906,0.0,0.0,0.0,0.5201,0.00071,757,339
100,30,0.5,OK,103.91,3.9,0.686,0.0,0.0,0.0,0.5129,0.00069,474,59
100,30,2.0,OK,103.91,3.9,0.6853,0.0,0.0,0.0,0.5128,0.00087,474,59
100,60,0.5,OK,103.91,3.9,0.6537,0.0,0.0,0.0,0.509,0.00827,494,79
100,60,2.0,OK,103.91,3.9,0.6489,0.0,0.0,0.0,0.505,0.01506,493,78
100,90,0.5,OK,103.91,3.9,0.6366,0.0,0.0,0.0,0.5058,0.01122,506,91
100,90,2.0,OK,103.91,3.9,0.6285,0.0,0.0,0.0,0.4986,0.02028,505,90
