ks,arc_deg,w_time,ks_settle,ks_final,ks_settle_err,ks_final_err,rms,viol,r_mean,r_std,status
10,30,0.5,10.0,9.2,N/A,7.6,0.1708,0.0,0.5587,0.01409,OK
10,30,2.0,10.0,10.2,N/A,2.4,0.1562,0.0,0.557,0.01164,OK
10,60,0.5,10.0,9.8,N/A,2.4,0.1671,0.0,0.5369,0.03823,OK
10,60,2.0,10.0,10.5,N/A,5.2,0.1477,0.0,0.5379,0.03256,OK
10,90,0.5,10.0,10.1,N/A,1.0,0.1645,0.0,0.5234,0.04569,OK
10,90,2.0,10.0,10.8,N/A,8.3,0.1478,0.0,0.527,0.03848,OK
30,30,0.5,25.0,52.5,16.5,75.0,0.219,0.0,0.5237,0.00337,OK
30,30,2.0,25.0,40.5,16.5,35.2,0.2493,0.0,0.5197,0.00091,OK
30,60,0.5,25.0,52.5,16.5,75.0,0.2352,0.0,0.5268,0.00366,OK
30,60,2.0,25.0,40.7,16.5,35.8,0.2243,0.0,0.5134,0.01231,OK
30,90,0.5,25.0,52.5,16.5,75.0,0.2556,0.0,0.5282,0.0035,OK
30,90,2.0,25.0,40.7,16.5,35.8,0.2147,0.0,0.5069,0.01784,OK
50,30,0.5,39.9,43.8,20.1,12.5,0.1484,0.0,0.5157,0.00152,OK
50,30,2.0,39.9,49.6,20.1,0.8,0.1611,0.0,0.5156,0.00193,OK
50,60,0.5,39.9,43.8,20.1,12.5,0.2391,0.0,0.5183,0.00264,OK
50,60,2.0,39.9,49.6,20.1,0.8,0.2393,0.0,0.5181,0.00274,OK
50,90,0.5,39.9,43.8,20.1,12.5,0.2774,0.0,0.5194,0.00256,OK
50,90,2.0,39.9,49.6,20.1,0.8,0.2748,0.0,0.5192,0.00262,OK
100,30,0.5,12.4,12.4,87.6,87.6,0.2257,0.0,0.5113,0.00143,OK
100,30,2.0,12.4,12.4,87.6,87.6,0.2224,0.0,0.511,0.00161,OK
100,60,0.5,12.4,12.4,87.6,87.6,0.2126,0.0,0.5096,0.00195,OK
100,60,2.0,12.4,12.4,87.6,87.6,0.2543,0.0,0.509,0.00234,OK
100,90,0.5,12.4,12.5,87.6,87.5,0.4004,0.36,0.51,0.00381,OK
100,90,2.0,12.4,12.4,87.6,87.6,0.3164,0.0,0.51,0.00301,OK
