method,condition,base_condition,condition_seed,true_param_overrides,mpc_overrides,solver_safety_mode,runtime_filter_enabled,alpha_constraint_mode,alpha_soft_weight,omega_soft_weight,target_reached,final_theta_deg,T_reach,done_reason,alpha_violation_count,alpha_mean_severity,alpha_max_severity,alpha_p90_severity,alpha_p95_severity,alpha_p99_severity,omega_violation_count,omega_mean_severity,omega_max_severity,omega_p90_severity,omega_p95_severity,omega_p99_severity,delta_r_violation_count,delta_r_mean_severity,delta_r_max_severity,delta_r_p95_severity,F_tan_violation_count,F_rad_violation_count,mean_feasible_ratio_excluding_alpha,original_alpha_feasibility_ratio,mean_action_magnitude,max_action_magnitude,action_smoothness,mean_action_diff_vs_baseline,max_action_diff_vs_baseline,selected_predicted_horizon_alpha_violation_mean,selected_predicted_horizon_alpha_violation_max,executed_true_alpha_violation_mean,executed_true_alpha_violation_max,selected_predicted_horizon_omega_violation_mean,selected_predicted_horizon_omega_violation_max,executed_true_omega_violation_mean,executed_true_omega_violation_max,runtime_s
baseline_cem,clean,clean,201,{},{},off,False,soft,1.0,0.0,True,90.14631852620893,2.06,target_reached,84,0.9707977436361845,6.4377998728048755,3.3881106120695774,5.190370737879354,6.017610310288631,17,0.021314290471390853,0.4265414427484995,0.0,0.2095827413663774,0.4061332936710058,0,0.0,0.0,0.0,0,0,0.013020833333333334,0.0,3.9476771941154825,7.953676678512168,0.20497280707735124,0.0,0.0,8.85431358613849,20.253205126737498,0.3235992478787281,2.1459332909349587,0.34268146922142156,3.8123816768916794,0.017761908726159046,0.35545120229041627,34.730469041038305
baseline_cem,noise,noise,202,{},{},off,False,soft,1.0,0.0,True,90.12624834191055,2.0400000000000005,target_reached,83,0.9303260235358677,8.925233712270433,3.3320069730448894,4.557642800725143,7.968506880053498,19,0.027191586642869112,0.4556456435849463,0.0,0.309525110985461,0.44014870348647867,0,0.0,0.0,0.0,0,0,0.013250612745098039,0.0,3.872436709392078,8.128245922916047,0.21626829988525834,0.0,0.0,9.022588426734771,18.352668753511242,0.31010867451195584,2.9750779040901443,0.39418062734973763,3.336241898309815,0.02265965553572426,0.3797047029874553,34.13293083291501
baseline_cem,noise_bias,noise_bias,203,{},{},off,False,soft,1.0,0.0,True,90.23012761350711,2.0400000000000005,target_reached,82,1.0753075926108981,7.678543034467616,4.628000125697078,5.4470652739595,7.01464586536141,26,0.02663399761364381,0.41351870288740167,0.08757088039318274,0.2577251697113547,0.3585730737116851,0,0.0,0.0,0.0,0,0,0.012676164215686276,0.0,4.0423860744791265,8.293888874422583,0.19993885282732415,0.0,0.0,9.26411466167313,22.59727375689903,0.35843586420363277,2.5595143448225386,0.41481131151709283,4.130574218613398,0.022194998011369836,0.34459891907283474,34.133711167029105
baseline_cem,model_mismatch_light,clean,204,"{'m': 1.32, 'k': 495.0, 'b_r': 14.4}",{},off,False,soft,1.0,0.0,True,90.17692935912984,1.9300000000000015,target_reached,87,1.1054468612020665,9.653935727105736,3.37893571003429,4.358332482061658,9.347456246536028,15,0.016248697977443247,0.33285518437675043,0.0,0.16545503861332678,0.31718042533003027,0,0.0,0.0,0.0,0,0,0.015184294871794873,0.0,4.615072812296333,9.512928342331957,0.24274156154593535,0.0,0.0,10.200612555272022,23.6183839381996,0.36848228706735553,3.217978575701912,0.43678786755033966,4.093659554606467,0.013540581647869374,0.27737932031395873,32.69506812503096
baseline_cem,model_mismatch_heavy,clean,205,"{'m': 1.5, 'k': 540.0, 'b_r': 10.8}",{},off,False,soft,1.0,0.0,False,19.195321906758828,nan,max_time,292,0.6986271059816346,7.746140558455622,2.539236104129733,3.836381432933344,5.8521942244057055,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.034517400124843944,0.0,8.029231650891102,10.212133749133152,0.23405074292221056,0.0,0.0,10.13655447345766,25.370283298821004,0.23287570199387825,2.5820468528185407,0.9631897450018558,4.925068609866455,0.0,0.0,134.85077420796733
baseline_cem,larger_target,clean,206,{'theta_target': 1.8325957145940461},{'target_theta': 1.8325957145940461},off,False,soft,1.0,0.0,True,105.0849382768167,3.189999999999976,target_reached,160,1.6282849859173054,14.948357148571588,4.351172875511829,7.441019016789581,13.655805559850384,15,0.004025830563598156,0.17127169562732214,0.0,0.0,0.1479161536325456,0,0.0,0.0,0.0,0,0,0.01508956386292835,0.0,3.1134289716896792,9.10180707809558,0.3050022934624253,0.0,0.0,13.249422740828422,49.98298276439336,0.5427616619724352,4.98278571619053,1.5120494390887051,5.928851180589255,0.003354858802998464,0.14272641302276845,53.084485540981404
baseline_cem,worse_initial_state,clean,207,"{'theta_init': 0.04, 'omega_init': -0.18, 'r_init': 0.33, 'r_dot_init': -0.03}",{},off,False,soft,1.0,0.0,False,89.45987441509136,nan,max_time,94,0.2939638219924462,6.787034353087826,0.4197891517954185,2.7155811119793705,5.736236809382375,27,0.00741779647341001,0.4725162870632238,0.0,0.0,0.28562760898914746,0,0.0,0.0,0.0,0,0,0.029416354556803997,0.0017946317103620473,1.679196766066541,7.97373889862374,0.05852281854116038,0.0,0.0,2.8422330596022936,22.773401645378584,0.09798794066414872,2.2623447843626088,0.11837133553153319,4.628805082833633,0.00618149706117501,0.3937635725526865,133.97550683293957
baseline_cem,combined_stress,noise_bias,208,"{'m': 1.32, 'k': 495.0, 'b_r': 14.4, 'theta_init': 0.04, 'omega_init': -0.18, 'r_init': 0.33, 'r_dot_init': -0.03}",{},off,False,soft,1.0,0.0,True,90.01253204114717,2.299999999999995,target_reached,111,1.2594184890332096,10.903854375969965,4.051146566834499,5.215189994530137,6.299979772567117,16,0.017936555902055517,0.4211416218215218,0.0,0.1519274548816526,0.3860727941814895,0,0.0,0.0,0.0,0,0,0.016233766233766236,0.0,4.6510343726879855,8.9595340004129,0.23744733641897645,0.0,0.0,10.205581921932206,25.055666219385405,0.4198061630110698,3.6346181253233216,0.46475545991069767,4.962108268034247,0.014947129918379596,0.3509513515179349,38.6855062500108
runtime_filter_old,clean,clean,201,{},{},off,True,soft,1.0,0.0,False,40.83310865249212,nan,max_time,34,0.11124995892956249,6.79075604642583,0.0,0.0,4.819482781369359,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.015849328963795255,0.0,5.574133159554786,7.292214397690403,0.033843227989040554,3.089910321780844,5.832179643163693,9.206560437932511,27.01603370944045,0.03708331964318751,2.26358534880861,0.21389232306309666,5.3972249174946265,0.0,0.0,134.9382462919457
runtime_filter_old,noise,noise,202,{},{},off,True,soft,1.0,0.0,False,-66.95433799607999,nan,max_time,231,0.3600663416352127,6.9855293804152705,1.2248653036360422,2.1019514326513704,4.77958428388966,3,5.173041875828066e-05,0.026158541080814057,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.00014630149812734083,0.0,2.833240466681202,6.671623549016007,0.16382982677677477,1.4637694872203748,3.1933999519101874,31.635822894110166,53.305715770671775,0.12002211387840427,2.3285097934717567,3.6794363857258565,8.743064274011365,4.3108682298567215e-05,0.021798784234011714,70.37262095801998
