method,condition,gatekeeper_mode,gatekeeper_horizon,gatekeeper_top_k,gatekeeper_alpha_max_weight,gatekeeper_alpha_sum_weight,gatekeeper_omega_max_weight,gatekeeper_omega_sum_weight,gatekeeper_delta_r_weight,gatekeeper_force_weight,solver_safety_mode,alpha_constraint_mode,alpha_soft_weight,target_reached,final_theta_deg,T_reach,done_reason,gatekeeper_intervention_count,gatekeeper_decision_count,gatekeeper_intervention_rate,gatekeeper_selected_rank_mean,gatekeeper_selected_rank_max,nominal_safety_score_mean,selected_safety_score_mean,nominal_alpha_max_mean,selected_alpha_max_mean,nominal_alpha_sum_mean,selected_alpha_sum_mean,nominal_omega_max_mean,selected_omega_max_mean,nominal_omega_sum_mean,selected_omega_sum_mean,nominal_task_cost_mean,selected_task_cost_mean,alpha_violation_count,alpha_mean_severity,alpha_p95_severity,alpha_max_severity,omega_violation_count,omega_mean_severity,omega_p95_severity,omega_max_severity,delta_r_violation_count,delta_r_mean_severity,delta_r_max_severity,delta_r_p95_severity,F_tan_violation_count,F_rad_violation_count,mean_action_magnitude,max_action_magnitude,action_smoothness,runtime_s
baseline_cem,clean,off,0,20,4.0,4.0,4.0,4.0,1.0,1.0,off,soft,1.0,True,90.14631852620893,2.06,target_reached,0,69,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,84,0.9707977436361845,5.190370737879354,6.4377998728048755,17,0.021314290471390853,0.2095827413663774,0.4265414427484995,0,0.0,0.0,0.0,0,0,3.9476771941154825,7.953676678512168,0.20497280707735124,34.80564129189588
baseline_cem,noise,off,0,20,4.0,4.0,4.0,4.0,1.0,1.0,off,soft,1.0,True,90.21661702349557,1.8000000000000014,target_reached,0,60,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,66,1.0121832361354404,4.652838501469261,7.694412413161114,16,0.024626794101253274,0.2657679427625952,0.44323048717652824,0,0.0,0.0,0.0,0,0,4.135895989672286,7.839479180319609,0.2065864296509824,30.475571624934673
baseline_cem,noise_bias,off,0,20,4.0,4.0,4.0,4.0,1.0,1.0,off,soft,1.0,True,90.01365991496137,2.1899999999999973,target_reached,0,73,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,90,1.0417673384874,4.4539534690138245,7.789745762859031,22,0.022813001406889397,0.20869699709417136,0.44958339026767513,0,0.0,0.0,0.0,0,0,3.8927163390804527,8.232650339736571,0.2055945477809949,37.078797874972224
alpha100_omega0,clean,off,0,20,4.0,4.0,4.0,4.0,1.0,1.0,soft_penalty,soft,100.0,True,90.01330081092338,1.9800000000000015,target_reached,0,66,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,0.9857485354022764,6.083357683682723,7.896744286389515,22,0.03384799525175945,0.3469592700227373,0.480062211413689,0,0.0,0.0,0.0,0,0,3.7404367292113716,8.465669052466604,0.20044955850419865,33.44878220802639
alpha100_omega0,noise,off,0,20,4.0,4.0,4.0,4.0,1.0,1.0,soft_penalty,soft,100.0,True,90.12119185770305,1.9300000000000015,target_reached,0,65,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,81,1.0773274307492755,5.242512594040663,8.332585279924945,21,0.03212047705718097,0.3267617354998096,0.47217706960978867,0,0.0,0.0,0.0,0,0,4.013675978787356,8.520423978842475,0.22639274525786146,33.04001454205718
alpha100_omega0,noise_bias,off,0,20,4.0,4.0,4.0,4.0,1.0,1.0,soft_penalty,soft,100.0,True,90.25357110919407,1.8900000000000015,target_reached,0,63,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64,0.9359740135066569,4.542409150657966,8.785466113021581,20,0.029798785013814864,0.3113403373238287,0.44940348563491606,0,0.0,0.0,0.0,0,0,3.9443203725638276,8.562087294258037,0.19965172347902807,32.0004660829436
alpha200_omega0,clean,off,0,20,4.0,4.0,4.0,4.0,1.0,1.0,soft_penalty,soft,200.0,True,90.00098337303204,3.139999999999977,target_reached,0,105,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,73,0.6460521111996569,4.1734507206065246,7.896744286389515,22,0.021383336682857558,0.20220498436934536,0.480062211413689,0,0.0,0.0,0.0,0,0,2.696212978282421,8.465669052466604,0.12631877022118357,53.515260249958374
alpha200_omega0,noise,off,0,20,4.0,4.0,4.0,4.0,1.0,1.0,soft_penalty,soft,200.0,True,90.07711562108182,1.9700000000000015,target_reached,0,66,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,69,0.9908884848349083,5.9045350889246775,8.332585285676599,21,0.03147157919580895,0.3193133443107155,0.472177078601661,0,0.0,0.0,0.0,0,0,3.8527677536791773,8.52042398041967,0.2028500649195839,33.48156387510244
alpha200_omega0,noise_bias,off,0,20,4.0,4.0,4.0,4.0,1.0,1.0,soft_penalty,soft,200.0,True,90.12817354620306,1.8900000000000015,target_reached,0,63,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,72,1.1475535896496232,5.647811314554774,6.796319889508748,25,0.02283104256986217,0.20353904521671282,0.44796378434767625,0,0.0,0.0,0.0,0,0,4.120231800315714,8.127035660368447,0.2070678338980057,31.93468499998562
gatekeeper_H3,clean,candidate_select,3,20,4.0,4.0,4.0,4.0,1.0,1.0,off,soft,1.0,True,90.08033802617064,2.3699999999999934,target_reached,39,79,0.4936708860759494,4.253164556962025,19.0,67.8033734990767,43.720148338939715,5.953871296225117,4.28045223003676,10.962389919062081,6.613662450555403,0.013228067985375336,0.01357006971957595,0.021354091496600548,0.022352334423190456,41242.71575562107,109832.51816387696,104,1.06910400859671,5.0381177268199915,6.602088806369869,17,0.004854786228215772,0.028135788382646007,0.14350631974733097,0,0.0,0.0,0.0,0,0,4.695884452926588,8.02339084473242,0.2453402427993283,39.97702162491623
