method,family,condition,target_reached,final_theta_deg,T_reach,done_reason,alpha_violation_count,alpha_mean_severity,alpha_p95_severity,alpha_p99_severity,alpha_max_severity,alpha_clipped_max_excluding_top1,alpha_violation_duration_s,alpha_integrated_violation,early_alpha_mean_severity,early_alpha_p95_severity,early_alpha_p99_severity,early_alpha_max_severity,late_alpha_mean_severity,late_alpha_p95_severity,late_alpha_p99_severity,late_alpha_max_severity,omega_violation_count,omega_mean_severity,omega_p95_severity,omega_max_severity,delta_r_violation_count,delta_r_mean_severity,delta_r_max_severity,F_tan_violation_count,F_rad_violation_count,force_violation_count,mean_action_magnitude,max_action_magnitude,action_smoothness,action_total_variation,cem_runtime_s,action_parameterization_mode,num_action_knots,move_block_size,lowpass_beta,solver_safety_mode,alpha_soft_weight,notes
baseline_standard,standard,clean,True,90.14631852620893,2.06,target_reached,84,0.9707977436361845,5.190370737879354,6.017610310288631,6.4377998728048755,6.406885809845965,0.84,2.009551329326902,2.3277823595778586,5.722260329750633,6.21700491850485,6.406885809845965,0.5386370379222754,3.406493657762725,5.766188197411318,6.4377998728048755,17,0.021314290471390853,0.2095827413663774,0.4265414427484995,0,0.0,0.0,0,0,0,3.9476771941154825,7.953676678512168,0.20497280707735124,42.224398257934354,35.04069049999998,standard,0,1,0.5,off,1.0,current standard full-horizon CEM action sequence
baseline_standard,standard,noise,True,90.21661702349557,1.8000000000000014,target_reached,66,1.0121832361354404,4.652838501469261,6.990984807934064,7.694412413161114,7.289482274530659,0.66,1.832051657405147,2.250683714006854,6.333900037350524,7.49599664523219,7.694412413161114,0.5394731300776489,3.407250196065217,5.589799645351683,6.1695087941284115,16,0.024626794101253274,0.2657679427625952,0.44323048717652824,0,0.0,0.0,0,0,0,4.135895989672286,7.839479180319609,0.2065864296509824,37.18555733717683,30.474758250000377,standard,0,1,0.5,off,1.0,current standard full-horizon CEM action sequence
baseline_standard,standard,noise_bias,True,90.01365991496137,2.1899999999999973,target_reached,90,1.0417673384874,4.4539534690138245,7.385774911270411,7.789745762859031,7.428684486058454,0.9,2.29188814467228,2.784654421246236,7.3499753466844915,7.612825737226748,7.789745762859031,0.5291534906171543,3.341909183907026,4.512357547073976,4.822466166516734,22,0.022813001406889397,0.20869699709417136,0.44958339026767513,0,0.0,0.0,0,0,0,3.8927163390804527,8.232650339736571,0.2055945477809949,45.02520596403788,37.12256341700049,standard,0,1,0.5,off,1.0,current standard full-horizon CEM action sequence
alpha100_omega0,alpha_soft_reference,clean,True,90.01330081092338,1.9800000000000015,target_reached,64,0.9857485354022764,6.083357683682723,7.79039623468245,7.896744286389515,7.836182593645759,0.64,1.96163958545053,2.4210228708615484,7.380122884473897,7.867069056945074,7.896744286389515,0.5041128523622522,3.6014174636325,6.04904915966891,6.594617418330243,22,0.03384799525175945,0.3469592700227373,0.480062211413689,0,0.0,0.0,0,0,0,3.7404367292113716,8.465669052466604,0.20044955850419865,39.689012583831335,33.3871063330007,standard,0,1,0.5,soft_penalty,100.0,Stage 7A alpha100_omega0 reference with standard action parameterization
alpha100_omega0,alpha_soft_reference,noise,True,90.12119185770305,1.9300000000000015,target_reached,81,1.0773274307492755,5.242512594040663,8.20020958351635,8.332585279924945,8.256828345510494,0.81,2.0900152156535943,2.308938182309169,7.528509626811423,8.295464382061864,8.332585279924945,0.649684808679868,4.12656351110688,4.937505103417291,5.558313750144187,21,0.03212047705718097,0.3267617354998096,0.47217706960978867,0,0.0,0.0,0,0,0,4.013675978787356,8.520423978842475,0.22639274525786146,43.69379983476726,32.948543708000216,standard,0,1,0.5,soft_penalty,100.0,Stage 7A alpha100_omega0 reference with standard action parameterization
alpha100_omega0,alpha_soft_reference,noise_bias,True,90.25357110919407,1.8900000000000015,target_reached,64,0.9359740135066569,4.542409150657966,8.586772153929637,8.785466113021581,8.670823060059531,0.64,1.7783506256626482,2.172466530969129,7.557774169870373,8.729291017070176,8.785466113021581,0.4943695429843453,3.534452888726545,6.852407578246429,7.496770469771565,20,0.029798785013814864,0.3113403373238287,0.44940348563491606,0,0.0,0.0,0,0,0,3.9443203725638276,8.562087294258037,0.19965172347902807,37.734175737536304,31.945825000000696,standard,0,1,0.5,soft_penalty,100.0,Stage 7A alpha100_omega0 reference with standard action parameterization
alpha200_omega0,alpha_soft_reference,clean,True,90.00098337303204,3.139999999999977,target_reached,73,0.6460521111996569,4.1734507206065246,7.432413387152994,7.896744286389515,7.836182593645759,0.73,2.0350641502789193,2.4210228708615484,7.380122884473897,7.867069056945074,7.896744286389515,0.31115196786722454,2.443301189794852,5.06103698797846,7.502848975882584,22,0.021383336682857558,0.20220498436934536,0.480062211413689,0,0.0,0.0,0,0,0,2.696212978282421,8.465669052466604,0.12631877022118357,39.66409384945164,53.96245570800056,standard,0,1,0.5,soft_penalty,200.0,Stage 7A alpha200_omega0 reference with standard action parameterization
alpha200_omega0,alpha_soft_reference,noise,True,90.07711562108182,1.9700000000000015,target_reached,69,0.9908884848349083,5.9045350889246775,8.19777438067407,8.332585285676599,8.256828355323956,0.6900000000000001,1.9619591999731185,2.3089381993570326,7.528509649977106,8.295464389803804,8.332585285676599,0.5456014191179742,3.7088196970732787,6.286563737664795,6.9861753738623715,21,0.03147157919580895,0.3193133443107155,0.472177078601661,0,0.0,0.0,0,0,0,3.8527677536791773,8.52042398041967,0.2028500649195839,39.96146278915803,34.20780445899982,standard,0,1,0.5,soft_penalty,200.0,Stage 7A alpha200_omega0 reference with standard action parameterization
alpha200_omega0,alpha_soft_reference,noise_bias,True,90.12817354620306,1.8900000000000015,target_reached,72,1.1475535896496232,5.647811314554774,6.285073491317639,6.796319889508748,6.476732015478005,0.72,2.180351820334284,2.9156690925321134,6.0378076196868316,6.639721831233683,6.796319889508748,0.516083767191591,3.9138436210643883,5.59917256584348,6.261385359118046,25,0.02283104256986217,0.20353904521671282,0.44796378434767625,0,0.0,0.0,0,0,0,4.120231800315714,8.127035660368447,0.2070678338980057,39.13582060672308,32.5456657499999,standard,0,1,0.5,soft_penalty,200.0,Stage 7A alpha200_omega0 reference with standard action parameterization
u_knots_4,u_knots,clean,False,-10.613733114644651,nan,max_time,204,0.28778693620863866,1.5605471680733058,5.418262142364304,7.891585757535777,7.877575362759188,2.04,2.308051228393282,1.65915678202972,7.831152325183787,7.884720664095249,7.891585757535777,0.19660543050244975,1.231005736160273,2.8424664122472025,4.097995799546466,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,6.375992858423668,7.292641512236874,0.2124396866640095,170.16418901787162,134.77768041700074,u_knots,4,1,0.5,off,1.0,sample 4 action knots and interpolate over horizon
