condition,parameter,n_transitions,abs_dalpha_dp_mean,abs_dalpha_dp_p95,abs_dalpha_dp_max,abs_relative_dalpha_mean,abs_relative_dalpha_p95,abs_relative_dalpha_max,finite_difference_abs_error_max,finite_difference_scaled_error_max,top10_abs_F_tan_mean,top10_abs_F_rad_mean,top10_abs_delta_r_mean,top10_abs_r_dot_mean,top10_abs_omega_mean,top10_mass_driver_mean,model_alpha_rmse,symbolic_numpy_state_max_abs,planner_dt_symbolic_numpy_state_max_abs,affine_acceleration_max_abs,geometry_inertia_factor_min,geometry_inertia_factor_median,geometry_inertia_factor_max
clean,m,948,17.15508441656594,37.11302231446071,37.38641996475558,20.58610129987913,44.535626777352846,44.8637039577067,1.3310533120147738e-08,1.7375370031658122e-09,7.158466551399151,0.18005294046779952,0.0011711222298258755,0.006007935887265191,0.7411278057514247,2.243007309306468,3.859140189866817e-15,5.551115123125783e-17,2.220446049250313e-16,7.993605777301127e-15,0.03314842563407871,0.03746775697254652,0.04137513762791521
clean,k,948,0.0014303667246163489,0.005186904033228979,0.005311012720326056,0.643665026077357,2.3341068149530404,2.3899557241467253,2.5779317482793607e-11,2.5779317482793607e-11,5.583354946642065,0.16158992622094145,0.007693942105155757,0.011891167555152975,1.1794437151907549,3.862882715939673,3.859140189866817e-15,5.551115123125783e-17,2.220446049250313e-16,7.993605777301127e-15,0.03314842563407871,0.03746775697254652,0.04137513762791521
clean,b_r,948,0.0032152164405399655,0.012934465287110232,0.021504806096238303,0.057873895929719366,0.23282037516798418,0.3870865097322895,7.689574949010236e-10,7.689574949010236e-10,6.38029736637494,0.20798543058929506,0.003632972990649923,0.01567975281232072,0.9889768383191817,2.6582120961474813,3.859140189866817e-15,5.551115123125783e-17,2.220446049250313e-16,7.993605777301127e-15,0.03314842563407871,0.03746775697254652,0.04137513762791521
initial_theta_offset,m,1050,17.491691277572343,35.7975791234369,36.741109931859455,20.99002953308681,42.95709494812427,44.089331918231345,1.2957602990582018e-08,1.7829479004305426e-09,7.008850703204885,0.1374686308400534,0.00096476762480217,0.00669358819584049,0.767378614192463,2.263791754962259,3.838127525018216e-15,5.551115123125783e-17,2.220446049250313e-16,1.054017984003508e-14,0.03312459408649297,0.037509545360942684,0.043843751672141336
initial_theta_offset,k,1050,0.0014884398272570819,0.005519358759546683,0.0057593845047445805,0.6697979222656869,2.4837114417960073,2.5917230271350613,2.697880547436471e-11,2.697880547436471e-11,5.7508236443987375,0.3784457495549467,0.007806696233673684,0.011134121939526174,1.1665035382548854,3.741636846992259,3.838127525018216e-15,5.551115123125783e-17,2.220446049250313e-16,1.054017984003508e-14,0.03312459408649297,0.037509545360942684,0.043843751672141336
initial_theta_offset,b_r,1050,0.0035187179932206023,0.015426861543257822,0.026407336646269416,0.06333692387797084,0.2776835077786408,0.4753320596328495,7.816000797966627e-10,7.816000797966627e-10,6.67354989865406,0.4745669948087103,0.0034558924095108093,0.019307252920790503,1.164021705257729,2.5766878324615705,3.838127525018216e-15,5.551115123125783e-17,2.220446049250313e-16,1.054017984003508e-14,0.03312459408649297,0.037509545360942684,0.043843751672141336
mass_mismatch,m,1680,13.150288081008213,34.78151251988799,46.13427084361082,15.780345697209853,41.737815023865586,55.361125012332984,1.1466468663456908e-08,1.3711273783023614e-09,6.8424628078087455,0.601657984207535,0.0026988294829942616,0.015234554451288365,1.2177121511856808,2.3819584691462836,3.506038106885267e-15,5.551115123125783e-17,2.220446049250313e-16,1.0658141036401503e-14,0.032877259172484324,0.03773737916940982,0.04716204716635663
mass_mismatch,k,1680,0.0013437841126105108,0.00589505057621084,0.006319565990565443,0.6047028506747298,2.652772759294878,2.8438046957544496,2.966301770185309e-11,2.966301770185309e-11,5.717257753756981,0.7781622734931727,0.00849098532371278,0.011970646104766239,1.1483078707794432,3.720227680812102,3.506038106885267e-15,5.551115123125783e-17,2.220446049250313e-16,1.0658141036401503e-14,0.032877259172484324,0.03773737916940982,0.04716204716635663
mass_mismatch,b_r,1680,0.0032252910145548113,0.015316550839284914,0.028760675417428855,0.0580552382619866,0.27569791510712843,0.5176921575137194,6.953958190530907e-10,6.953958190530907e-10,6.673634513115758,0.7638084925826357,0.0030337910598284053,0.019610530636015033,1.1388359074756553,2.412007456419369,3.506038106885267e-15,5.551115123125783e-17,2.220446049250313e-16,1.0658141036401503e-14,0.032877259172484324,0.03773737916940982,0.04716204716635663
noise,m,976,17.322643597224655,37.045735794506115,37.40573749958971,20.787172316669583,44.454882953407335,44.88688499950765,1.1369621688572806e-08,1.8445946992073914e-09,7.152949986581158,0.15966665030123406,0.0008296724551363165,0.006725463480521044,0.653966316334654,2.232081886749051,3.7763618585228905e-15,2.220446049250313e-16,2.220446049250313e-16,1.2434497875801753e-14,0.03310027119651528,0.0375121286725958,0.04222099360412418
noise,k,976,0.0014028400712314223,0.0052791046666641065,0.005746257486031615,0.63127803205414,2.3755970999988483,2.585815868714227,3.186112398217977e-11,3.186112398217977e-11,5.611046243781809,0.2850445489655171,0.007895020863294817,0.01228741388504826,1.184479575502177,3.853338079204836,3.7763618585228905e-15,2.220446049250313e-16,2.220446049250313e-16,1.2434497875801753e-14,0.03310027119651528,0.0375121286725958,0.04222099360412418
noise,b_r,976,0.0034293438734469554,0.014513885638647086,0.0244971545381289,0.0617281897220452,0.2612499414956475,0.4409487816863202,6.147123348537731e-10,6.147123348537731e-10,6.471207123463185,0.33225410999751337,0.0035239740658128513,0.017351764407861958,0.9911925859074655,2.6140720342050847,3.7763618585228905e-15,2.220446049250313e-16,2.220446049250313e-16,1.2434497875801753e-14,0.03310027119651528,0.0375121286725958,0.04222099360412418
