condition,seed,window_start,window_end,single_success,multiple_success,state_max_abs_difference,inverse_mass_abs_difference,alpha_prediction_rmse_difference,single_objective,multiple_objective,objective_abs_difference,multiple_process_rms_raw,equivalent
clean,101,0,70,True,True,2.220446049250313e-16,0.0,1.066963357873734e-14,0.0001974346943675951,0.00019743469436775624,1.611395478856581e-16,1.0782559217629705e-16,True
clean,101,10,80,True,True,1.1102230246251565e-16,0.0,7.560703804856096e-15,0.00023938938983549622,0.00023938938983564804,1.5181540920228276e-16,1.0095488454530737e-16,True
clean,102,0,70,True,True,2.220446049250313e-16,0.0,1.066963357873734e-14,0.0001974346943675951,0.00019743469436775624,1.611395478856581e-16,1.0782559217629705e-16,True
clean,102,10,80,True,True,1.1102230246251565e-16,0.0,7.560703804856096e-15,0.00023938938983549622,0.00023938938983564804,1.5181540920228276e-16,1.0095488454530737e-16,True
clean,103,0,70,True,True,2.220446049250313e-16,0.0,1.066963357873734e-14,0.0001974346943675951,0.00019743469436775624,1.611395478856581e-16,1.0782559217629705e-16,True
clean,103,10,80,True,True,1.1102230246251565e-16,0.0,7.560703804856096e-15,0.00023938938983549622,0.00023938938983564804,1.5181540920228276e-16,1.0095488454530737e-16,True
initial_theta_offset,101,0,70,True,True,1.1102230246251565e-16,0.0,8.732231019088888e-15,0.0003576764562895677,0.00035767645628971426,1.465841337200402e-16,1.0308920822007741e-16,True
initial_theta_offset,101,10,80,True,True,1.1102230246251565e-16,0.0,7.712517722121621e-15,0.00036673230498672726,0.00036673230498685384,1.2658060363768264e-16,9.599786183854466e-17,True
initial_theta_offset,102,0,70,True,True,1.1102230246251565e-16,0.0,8.732231019088888e-15,0.0003576764562895677,0.00035767645628971426,1.465841337200402e-16,1.0308920822007741e-16,True
initial_theta_offset,102,10,80,True,True,1.1102230246251565e-16,0.0,7.712517722121621e-15,0.00036673230498672726,0.00036673230498685384,1.2658060363768264e-16,9.599786183854466e-17,True
initial_theta_offset,103,0,70,True,True,1.1102230246251565e-16,0.0,8.732231019088888e-15,0.0003576764562895677,0.00035767645628971426,1.465841337200402e-16,1.0308920822007741e-16,True
initial_theta_offset,103,10,80,True,True,1.1102230246251565e-16,0.0,7.712517722121621e-15,0.00036673230498672726,0.00036673230498685384,1.2658060363768264e-16,9.599786183854466e-17,True
noise,101,0,70,True,True,2.220446049250313e-16,0.0,1.1439315424197679e-14,0.005413510219970246,0.00541351021997045,2.0383000842727483e-16,1.2061886750013542e-16,True
noise,101,10,80,True,True,1.1102230246251565e-16,0.0,9.889624130649584e-15,0.005528323870265367,0.005528323870265537,1.700029006457271e-16,1.1077749695169426e-16,True
noise,102,0,70,True,True,1.1102230246251565e-16,0.0,4.4323192462162495e-15,0.005773668781671506,0.005773668781671564,5.811323644522304e-17,6.682783391487393e-17,True
noise,102,10,80,True,True,1.6653345369377348e-16,0.0,8.634407348749373e-15,0.005312733690253228,0.005312733690253417,1.8908485888147197e-16,1.181251714972989e-16,True
noise,103,0,70,True,True,1.1102230246251565e-16,0.0,8.952556504733985e-15,0.004349503000305528,0.0043495030003056715,1.4311468676808659e-16,1.0433798059290208e-16,True
noise,103,10,80,True,True,2.220446049250313e-16,0.0,8.74931418858483e-15,0.004359394079914303,0.004359394079914451,1.474514954580286e-16,1.0224739596428287e-16,True
noise_bias,101,0,70,True,True,2.220446049250313e-16,0.0,9.74990032972172e-15,0.010872850279710041,0.010872850279710224,1.8214596497756474e-16,1.0490132437590176e-16,True
noise_bias,101,10,80,True,True,2.220446049250313e-16,0.0,1.1203653726465394e-14,0.010731294425078789,0.010731294425078999,2.0990154059319366e-16,1.1215390505405491e-16,True
