condition,seed,window_start,window_end,phase,optimizer_success,optimizer_cost,inverse_mass,state_rmse_to_true,state_minus_measurement_rms,measurement_minus_true_rms,measurement_cost,process_cost,arrival_cost,inverse_mass_prior_cost,total_cost,measurement_residual_rms,process_residual_rms_weighted,process_residual_rms_raw,state_bound_hit_count,parameter_bound_hit
clean,101,0,70,before,False,0.00019718755778474508,1.0526315789473684,0.007138037452080022,0.007138037452080022,0.0,0.0025002636941895365,433.94620844521467,3.851859888774471e-33,0.0,433.94870870890884,0.004196128072896687,1.7605725701057242,0.05546003862124266,0,0
clean,101,0,70,after,False,0.00019718755778474508,0.833206449174378,0.0010719765916150869,0.0010719765916150869,0.0,0.00017274261504994712,2.500908288206067e-07,1.2115811803063754e-07,2.407369378794682e-05,0.00019718755778474518,0.001102949359256414,4.226538847572958e-05,2.424690265929648e-07,0,0
clean,101,10,80,before,False,0.00024111952531202644,1.0526315789473684,0.00740945514044361,0.00740945514044361,0.0,0.0029012204136330965,459.0924687257542,0.0,0.0,459.0953699461678,0.004520080715371409,1.8108649644492192,0.057015669759620226,0,0
clean,101,10,80,after,False,0.00024111952531202644,0.8332083916221473,0.0008920234930029492,0.0008920234930029492,0.0,0.0002147794265269976,2.0134836583303698e-07,2.0654828512162277e-06,2.4073267567979517e-05,0.00024111952531202636,0.0012298500610746564,3.7923641875393795e-05,1.8963145803140812e-07,0,0
clean,102,0,70,before,False,0.00019718755778474508,1.0526315789473684,0.007138037452080022,0.007138037452080022,0.0,0.0025002636941895365,433.94620844521467,3.851859888774471e-33,0.0,433.94870870890884,0.004196128072896687,1.7605725701057242,0.05546003862124266,0,0
clean,102,0,70,after,False,0.00019718755778474508,0.833206449174378,0.0010719765916150869,0.0010719765916150869,0.0,0.00017274261504994712,2.500908288206067e-07,1.2115811803063754e-07,2.407369378794682e-05,0.00019718755778474518,0.001102949359256414,4.226538847572958e-05,2.424690265929648e-07,0,0
clean,102,10,80,before,False,0.00024111952531202644,1.0526315789473684,0.00740945514044361,0.00740945514044361,0.0,0.0029012204136330965,459.0924687257542,0.0,0.0,459.0953699461678,0.004520080715371409,1.8108649644492192,0.057015669759620226,0,0
clean,102,10,80,after,False,0.00024111952531202644,0.8332083916221473,0.0008920234930029492,0.0008920234930029492,0.0,0.0002147794265269976,2.0134836583303698e-07,2.0654828512162277e-06,2.4073267567979517e-05,0.00024111952531202636,0.0012298500610746564,3.7923641875393795e-05,1.8963145803140812e-07,0,0
clean,103,0,70,before,False,0.00019718755778474508,1.0526315789473684,0.007138037452080022,0.007138037452080022,0.0,0.0025002636941895365,433.94620844521467,3.851859888774471e-33,0.0,433.94870870890884,0.004196128072896687,1.7605725701057242,0.05546003862124266,0,0
clean,103,0,70,after,False,0.00019718755778474508,0.833206449174378,0.0010719765916150869,0.0010719765916150869,0.0,0.00017274261504994712,2.500908288206067e-07,1.2115811803063754e-07,2.407369378794682e-05,0.00019718755778474518,0.001102949359256414,4.226538847572958e-05,2.424690265929648e-07,0,0
clean,103,10,80,before,False,0.00024111952531202644,1.0526315789473684,0.00740945514044361,0.00740945514044361,0.0,0.0029012204136330965,459.0924687257542,0.0,0.0,459.0953699461678,0.004520080715371409,1.8108649644492192,0.057015669759620226,0,0
clean,103,10,80,after,False,0.00024111952531202644,0.8332083916221473,0.0008920234930029492,0.0008920234930029492,0.0,0.0002147794265269976,2.0134836583303698e-07,2.0654828512162277e-06,2.4073267567979517e-05,0.00024111952531202636,0.0012298500610746564,3.7923641875393795e-05,1.8963145803140812e-07,0,0
initial_theta_offset,101,0,70,before,False,0.0003570720459868896,1.0526315789473684,0.02370867213822388,0.02370867213822388,0.0,0.05151088856202343,415.61740508640804,3.851859888774471e-33,0.0,415.66891597497005,0.01904606878997022,1.7229903512838372,0.05280818826820204,0,0
initial_theta_offset,101,0,70,after,False,0.0003570720459868896,0.8333724875615569,0.0010632252885858745,0.0010632252885858745,0.0,0.00033241223164618024,6.04470630297265e-07,1.8069132745984137e-08,2.4037274577665804e-05,0.0003570720459868893,0.0015300101989123855,6.570880731885322e-05,2.667370652626881e-07,0,0
