condition,seed,update_index,step,time,window_start,window_end,solver_success,solver_status,iterations,solve_time_s,lambda_hat,m_hat,current_state_error,full_window_state_rmse,alpha_prediction_error,arrival_prior_error_shifted_previous,warm_start_to_final_rms,process_residual_rms,process_residual_max,state_bound_hits,parameter_bound_hit,current_is_final_window_state,fallback_applied,failed_solution_handling_ok,arrival_shift_consistent,deque_alignment_ok,control_measurement_alignment_ok,measurement_cost,process_cost,arrival_cost,parameter_prior_cost,total_cost,abnormal,event_role
clean,101,1,10,0.1,0,10,True,Both `ftol` and `xtol` termination conditions are satisfied.,29,0.28036004200112075,0.8332434697296643,1.2001294175451958,0.0013935813926000938,0.00109608802216618,-0.06302969049210017,nan,0.0042850426380703945,1.3762066347805794e-07,4.0239943413164503e-07,0.0,False,True,False,True,True,True,True,3.572557891522397e-05,9.096025257865164e-09,7.647575652454868e-08,2.4065571233059607e-05,5.987672193006599e-05,False,context
clean,101,2,20,0.2,0,20,False,The maximum number of function evaluations is exceeded.,45,0.7799216249986785,0.8332434697296643,1.2001294175451958,0.0022047199276909635,nan,0.024568640399025288,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,first_divergence
clean,101,3,30,0.3,0,30,False,The maximum number of function evaluations is exceeded.,45,1.141814999995404,0.8332434697296643,1.2001294175451958,0.0007607990431751322,nan,-0.0013557433836686172,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,context
clean,101,4,40,0.4,0,40,False,The maximum number of function evaluations is exceeded.,45,1.3797912919981172,0.8332434697296643,1.2001294175451958,0.0026557885746203826,nan,0.025613907191662122,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,context
clean,102,1,10,0.1,0,10,True,Both `ftol` and `xtol` termination conditions are satisfied.,29,0.2671843329881085,0.8332434697296643,1.2001294175451958,0.0013935813926000938,0.00109608802216618,-0.06302969049210017,nan,0.0042850426380703945,1.3762066347805794e-07,4.0239943413164503e-07,0.0,False,True,False,True,True,True,True,3.572557891522397e-05,9.096025257865164e-09,7.647575652454868e-08,2.4065571233059607e-05,5.987672193006599e-05,False,context
clean,102,2,20,0.2,0,20,False,The maximum number of function evaluations is exceeded.,45,0.7788359169935575,0.8332434697296643,1.2001294175451958,0.0022047199276909635,nan,0.024568640399025288,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,first_divergence
clean,102,3,30,0.3,0,30,False,The maximum number of function evaluations is exceeded.,45,1.1538219999929424,0.8332434697296643,1.2001294175451958,0.0007607990431751322,nan,-0.0013557433836686172,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,context
clean,102,4,40,0.4,0,40,False,The maximum number of function evaluations is exceeded.,45,1.3870042500057025,0.8332434697296643,1.2001294175451958,0.0026557885746203826,nan,0.025613907191662122,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,context
clean,103,1,10,0.1,0,10,True,Both `ftol` and `xtol` termination conditions are satisfied.,29,0.26932766698882915,0.8332434697296643,1.2001294175451958,0.0013935813926000938,0.00109608802216618,-0.06302969049210017,nan,0.0042850426380703945,1.3762066347805794e-07,4.0239943413164503e-07,0.0,False,True,False,True,True,True,True,3.572557891522397e-05,9.096025257865164e-09,7.647575652454868e-08,2.4065571233059607e-05,5.987672193006599e-05,False,context
clean,103,2,20,0.2,0,20,False,The maximum number of function evaluations is exceeded.,45,0.7880623749952065,0.8332434697296643,1.2001294175451958,0.0022047199276909635,nan,0.024568640399025288,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,first_divergence
