condition,seed,update_index,step,time,window_start,window_end,solver_success,solver_status,iterations,solve_time_s,lambda_hat,m_hat,current_state_error,full_window_state_rmse,alpha_prediction_error,arrival_prior_error_shifted_previous,warm_start_to_final_rms,process_residual_rms,process_residual_max,state_bound_hits,parameter_bound_hit,current_is_final_window_state,fallback_applied,failed_solution_handling_ok,arrival_shift_consistent,deque_alignment_ok,control_measurement_alignment_ok,measurement_cost,process_cost,arrival_cost,parameter_prior_cost,total_cost,abnormal
clean,101,1,10,0.1,0,10,True,Both `ftol` and `xtol` termination conditions are satisfied.,29,0.28036004200112075,0.8332434697296643,1.2001294175451958,0.0013935813926000938,0.00109608802216618,-0.06302969049210017,nan,0.0042850426380703945,1.3762066347805794e-07,4.0239943413164503e-07,0.0,False,True,False,True,True,True,True,3.572557891522397e-05,9.096025257865164e-09,7.647575652454868e-08,2.4065571233059607e-05,5.987672193006599e-05,False
clean,101,2,20,0.2,0,20,False,The maximum number of function evaluations is exceeded.,45,0.7799216249986785,0.8332434697296643,1.2001294175451958,0.0022047199276909635,nan,0.024568640399025288,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,101,3,30,0.3,0,30,False,The maximum number of function evaluations is exceeded.,45,1.141814999995404,0.8332434697296643,1.2001294175451958,0.0007607990431751322,nan,-0.0013557433836686172,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,101,4,40,0.4,0,40,False,The maximum number of function evaluations is exceeded.,45,1.3797912919981172,0.8332434697296643,1.2001294175451958,0.0026557885746203826,nan,0.025613907191662122,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,101,5,50,0.5,0,50,True,`xtol` termination condition is satisfied.,16,0.6622889169957489,0.8332591178672296,1.2001068797897494,0.0013387075682153192,0.0009913721438801987,-0.003394198526624148,nan,0.0072321300323008415,2.0484834509646225e-07,7.023342268475813e-07,0.0,False,True,False,True,True,True,True,8.992264072173101e-05,2.249848197854618e-07,6.886374175067747e-09,1.2243210463083403e-13,9.015451203812364e-05,False
clean,101,6,60,0.6,0,60,False,The maximum number of function evaluations is exceeded.,45,1.9811469580017729,0.8332591178672296,1.2001068797897494,0.0019415651135960593,nan,0.00337513259046629,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,101,7,70,0.7000000000000001,0,70,False,The maximum number of function evaluations is exceeded.,45,2.308605041995179,0.8332591178672296,1.2001068797897494,0.0034635354935195727,nan,-0.025381242589095354,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,101,8,80,0.8,10,80,False,The maximum number of function evaluations is exceeded.,45,2.2887513329915237,0.8332591178672296,1.2001068797897494,0.0031669995371118084,nan,0.03982991928705992,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,101,9,90,0.9,20,90,False,The maximum number of function evaluations is exceeded.,45,2.3326188749924768,0.8332591178672296,1.2001068797897494,0.005335862837846302,nan,-0.04174082599945894,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,101,10,100,1.0,30,100,False,The maximum number of function evaluations is exceeded.,45,2.297401500007254,0.8332591178672296,1.2001068797897494,0.007927737311205432,nan,0.038977604377143926,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
