condition,seed,window_start,window_end,profile,minimum_cost,confidence_cost_threshold_95,lambda_at_minimum,truth_profile_cost,truth_in_region_95,lambda_region_lower_95,lambda_region_upper_95,lambda_region_width_95,boundary_hit,expansion_count,refinement_count,accepted_point_count,region_resolved,kappa_at_minimum,kappa_region_lower_95,kappa_region_upper_95,kappa_region_width_95,ridge_direction_lambda_kappa_json
clean,101,1,70,lambda_1d,0.040053907947979084,0.041177013334767656,0.8322797872506456,0.040076191142292814,True,0.8248002437634145,0.8397593325982364,0.014959088834821888,False,0,24,27,True,,,,,
clean,101,1,70,lambda_kappa_2d,0.040053907947979084,0.04180559823588743,0.8322797872506456,0.9286641170791261,False,0.8231055886699179,0.8414539858313732,0.01834839716145531,False,0,2,1571,True,200.5706561955081,192.92016906352953,208.22114332748666,15.30097426395713,"[0.00014143390989365345, 0.9999999899982246]"
clean,101,11,80,lambda_1d,0.025417992578876256,0.026130709161332182,0.8361190825736963,0.025580797536399493,True,0.8302904519435759,0.8419477149099847,0.011657262966408788,False,0,24,23,True,,,,,
clean,101,11,80,lambda_kappa_2d,0.025417992578876256,0.026529605727744803,0.8361190825736963,1.1913349545290075,False,0.8289698453452119,0.8432683198021806,0.014298474456968746,False,0,2,1581,True,208.9660101947516,203.9154398831119,214.01658050639128,10.101140623279377,"[-9.678350450535275e-05, -0.9999999953164767]"
clean,101,21,90,lambda_1d,0.04415117620781449,0.04538916836319792,0.8380833852741287,0.04461801100676898,True,0.8303481124171899,0.8458186549587995,0.015470542541609622,False,0,24,24,True,,,,,
clean,101,21,90,lambda_kappa_2d,0.04415117620781449,0.04608205363089651,0.8380833852741287,0.9250085314202028,False,0.8285955144678468,0.8475712560804106,0.018975741612563768,False,0,2,1585,True,223.10254629463077,216.10343827063377,230.10165431862777,13.998216047993992,"[-5.56416228174792e-05, -0.9999999984520049]"
clean,101,31,100,lambda_1d,0.07760217089364696,0.07977812376871567,0.8383084025402995,0.07809086462394484,True,0.8278104294498279,0.8488063799714818,0.020995950521653928,False,0,24,25,True,,,,,
clean,101,31,100,lambda_kappa_2d,0.07760217089364696,0.08099597130012799,0.8383084025402995,0.896875494907077,False,0.8254318811367123,0.8511849239438867,0.025753042807174387,False,0,2,1584,True,247.87082385009117,239.83252913120833,255.909118568974,16.076589437765676,"[-2.480869896939803e-20, -1.0]"
clean,101,41,110,lambda_1d,0.06707748417745867,0.06895832646405332,0.8348727100082142,0.06712120333652911,True,0.8247758761776564,0.8449695436065411,0.020193667428884732,False,0,24,29,True,,,,,
clean,101,41,110,lambda_kappa_2d,0.06707748417745867,0.07001100511438159,0.8348727100082142,0.9041014330166464,False,0.8224882161989168,0.8472572038175116,0.024768987618594807,False,0,2,1578,True,272.1468030985386,266.1621898369348,278.13141636014245,11.96922652320768,"[-0.00010457237033277345, 0.9999999945323097]"
clean,101,51,120,lambda_1d,0.06619024901949952,0.06804621336942578,0.8326764724876683,0.06619755027107493,True,0.8222037526196441,0.8431491919625365,0.02094543934289239,False,0,24,27,True,,,,,
clean,101,51,120,lambda_kappa_2d,0.06619024901949952,0.06908496821924098,0.8326764724876683,1.5694810644204555,False,0.81983092550403,0.8455220194713066,0.025691093967276535,False,0,2,1587,True,277.510749554908,273.30568599715616,281.7158131126598,8.410127115503656,"[-0.0001253883023537828, 0.9999999921388868]"
clean,101,61,130,lambda_1d,0.06891940261366081,0.07085189200845801,0.8311107510497622,0.06899415321014904,True,0.8198099537859809,0.8424115465665594,0.022601592780578494,False,0,24,27,True,,,,,
clean,101,61,130,lambda_kappa_2d,0.06891940261366081,0.07193347675503023,0.8311107510497622,2.594777381211822,False,0.8172495090775854,0.8449719930219389,0.027722483944353504,False,0,2,1583,True,280.6101982147466,277.4067251422122,283.813671287281,6.406946145068787,"[-9.123110334053685e-05, 0.9999999958384429]"
clean,101,71,140,lambda_1d,0.06516840624956421,0.0669957182861917,0.8312426614391575,0.06522551661983145,True,0.819416747254905,0.8430685759816787,0.023651828726773738,False,0,24,24,True,,,,,
clean,101,71,140,lambda_kappa_2d,0.06516840624956421,0.068018436874643,0.8312426614391575,4.017911114164283,False,0.8167373245842101,0.8457479982941049,0.02901067370989474,False,0,2,1581,True,281.7228823061418,279.26283369437147,284.18293091791213,4.920097223540665,"[-2.383679508077043e-05, 0.9999999997159036]"
clean,101,81,150,lambda_1d,0.0285081651016223,0.02930752964389552,0.8311671469300886,0.028559767814973987,True,0.8226414127836525,0.8396928864975749,0.01705147371392235,False,0,24,22,True,,,,,
clean,101,81,150,lambda_kappa_2d,0.0285081651016223,0.02975492174767683,0.8311671469300886,6.066464326989568,False,0.82070971455201,0.8416245793081673,0.020914864756157225,False,0,2,1585,True,282.253149111577,280.9435452010619,283.56275302209207,2.619207821030159,"[0.00020833782009835845, -0.9999999782976762]"
clean,101,91,160,lambda_1d,0.019461056153876333,0.020006741159878754,0.8320228659152968,0.019476647456435188,True,0.8242701146046304,0.8397756201042224,0.015505505499591954,False,0,24,27,True,,,,,
