condition,seed,window_start,window_end,transitions,rank,raw_condition_number_H,physical_scale_condition_number_HS,column_normalized_geometric_condition_number,column_normalized_singular_values_json,physical_scaled_weighted_singular_values_json,weighted_residual_rms,physical_scaled_sigma_min_over_residual_rms,normalized_right_singular_directions_json,physical_right_singular_directions_json,normalized_weak_direction_json,physical_weak_direction_json,conditional_lambda_information_abs,conditional_lambda_information_ratio,corr_lambda_kappa,corr_lambda_beta,corr_kappa_beta,truth_lambda,truth_kappa,truth_beta
clean,101,1,70,70,3,1991.0634961689168,19.069736846840986,2.0514166985334903,"[1.2837700407223487, 0.9799555225153321, 0.6257968172142139]","[4.566784358272051, 3.031644415298291, 0.5602157679017203]",0.01691447139243686,33.12050107295787,"[[-0.2472968049478888, 0.6904124680223115, 0.6798344756349933], [0.9667842829488783, 0.12904390266716861, 0.22062597632067182], [0.06459443091775938, 0.7118133850833144, -0.699392067663513]]","[[-0.0005284666371367124, 0.9827542597004731, 0.18491561795475323], [0.01069075132009662, 0.9505027434371319, 0.31053219246109975], [0.00013389635460885538, 0.982826973229377, -0.18452946313406923]]","[0.06459443091775938, 0.7118133850833144, -0.699392067663513]","[0.00013389635460885538, 0.982826973229377, -0.18452946313406923]",20.075685066474346,0.9793732378511694,-0.1435726459058819,-0.08993393135344165,0.6059231643878281,0.8333333333333334,375.0,15.0
clean,101,11,80,70,3,1711.702054946694,24.055383959376123,2.2340230402772585,"[1.3055063072268727, 0.9768109416039916, 0.5843745940350059]","[4.712557946770982, 3.800783708367493, 0.45359971610070593]",0.013474312221746833,33.66403484169083,"[[0.24730416829643811, -0.6858042507886332, -0.6844802246547733], [0.9689037235699652, 0.16910018787103676, 0.1806396991644872], [-0.008137738965053608, -0.7078683889412085, 0.706297473549435]]","[[0.0006474256960633638, -0.9619359267501042, -0.27327431944364317], [0.010231160540141688, 0.9567001480171664, 0.29089542818327974], [-2.0640460044110732e-05, -0.961956897984613, 0.27320125547623697]]","[-0.008137738965053608, -0.7078683889412085, 0.706297473549435]","[-2.0640460044110732e-05, -0.961956897984613, 0.27320125547623697]",20.97894207311309,0.9804364476347989,-0.13076265085675123,-0.1234663829473122,0.6584643478777029,0.8333333333333334,375.0,15.0
clean,101,21,90,70,3,1797.4852098339077,23.23512831476998,3.6792100868440802,"[1.3798826596651312, 0.97737525006231, 0.3750486183431712]","[5.602838373885246, 4.458382013870979, 0.4655348762617325]",0.017758534408602866,26.214712630576702,"[[0.21714407570525532, -0.6902871113219554, -0.6901826963412665], [0.9761393014075369, 0.15303599599227777, 0.15405209566330919], [-0.0007173797572977145, -0.7071659549734008, 0.7070472385158165]]","[[0.0007984307052379217, -0.9673199048022153, -0.2535578125040559], [0.016180438748331943, 0.9667700865059579, 0.2551348530467254], [-2.5748230335994515e-06, -0.9673212464656525, 0.25355395112185963]]","[-0.0007173797572977145, -0.7071659549734008, 0.7070472385158165]","[-2.5748230335994515e-06, -0.9673212464656525, 0.25355395112185963]",20.690286515793147,0.9782442215417544,-0.14263261594540289,-0.14178466803285877,0.859338103745239,0.8333333333333334,375.0,15.0
clean,101,31,100,70,3,1542.9484036646836,23.058773304769982,4.6677017772189675,"[1.3995750629053465, 0.975337971145799, 0.29984243417950707]","[7.832037149204534, 4.43042751002178, 0.4586398422256479]",0.023543602542281133,19.480444481764955,"[[0.22017088183662595, -0.6888699744040677, -0.6906395160688545], [0.9753874022938772, 0.16418859353436344, 0.14717853511843934], [0.012008257062731098, -0.7060455113643501, 0.7080646422782094]]","[[0.0011647093671262136, -0.9557475368954087, -0.29418580722130294], [0.021833757785494432, 0.9639235126603427, 0.26528239436779566], [6.197715041778636e-05, -0.9557241709790657, 0.2942640058947243]]","[0.012008257062731098, -0.7060455113643501, 0.7080646422782094]","[6.197715041778636e-05, -0.9557241709790657, 0.2942640058947243]",19.744153291175422,0.974229177405317,-0.14550750933551884,-0.1605271128267575,0.9099669720836792,0.8333333333333334,375.0,15.0
clean,101,41,110,70,3,1216.5543205901845,22.262391687203085,5.133344205406339,"[1.4068267587318701, 0.972487255278293, 0.274056580357543]","[10.585885908439403, 4.312070403740955, 0.48107771561715396]",0.021888921558218623,21.97813694647391,"[[0.23022704743361835, -0.6862581087556024, -0.6899603719034755], [0.97283715676801, 0.17990399322940956, 0.14567916677290169], [-0.024153116600820253, 0.7047583709238907, -0.7090361525135166]]","[[0.0016805918475580443, -0.9386839661577693, -0.3447746906160045], [0.027662403714215987, 0.9585539711055783, 0.2835649412365319], [-0.00017166915563374984, 0.93861034838028, -0.3449791072560052]]","[-0.024153116600820253, 0.7047583709238907, -0.7090361525135166]","[-0.00017166915563374984, 0.93861034838028, -0.3449791072560052]",18.44938935868547,0.965933232157802,-0.14845710144857044,-0.17906764382614523,0.924370043483614,0.8333333333333334,375.0,15.0
clean,101,51,120,70,3,841.2584505141132,23.63463478243389,4.652148882550528,"[1.403525894541944, 0.9690695177419296, 0.30169410523518425]","[13.607709356889677, 4.135970691102296, 0.5732241790455014]",0.0217436770808533,26.36279856962473,"[[0.24428124638982499, -0.6835258914359418, -0.6878364837655346], [0.969335700054391, 0.19168286306586696, 0.1537724962629406], [-0.02673898394287992, 0.7043081965614012, -0.7093905771816604]]","[[0.00234910644912641, -0.9164255467237523, -0.40019832459789506], [0.0342346549255033, 0.9438536982052996, 0.3285851256315644], [-0.00024951001511773133, 0.9162953277949981, -0.4005031959994944]]","[-0.02673898394287992, 0.7043081965614012, -0.7093905771816604]","[-0.00024951001511773133, 0.9162953277949981, -0.4005031959994944]",16.921956050200418,0.9627442889826411,-0.1561421227158589,-0.18928556514871395,0.9083537851066035,0.8333333333333334,375.0,15.0
clean,101,61,130,70,3,608.8959870284958,25.57213020647598,4.266410607523391,"[1.4006602370132393, 0.9645570872115798, 0.3282994455675021]","[16.799783989631713, 3.9108350176475764, 0.653804622437655]",0.02218741641652841,29.46736159648612,"[[0.26080912564738207, -0.6804660314380208, -0.6847952833059227], [0.9650547366179953, 0.20247395647968755, 0.16635399688205055], [-0.025454966317396827, 0.7042515722427976, -0.7094940223027449]]","[[0.003193623949850912, -0.8895558148187682, -0.4568153380614364], [0.04113839085184993, 0.9214468337032107, 0.38632028869378315], [-0.00030110424966007485, 0.8893607170601192, -0.4572061070092364]]","[-0.025454966317396827, 0.7042515722427976, -0.7094940223027449]","[-0.00030110424966007485, 0.8893607170601192, -0.4572061070092364]",15.132091758359598,0.959954512246486,-0.16831201365891318,-0.19907907954971626,0.8916655026402963,0.8333333333333334,375.0,15.0
clean,101,71,140,70,3,463.845500412806,28.685366841569753,3.9722461719387487,"[1.393734610479462, 0.9666412915974596, 0.3508681361002399]","[19.972902570713174, 3.6306681349802346, 0.6935260760237557]",0.02157518519198192,32.14461752483561,"[[0.25585083705654316, -0.6817449716637323, -0.6853934219035686], [0.9664705947501389, 0.1963676510787446, 0.16545191172400905], [0.021793087454031856, -0.7047435982121678, 0.7091272961310879]]","[[0.0038467485711513407, -0.8522985313941916, -0.5230415049580046], [0.05256448379727684, 0.8880482070358121, 0.45673554385837434], [0.0003168962061977566, -0.8521033162855174, 0.5233735166704732]]","[0.021793087454031856, -0.7047435982121678, 0.7091272961310879]","[0.0003168962061977566, -0.8521033162855174, 0.5233735166704732]",13.066016856197098,0.9641309792109276,-0.1633778180411745,-0.18931670850494695,0.8764917348553481,0.8333333333333334,375.0,15.0
clean,101,81,150,70,3,353.04577083923994,30.39797950259156,3.6643493224265273,"[1.3871419590128027, 0.9656793265680225, 0.37855068852830853]","[23.06642856299271, 3.3447438381306185, 0.7532893402518129]",0.014269889653598364,52.788729172958945,"[[0.2629711201173363, -0.6789956686456178, -0.6854276562444237], [0.9640737136272431, 0.21256090082628498, 0.1593101946922887], [-0.03752418789540981, 0.702696766322721, -0.7104992539914319]]","[[0.004788769808561851, -0.8181752844532229, -0.5749489295525374], [0.060657476921271505, 0.8849544736176435, 0.46171013646839626], [-0.0006599319296238781, 0.8177475309563209, -0.5755767021906717]]","[-0.03752418789540981, 0.702696766322721, -0.7104992539914319]","[-0.0006599319296238781, 0.8177475309563209, -0.5755767021906717]",10.9971686938154,0.9592850207898749,-0.15625039435197074,-0.19978007635241524,0.8555435450753033,0.8333333333333334,375.0,15.0
clean,101,91,160,70,3,327.3634364155356,40.02293034905998,3.8984247639674603,"[1.386791309275427, 0.9748154593109839, 0.35573119740396825]","[25.963801559510028, 3.0430153860569256, 0.6433759518860555]",0.011790146053220017,54.5689552090275,"[[0.22937980348159406, -0.6850279865318714, -0.6914633492983093], [0.9724287420134549, 0.1919678568688795, 0.13240348800276844], [-0.042038642471840616, 0.7027695209649175, -0.7101744524705638]]","[[0.004732932616492278, -0.7523108258719431, -0.6587913331432972], [0.0813986024199976, 0.8552666341360255, 0.5117550703781107], [-0.0008451048148574485, 0.7519494783428714, -0.659220196761094]]","[-0.042038642471840616, 0.7027695209649175, -0.7101744524705638]","[-0.0008451048148574485, 0.7519494783428714, -0.659220196761094]",9.078831256018885,0.9648478168859759,-0.12854167312569595,-0.17890540178561384,0.8719568673976685,0.8333333333333334,375.0,15.0
