scope,windows,rank1_fraction,rank2_fraction,rank3_fraction,normalized_sigma1_median,normalized_sigma2_median,normalized_sigma3_median,physical_scaled_sigma1_median,physical_scaled_sigma2_median,physical_scaled_sigma3_median,raw_condition_median,physical_scale_condition_median,column_normalized_condition_median,weighted_residual_rms_median,physical_scaled_sigma_min_over_residual_rms_median,conditional_lambda_information_abs_median,conditional_lambda_information_ratio_median,abs_corr_lambda_kappa_median,abs_corr_lambda_beta_median,abs_corr_kappa_beta_median,lambda_1d_relative_width_median,lambda_kappa_2d_lambda_relative_width_median,lambda_kappa_2d_kappa_relative_width_median,profile_truth_inclusion_1d_fraction,profile_truth_inclusion_2d_fraction,profile_boundary_hit_fraction,profile_region_resolved_fraction,within_scope_stable_1d_subspace,within_scope_stable_2d_subspace,practical_identifiability,physical_v1_direction_json,physical_v1_projector_eigenvalues_json,physical_v1_angular_dispersion_mean_deg,physical_v1_angular_dispersion_p95_deg,physical_v1_stability_concentration,physical_v2_direction_json,physical_v2_projector_eigenvalues_json,physical_v2_angular_dispersion_mean_deg,physical_v2_angular_dispersion_p95_deg,physical_v2_stability_concentration,physical_v3_direction_json,physical_v3_projector_eigenvalues_json,physical_v3_angular_dispersion_mean_deg,physical_v3_angular_dispersion_p95_deg,physical_v3_stability_concentration,physical_v12_basis_json,physical_v12_projector_eigenvalues_json,physical_v12_angular_dispersion_mean_deg,physical_v12_angular_dispersion_p95_deg,physical_v12_stability_concentration,cross_condition_v1_direction_json,cross_condition_v1_angular_dispersion_p95_deg,cross_condition_v1_stability_concentration,cross_condition_v12_basis_json,cross_condition_v12_angular_dispersion_p95_deg,cross_condition_v12_stability_concentration,cross_condition_stable_1d_subspace,cross_condition_stable_2d_subspace,state_source,summary_kind,true_minus_estimated_residual_rms_median,true_minus_estimated_physical_condition_median,true_minus_estimated_conditional_lambda_information_abs_median,true_minus_estimated_conditional_lambda_information_ratio_median,true_minus_estimated_v1_angle_median_deg,true_minus_estimated_v12_principal_angle_median_deg,true_minus_estimated_truth_inclusion_1d,true_minus_estimated_truth_inclusion_2d,true_minus_estimated_lambda_optimum_error_median,true_minus_estimated_lambda_width_median,estimated_v1_stability_concentration,true_v1_stability_concentration,true_minus_estimated_v1_stability_concentration,estimated_v12_stability_concentration,true_v12_stability_concentration,true_minus_estimated_v12_stability_concentration,estimated_cross_condition_stable_1d,true_cross_condition_stable_1d,estimated_cross_condition_stable_2d,true_cross_condition_stable_2d
overall,710,1.0,1.0,1.0,1.3969645670689212,0.9356391359673569,0.3871083270181743,32.85725534267522,1.8115555954191702,0.4655348762617325,322.0173659395482,68.91242544597156,3.667245011886075,0.01471946087543141,24.146621678150794,3.252709271397258,0.8969158837884874,0.25791570839304656,0.2565071943854982,0.8395178661534008,0.03104053666062571,0.038073458739488794,0.012200760526509365,0.5633802816901409,0.008450704225352112,0.0,1.0,False,False,not established,"[-0.012456370684112433, -0.5659881702543675, -0.8243192524510716]","[0.0005444287801292067, 0.24762558680609303, 0.7518299844137781]",27.70850643589484,60.65476004860367,0.7518299844137778,"[-0.028733765829194145, 0.5805086969172768, 0.81374690383723]","[0.012511185346467349, 0.29339377312466636, 0.6940950415288674]",32.77452306521578,54.11601448566501,0.6940950415288666,"[-0.011819627161193036, 0.5722359421329555, -0.8200038554451922]","[0.0016912956920848072, 0.22380275247692571, 0.7745059518309887]",25.949834779623412,48.12540355509193,0.7745059518309892,"[[-0.11005442836826222, 0.20813378479501898, 0.9718890628170668], [0.5437912180082328, 0.8311079616927696, -0.11640733322266789]]","[0.37473211598906253, 0.6878819749980329, 0.937385909012905]",36.579412176643245,66.59974854028415,0.8126339420054689,"[-0.011550093385067005, -0.5809177941782151, -0.813880280968837]",19.59466345364594,0.96855473288018,"[[-0.11129972605079366, 0.24924059910781574, 0.9620246850977343], [0.6448974480517343, 0.7546454914860492, -0.12090270334504437]]",32.34407340108497,0.9469355819632708,True,False,estimated,state_source,,,,,,,,,,,,,,,,,,,,
clean,75,1.0,1.0,1.0,1.3875133387494833,0.9690695177419296,0.3282994455675021,32.970239752550576,1.9638628088828842,0.3716208703300834,300.09101919063863,87.68717663689323,4.266410607523391,0.005249386548937407,41.28023923020423,3.749224241156243,0.9641309792109276,0.1561421227158589,0.18928556514871395,0.8916655026402963,0.018635912707200133,0.022858295378675352,0.002939739604574117,0.72,0.0,0.0,1.0,False,False,not established,"[0.008974574056860633, 0.5680908217285555, 0.8229169309767984]","[7.307313968570323e-05, 0.2046118401256337, 0.7953150867346808]",24.974649000081328,40.696390891664755,0.7953150867346805,"[-0.032238458376943495, 0.6469512172273157, 0.7618495942963888]","[0.012856151942465045, 0.2625081427069944, 0.7246357053505403]",31.196122652804174,38.56461093360504,0.7246357053505404,"[-0.0010024338083217418, 0.5682778780370417, -0.8228361006058114]","[1.3407354551495211e-06, 0.20396079643034334, 0.7960378628342016]",24.9187800928104,40.68187293435609,0.7960378628342014,"[[0.24898764962925254, -0.2106106457061235, -0.94532973413902], [0.7562347780324222, 0.6520759927360857, 0.05390603112362256]]","[0.3772489035650989, 0.6934727934334297, 0.9292783030014717]",37.259567800124856,64.25152916218629,0.8113755482174507,"[-0.011550093385067005, -0.5809177941782151, -0.813880280968837]",19.59466345364594,0.96855473288018,"[[-0.11129972605079366, 0.24924059910781574, 0.9620246850977343], [0.6448974480517343, 0.7546454914860492, -0.12090270334504437]]",32.34407340108497,0.9469355819632708,True,False,estimated,state_source,,,,,,,,,,,,,,,,,,,,
initial_theta_offset,87,1.0,1.0,1.0,1.4006868233190886,0.9412084963121102,0.44333898878479394,30.11528299952169,2.06652598088214,0.3493905758111704,402.0655088736903,80.91570991887339,3.0574920386752984,0.005885078769033382,61.66336175115509,4.067218687578446,0.9025706367666249,0.20843765078196622,0.2782282151880158,0.7955573628969945,0.01802215425116068,0.022105460405582228,0.002872238991038366,0.2413793103448276,0.0,0.0,1.0,False,False,not established,"[0.0011456782593881627, 0.5501688431031065, 0.8350526519327482]","[2.5312982781225416e-05, 0.28095871515218906, 0.7190159718650297]",29.921783255024188,62.19550246777294,0.7190159718650297,"[0.002495863983567777, 0.6207425663468301, 0.7840104827029591]","[0.013745910359880455, 0.27761897330946705, 0.7086351163306531]",30.93238787028055,51.369454527805125,0.7086351163306527,"[-0.00122085993205752, 0.5533864758755944, -0.8329237166865981]","[3.033920468214377e-07, 0.2701622479142636, 0.7298374486936896]",29.202462807579128,56.778672883166415,0.7298374486936896,"[[-0.1178474327810569, 0.07540308155816783, 0.9901648134924037], [0.5076969433462835, 0.8615201484932522, -0.005181453175049298]]","[0.3571841147394683, 0.6497772010820789, 0.9930386841784529]",35.25456616757064,57.24830064866395,0.8214079426302658,"[-0.011550093385067005, -0.5809177941782151, -0.813880280968837]",19.59466345364594,0.96855473288018,"[[-0.11129972605079366, 0.24924059910781574, 0.9620246850977343], [0.6448974480517343, 0.7546454914860492, -0.12090270334504437]]",32.34407340108497,0.9469355819632708,True,False,estimated,state_source,,,,,,,,,,,,,,,,,,,,
mass_mismatch,150,1.0,1.0,1.0,1.5503377673926728,0.6578633469303536,0.34403042253705607,36.12099813126091,0.3950098837254892,0.10272993010010259,417.4753833195773,365.12348111628864,4.099317617995112,0.0011613119224184406,38.2018623409362,0.15839267198562768,0.5256676360182164,0.6069901524008172,0.6706529349118402,0.880722141319114,0.032906823294746076,0.04036259217877432,0.0026548874921173016,0.14,0.0,0.0,1.0,False,False,not established,"[-0.022927653363688, -0.22855026097504375, -0.973262092614047]","[0.00036130919091236153, 0.25763639467904986, 0.7420022961300383]",26.683618069386036,82.47867346872812,0.742002296130038,"[0.0657459139662268, -0.3244628917229681, -0.9436107813561244]","[0.0026384232597141018, 0.255187836434608, 0.7421737403056776]",27.823544166490912,72.0209910541983,0.7421737403056777,"[0.0029643628639977643, -0.27462301128614836, 0.9615474061245955]","[1.862157525887175e-05, 0.16861186812734444, 0.8313695102973961]",20.865260134652708,57.76032669736594,0.8313695102973966,"[[-0.03146829354851267, 0.07684098878832578, 0.9965466416295713], [0.9429367178326488, 0.33294671195732656, 0.00410282339331368]]","[0.4162494922037499, 0.5865841640138265, 0.9971663437824234]",38.00829645130094,70.5590968059052,0.791875253898125,"[-0.011550093385067005, -0.5809177941782151, -0.813880280968837]",19.59466345364594,0.96855473288018,"[[-0.11129972605079366, 0.24924059910781574, 0.9620246850977343], [0.6448974480517343, 0.7546454914860492, -0.12090270334504437]]",32.34407340108497,0.9469355819632708,True,False,estimated,state_source,,,,,,,,,,,,,,,,,,,,
noise,79,1.0,1.0,1.0,1.396686386203683,0.9380029945403349,0.4114144479940842,35.9948336390367,1.8730310273382373,0.5583214958348419,212.1886690401587,60.7098776292935,3.5039428913720734,0.050762958406586,10.848585783259491,3.4926954310758775,0.9190949224470762,0.23083485771508894,0.2595146865526555,0.8100318963496981,0.13265938147471487,0.1627162871560061,0.026421025481050412,1.0,0.0,0.0,1.0,False,False,not established,"[-0.029043584950267657, -0.6477776967801597, -0.7612755911806367]","[0.0009216515053655777, 0.18716539939069463, 0.8119129491039396]",23.903165386930073,42.01114745566372,0.8119129491039399,"[-0.03698059541145322, 0.6906337645448433, 0.7222585678506228]","[0.014383014933951537, 0.30906217358980737, 0.6765548114762414]",34.08281433869487,52.07176213249605,0.6765548114762411,"[-0.04363731647088994, 0.7046432938491807, -0.7082186195269058]","[0.006973949255976261, 0.15576080480300047, 0.8372652459410228]",22.014635969383324,37.864962567001676,0.8372652459410231,"[[-0.10022408072119654, 0.353362458073521, 0.9301022023776905], [0.5205354426194171, 0.8152930214305206, -0.2536535869718775]]","[0.2419567375646918, 0.8122157837125424, 0.9458274787227656]",27.47279810326861,62.98298469840014,0.879021631217654,"[-0.011550093385067005, -0.5809177941782151, -0.813880280968837]",19.59466345364594,0.96855473288018,"[[-0.11129972605079366, 0.24924059910781574, 0.9620246850977343], [0.6448974480517343, 0.7546454914860492, -0.12090270334504437]]",32.34407340108497,0.9469355819632708,True,False,estimated,state_source,,,,,,,,,,,,,,,,,,,,
noise_bias,73,1.0,1.0,1.0,1.3917312356495486,0.9330278367758464,0.4556467076745305,33.93127144242333,2.275059540389087,0.548749413365369,228.12407576922715,58.464924255242536,3.238564048461424,0.05172723805937454,11.019842309298248,4.823078146582266,0.9013425157837619,0.24881169645552065,0.25760188445115306,0.7913992708220542,0.10960830824928701,0.13444248710203105,0.026545435866620934,1.0,0.0,0.0,1.0,False,False,not established,"[-0.02027724465154699, -0.652533817364285, -0.7574882510939265]","[0.0007220622289493342, 0.19431958806582078, 0.8049583497052297]",24.244898542449818,41.76565372932082,0.80495834970523,"[-0.0314918404798059, 0.642441346017604, 0.7656875217151473]","[0.011610021034019055, 0.2596446350863529, 0.7287453438796285]",30.629037914366588,42.85590724026038,0.7287453438796282,"[-0.03700910370221919, 0.7023028020508086, -0.7109156774714857]","[0.0063642106640964865, 0.16439596050807054, 0.8292398288278333]",22.51113469995806,38.51632935380991,0.829239828827833,"[[-0.01630626983155899, 0.4620232442847943, 0.8867178961229628], [0.47494636153673214, 0.7839774950866801, -0.3997564769464449]]","[0.2592351942734821, 0.8033249693080539, 0.937439836418464]",28.61725888132873,72.19297021022882,0.870382402863259,"[-0.011550093385067005, -0.5809177941782151, -0.813880280968837]",19.59466345364594,0.96855473288018,"[[-0.11129972605079366, 0.24924059910781574, 0.9620246850977343], [0.6448974480517343, 0.7546454914860492, -0.12090270334504437]]",32.34407340108497,0.9469355819632708,True,False,estimated,state_source,,,,,,,,,,,,,,,,,,,,
parameter_mismatch_high_k,72,1.0,1.0,1.0,1.3875452045660968,0.9745295807644965,0.35341399654893857,23.861255771823465,1.6781193857694114,0.3639048711256655,349.49441785562135,56.99719357561947,3.916837384102571,0.002518355226661346,124.60340843788357,5.070978027821095,0.9667362798510126,0.13548984240098821,0.16289205799650125,0.8747181419285178,0.0068861342193630125,0.008446342108076765,0.0014096476655366327,0.4166666666666667,0.08333333333333333,0.0,1.0,False,False,not established,"[0.004173369077068537, 0.6649587182309208, 0.7468684529682837]","[3.213844950771162e-05, 0.2363752261383836, 0.7635926354121088]",27.126685870436088,41.42257754308542,0.7635926354121088,"[-0.015217238871487524, 0.6953083092965924, 0.7185504788560385]","[0.01864386979292502, 0.2889450582974064, 0.6924110719096687]",32.95076986281629,52.889715800744256,0.6924110719096687,"[-0.000922329761382268, 0.664926201156181, -0.746908492603894]","[5.00541829014666e-07, 0.23585953285395517, 0.7641399666042155]",27.08722446421792,41.424978980048074,0.7641399666042157,"[[0.17479732325369962, 0.5896325757869648, 0.7885298481060633], [0.8449290450710513, 0.3213448517463719, -0.4275890492650906]]","[0.4099066255103646, 0.755923522034883, 0.8341698524547518]",39.4003493716952,72.15002389136012,0.7950466872448174,"[-0.011550093385067005, -0.5809177941782151, -0.813880280968837]",19.59466345364594,0.96855473288018,"[[-0.11129972605079366, 0.24924059910781574, 0.9620246850977343], [0.6448974480517343, 0.7546454914860492, -0.12090270334504437]]",32.34407340108497,0.9469355819632708,True,False,estimated,state_source,,,,,,,,,,,,,,,,,,,,
parameter_mismatch_low_k,84,1.0,1.0,1.0,1.3909317261198824,0.9565267531722497,0.37882416142515446,40.2409004790972,1.5219577599968317,0.3830726242883435,353.0988963155026,105.11569126582324,3.692036053877559,0.006718060213261923,41.7849748441804,2.324546944634844,0.941092522075622,0.18751874963812137,0.199210131880386,0.8525374203296132,0.024695216775362565,0.030290468814032294,0.00282999920372884,0.6071428571428571,0.0,0.0,1.0,False,False,not established,"[-0.00143912566133504, 0.47716367875430415, 0.8788132637796218]","[6.886209746617178e-05, 0.23510595101665116, 0.7648251868858826]",26.997926681520113,48.920770051174024,0.7648251868858826,"[0.008547425557666442, 0.5273979170146869, 0.8495754108052478]","[0.015417189661720225, 0.2734962871225022, 0.7110865232157779]",31.94988483284208,43.159779561500116,0.7110865232157776,"[-0.0009412344664958038, 0.4763702034528545, -0.8792443024210985]","[2.3516888342677725e-05, 0.23523581222633425, 0.7647406708853226]",26.991655898225147,48.978685998718134,0.7647406708853229,"[[-0.23171803862741114, 0.12266373971100832, 0.9650183197923111], [0.6831670989678623, 0.7267371404729128, 0.07166479990266252]]","[0.37163087869100375, 0.7047060737297475, 0.9236630475792492]",36.6443890405805,61.043949056770316,0.8141845606544984,"[-0.011550093385067005, -0.5809177941782151, -0.813880280968837]",19.59466345364594,0.96855473288018,"[[-0.11129972605079366, 0.24924059910781574, 0.9620246850977343], [0.6448974480517343, 0.7546454914860492, -0.12090270334504437]]",32.34407340108497,0.9469355819632708,True,False,estimated,state_source,,,,,,,,,,,,,,,,,,,,
stronger_noise,90,1.0,1.0,1.0,1.3974769159396812,0.9016561166083261,0.4427737087795617,42.239278108206676,2.31481347453673,0.8586436253649508,126.40173137678583,48.31474207559813,3.1271895602062703,0.08678579850058886,9.565913536318,5.031928292210205,0.724278384592363,0.43378981745265693,0.33854649275101084,0.7195126660802852,0.18878351831480722,0.23155659051944336,0.04032276666407833,0.7888888888888889,0.0,0.0,1.0,False,False,not established,"[0.006527628827887202, 0.7668134886593475, 0.6418367889673872]","[0.0006998797927556867, 0.1754439577886639, 0.8238561624185805]",22.610349393073452,48.4959055579227,0.8238561624185805,"[0.0016346538620514084, 0.7472566818288091, 0.6645335050762672]","[0.011623815027173603, 0.33463226004883667, 0.6537439249239897]",35.09807913436362,67.42289608992526,0.6537439249239897,"[-0.009377294277473452, 0.765476700334897, -0.6433952809870708]","[0.000196880432486284, 0.1682630600882464, 0.8315400594792665]",21.93572056167773,45.82552805101024,0.8315400594792672,"[[0.011703844142952207, 0.5882838872426002, 0.8085697793282984], [0.16295691958659844, 0.7966927885029117, -0.5820014116016407]]","[0.13328429167943742, 0.8846923600506265, 0.9820233482699356]",16.873967878197774,56.05635698352384,0.933357854160281,"[-0.011550093385067005, -0.5809177941782151, -0.813880280968837]",19.59466345364594,0.96855473288018,"[[-0.11129972605079366, 0.24924059910781574, 0.9620246850977343], [0.6448974480517343, 0.7546454914860492, -0.12090270334504437]]",32.34407340108497,0.9469355819632708,True,False,estimated,state_source,,,,,,,,,,,,,,,,,,,,
overall,710,1.0,1.0,1.0,1.3731912111857587,0.9568859062097315,0.4720848296075543,25.958693846959015,1.6806775930270297,0.3438885862687065,365.4452067117761,69.05389734216975,2.963760316590557,0.0037115879723016543,88.86806965629964,3.375351933781725,0.8958055572044465,0.25346999112150054,0.1917702759103894,0.702985744595275,0.009510775756238666,0.011665647384925018,0.0016801950552286476,0.4943661971830986,0.37464788732394366,0.0,1.0,False,False,not established,"[0.0036452022010008407, 0.5503448984910746, 0.8349294612155945]","[0.0005858101072867234, 0.2871879601792505, 0.7122262297134633]",30.52611658078284,59.95374825667598,0.7122262297134629,"[-0.004054059033615674, 0.6113583773869393, 0.791343477261398]","[0.0075611430656712195, 0.3220228545395027, 0.6704160023948275]",34.193964113360515,53.63388932481876,0.6704160023948266,"[-0.0073037076143750304, 0.5421901598392267, -0.8402240691795242]","[0.00017621018981468043, 0.2557859686618268, 0.7440378211483598]",28.22150969447004,51.971667755965285,0.7440378211483588,"[[-0.014389811934033115, 0.27585722665946677, 0.9610909029911013], [0.32071261970700027, 0.9116795627110158, -0.2568731019311367]]","[0.2209637737051688, 0.8267125391509568, 0.9523236871438722]",25.4350112984812,77.77271217871169,0.8895181131474145,"[-0.0038027650776156804, -0.5893450164115516, -0.8078725088828268]",18.98461762313662,0.9728193179405822,"[[0.020146774261879746, 0.42096028271066505, 0.9068553070181581], [0.35085583015005134, 0.8463774243207891, -0.40068122248219434]]",16.726454443777016,0.9857589775296196,True,True,true,state_source,,,,,,,,,,,,,,,,,,,,
