solver,filter,condition,target_reached,final_theta_deg,T_reach,max_abs_F_rad,max_abs_delta_r,max_abs_omega,max_abs_alpha_step,max_abs_F_tan,feasible_mpc_decisions,total_mpc_decisions,feasible_mpc_decision_ratio,mean_feasible_count,omega_violation_count,alpha_violation_count,max_omega_violation_severity,max_alpha_violation_severity,rms_raw_theta,rms_raw_omega,rms_raw_r,rms_raw_r_dot,rms_filt_theta,rms_filt_omega,rms_filt_r,rms_filt_r_dot,rms_reduction_theta,rms_reduction_omega,rms_reduction_r,rms_reduction_r_dot,rms_reduction_ratio_theta,rms_reduction_ratio_omega,rms_reduction_ratio_r,rms_reduction_ratio_r_dot,done_reason,runtime_s
cem,raw,clean,True,90.07009804455394,2.0400000000000005,0.8111186805543643,0.011669650259969355,1.596524798242823,11.071127403206015,8.066946866492385,0,68,0.0,0.0,16,76,0.39652479824282305,8.071127403206015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,target_reached,30.8310258340789
cem,raw,noise,True,91.40221587557045,1.350000000000001,0.8096104931276599,0.01050188750133002,3.8703388002383665,61.735912819438354,11.219567625427604,0,45,0.0,0.0,44,73,2.6703388002383663,58.735912819438354,0.004209213920147345,0.03560272006355849,0.0008526713025420099,0.003714826327686026,0.004209213920147345,0.03560272006355849,0.0008526713025420099,0.003714826327686026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,target_reached,20.152666374924593
cem,raw,noise_bias,True,90.12212579830368,3.2199999999999753,0.7087302975094822,0.012001777005701708,2.614595690197909,40.43578011654856,11.707216051024433,10,108,0.09259259259259259,0.09259259259259259,60,145,1.414595690197909,37.43578011654856,0.010615046179846332,0.036326659390525075,0.0017005800185201617,0.004617980456954724,0.010615046179846332,0.036326659390525075,0.0017005800185201617,0.004617980456954724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,target_reached,48.50266591703985
cem,low_pass,clean,True,90.15642638438275,1.8900000000000015,0.8078241346016796,0.011573364650617979,1.7636534093150307,8.494471611816579,7.968722046424548,0,63,0.0,0.0,25,96,0.5636534093150307,5.494471611816579,0.0,0.0,0.0,0.0,0.015810626557760665,0.06297721868204854,0.00014805845519830772,0.0022886937122765984,-0.015810626557760665,-0.06297721868204854,-0.00014805845519830772,-0.0022886937122765984,nan,nan,nan,nan,target_reached,28.757585124927573
cem,low_pass,noise,True,90.01772027258865,2.06,0.794516981628117,0.011689329992131514,1.8083448839131333,12.187934439454539,8.650012530991075,0,69,0.0,0.0,21,88,0.6083448839131333,9.187934439454539,0.003944227224854532,0.03523538261558523,0.0008159042871195409,0.003966611943980777,0.014887625823912192,0.06358799232768021,0.00039619844019767253,0.0026753451480679615,-0.01094339859905766,-0.02835260971209498,0.0004197058469218684,0.0012912667959128158,-2.774535536415822,-0.8046630292458956,0.5144057379617321,0.32553393529515207,target_reached,31.65275466698222
cem,low_pass,noise_bias,True,90.15222594833949,1.290000000000001,0.7355629099954926,0.011793903982144027,2.2436156427225242,47.28772435381841,12.531257094218326,0,43,0.0,0.0,65,94,1.0436156427225243,44.28772435381841,0.010672517896560143,0.036268709069463015,0.0016485509232175462,0.004800994941943163,0.01725151957113798,0.15551116702691165,0.0016357552630150312,0.006227829063123068,-0.006579001674577837,-0.11924245795744863,1.279566020251496e-05,-0.0014268341211799056,-0.6164432553163779,-3.2877502678430486,0.007761762176894804,-0.29719550602200934,target_reached,19.3640648330329
cem,alpha_beta,clean,False,89.97303654479177,nan,0.7645864936842929,0.011716469827837861,2.1716287051292813,14.401905421348104,8.995686703461098,217,267,0.8127340823970037,0.8127340823970037,65,76,0.9716287051292813,11.401905421348104,0.0,0.0,0.0,0.0,0.0009332364250948586,0.10742089525810433,1.7960368173636378e-05,0.0022887515506003,-0.0009332364250948586,-0.10742089525810433,-1.7960368173636378e-05,-0.0022887515506003,nan,nan,nan,nan,max_time,122.16672387497965
cem,alpha_beta,noise,True,90.00051640090601,2.1799999999999975,0.8690539966725377,0.011870629352344564,2.1813089367978824,14.204126995316834,8.964178035447073,10,73,0.136986301369863,0.136986301369863,65,84,0.9813089367978824,11.204126995316834,0.003957454652835571,0.035454466529938465,0.0008097641719126954,0.003995555616978892,0.003147860507044522,0.2117180893929333,0.0005357079305369731,0.009451259838373494,0.0008095941457910492,-0.17626362286299482,0.0002740562413757223,-0.005455704221394602,0.2045744592956899,-4.971549147810594,0.33843957399151225,-1.3654431934850035,target_reached,33.74763274996076
cem,alpha_beta,noise_bias,True,90.04128398911753,5.689999999999923,0.9301651438953005,0.012061514177659494,2.14061785111914,43.70594558616778,8.623515072372136,74,190,0.3894736842105263,0.3894736842105263,67,123,0.9406178511191399,40.70594558616778,0.010662446300435321,0.03760157187060801,0.0016807818630220014,0.00448942817552014,0.010329838539635285,0.16736206332444353,0.001569208327990765,0.008167836436927887,0.0003326077608000362,-0.12976049145383553,0.00011157353503123634,-0.003678408261407747,0.031194319898845038,-3.450932633889843,0.06638192467797699,-0.8193489499320413,target_reached,88.51451979193371
cem,oracle,clean,True,90.07009804455394,2.0400000000000005,0.8111186805543643,0.011669650259969355,1.596524798242823,11.071127403206015,8.066946866492385,0,68,0.0,0.0,16,76,0.39652479824282305,8.071127403206015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,target_reached,30.871928540989757
cem,oracle,noise,True,90.07009804455394,2.0400000000000005,0.8111186805543643,0.011669650259969355,1.596524798242823,11.071127403206015,8.066946866492385,0,68,0.0,0.0,16,76,0.39652479824282305,8.071127403206015,0.003947992769908563,0.03517625238464332,0.0008179205615732676,0.003980262764489595,0.0,0.0,0.0,0.0,0.003947992769908563,0.03517625238464332,0.0008179205615732676,0.003980262764489595,1.0,1.0,1.0,1.0,target_reached,31.041341083007865
