mode,horizon,crossing_time_s,fixed_alpha_limit,success,status,iterations,solve_time_s,objective,alpha_peak,alpha_abs_max_check,alpha_abs_p95_check,terminal_theta_deg,terminal_omega,terminal_crossing_margin_deg,F_tan_margin,F_rad_margin,delta_r_margin,omega_margin,action_total_variation,dynamics_residual_max,dynamics_residual_mean,constraint_violation_max,warm_start
min_alpha,18,0.54,nan,False,Infeasible_Problem_Detected,56,0.16323912500229198,81.98376255983008,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7982422480567711,0.011865420991734653,0.07079815315089788,heuristic
fixed_alpha_feasibility,18,0.54,3.0,False,Infeasible_Problem_Detected,145,0.4875050829941756,3.0002369742173283,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9006467968884398,0.015393842796498552,0.09979067869761771,heuristic
fixed_alpha_feasibility,18,0.54,4.0,False,Infeasible_Problem_Detected,122,0.42669295799714746,4.000236651345885,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8645802914701808,0.014364962832029534,0.09835886179047093,heuristic
fixed_alpha_feasibility,18,0.54,5.0,False,Infeasible_Problem_Detected,138,0.47491595900646644,5.0002361814966445,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8658007761792348,0.013726536885763323,0.09849135023904232,heuristic
fixed_alpha_feasibility,18,0.54,7.0,False,Infeasible_Problem_Detected,82,0.3015534160003881,7.000236489438783,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7882351203037983,0.01236631866510383,0.14521749448779553,heuristic
fixed_alpha_feasibility,18,0.54,10.0,False,Infeasible_Problem_Detected,104,0.3416694159968756,10.000236228201809,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7810996759077453,0.011981006864136813,0.13433195843881807,heuristic
min_alpha,24,0.72,nan,False,Infeasible_Problem_Detected,63,0.21676504200149793,85.3082413224224,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5922619053300273,0.0073919541811845605,4.6423988136812255e-05,heuristic
fixed_alpha_feasibility,24,0.72,3.0,False,Infeasible_Problem_Detected,160,0.5584437919969787,3.000263154741092,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7773066398130304,0.008923919244611849,0.13577457427614292,heuristic
fixed_alpha_feasibility,24,0.72,4.0,False,Infeasible_Problem_Detected,129,0.4728280420022202,4.0002602315958775,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.787491615030481,0.008748379965023284,0.07717967951727789,heuristic
fixed_alpha_feasibility,24,0.72,5.0,False,Infeasible_Problem_Detected,129,0.45289908300037496,5.000258612656931,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7641237972659748,0.00829063504524939,0.07532952580959473,heuristic
