method,input_source,condition,seed,planning_time_type,available,step,timestamp,mean_relative_error,max_relative_std,m_hat,k_hat,b_r_hat,m_relative_error,k_relative_error,b_r_relative_error,m_std,k_std,b_r_std
windowed_nls_current,true_state_diagnostic,clean,101,first_confidence_threshold,True,10,0.1,0.14534561308184937,0.03232634020019432,1.1991493923168235,382.6075278585968,12.859794894483906,0.000708839735980386,0.14976104920311817,0.28556695030644963,0.0029044874009241566,9.109053941776995,0.4157101046638088
windowed_nls_current,true_state_diagnostic,clean,101,first_valid_window,True,10,0.1,0.14534561308184937,0.03232634020019432,1.1991493923168235,382.6075278585968,12.859794894483906,0.000708839735980386,0.14976104920311817,0.28556695030644963,0.0029044874009241566,9.109053941776995,0.4157101046638088
windowed_nls_current,true_state_diagnostic,clean,101,fixed_2s_diagnostic,True,200,2.0,0.010896565801820206,0.0003621216324627459,1.2000376394758672,450.27773869344895,17.423259586577675,3.136622988934394e-05,0.0006171970965532283,0.03204113407901805,3.094764473132168e-05,0.01458498812540534,0.006309339204313695
windowed_nls_current,true_state_diagnostic,clean,101,t0_nominal,True,0,0.0,0.24722222222222223,nan,0.95,360.0,12.0,0.20833333333333334,0.2,0.3333333333333333,nan,nan,nan
windowed_nls_huber,true_state_diagnostic,clean,101.0,first_confidence_threshold,True,30.0,0.3,0.030906740179372758,0.18412972850256537,1.1687500301629963,438.7501409427397,17.24977994015934,0.0260416415308364,0.02499968679391183,0.04167889221337005,0.002917710922084039,32.73586035763728,3.176197297110537
windowed_nls_huber,true_state_diagnostic,clean,101.0,first_valid_window,True,10.0,0.1,0.12361670884478326,0.6117722260783955,1.0750000809492115,405.0016543218212,14.999630335270682,0.10416659920899038,0.09999632372928621,0.16668720359607322,0.019145063657221184,165.56868674554133,9.176357240561575
windowed_nls_huber,true_state_diagnostic,clean,101.0,fixed_2s_diagnostic,True,200.0,2.0,2.3594884919242034e-07,1.0361018743315945e-06,1.1999997615818323,449.9999141786988,17.999994267886706,1.9868180637742466e-07,1.9071400263075905e-07,3.1845073856907726e-07,1.4397960826955816e-08,1.1350233686536054e-05,1.8649827798915373e-05
windowed_nls_huber,true_state_diagnostic,clean,101.0,t0_nominal,True,0.0,0.0,0.24722222222222223,nan,0.95,360.0,12.0,0.20833333333333334,0.2,0.3333333333333333,nan,nan,nan
windowed_nls_cauchy,true_state_diagnostic,clean,101.0,first_confidence_threshold,True,30.0,0.3,0.03090674015074521,0.16747977572566505,1.1687500301626776,438.75014092861267,17.249779942275087,0.026041641531101927,0.024999686825305185,0.04167889209582852,0.0029125408334374067,29.71670967697512,2.888989276049307
windowed_nls_cauchy,true_state_diagnostic,clean,101.0,first_valid_window,True,10.0,0.1,0.1236167087544221,0.5437904845541801,1.0750000809480134,405.0016542633639,14.99963034250645,0.10416659920998883,0.09999632385919136,0.16668720319408614,0.019192845391031114,147.1122374289279,8.156656252085165
windowed_nls_cauchy,true_state_diagnostic,clean,101.0,fixed_2s_diagnostic,True,200.0,2.0,2.3594898453798224e-07,1.0361018528275455e-06,1.1999997615818363,449.99991417870467,17.999994267879103,1.986818030467556e-07,1.9071398961993207e-07,3.1845116094725904e-07,1.4397960616424554e-08,1.1350233443359115e-05,1.8649827411834737e-05
windowed_nls_cauchy,true_state_diagnostic,clean,101.0,t0_nominal,True,0.0,0.0,0.24722222222222223,nan,0.95,360.0,12.0,0.20833333333333334,0.2,0.3333333333333333,nan,nan,nan
