ks,arc_deg,w_time,ks_settle,ks_final,ks_settle_err,ks_final_err,rms,viol,r_mean,r_std,status
10,30,0.5,10.0,9.8,0.0,2.1,0.1615,0.0,0.5581,0.01144,OK
10,30,2.0,10.0,9.8,0.0,1.6,0.163,0.0,0.558,0.01276,OK
10,60,0.5,10.0,10.3,0.0,2.7,0.1616,0.0,0.5374,0.03426,OK
10,60,2.0,10.0,10.2,0.0,1.6,0.1605,0.0,0.5367,0.03643,OK
10,90,0.5,10.0,10.5,0.0,5.3,0.1599,0.0,0.526,0.04038,OK
10,90,2.0,10.0,10.3,0.0,2.5,0.1612,0.0,0.5249,0.04238,OK
30,30,0.5,27.4,46.3,8.5,54.4,0.1308,0.0,0.523,0.0029,OK
30,30,2.0,27.4,43.5,8.5,45.0,0.1333,0.0,0.5233,0.00273,OK
30,60,0.5,27.4,46.3,8.5,54.4,0.1982,0.0,0.5265,0.00386,OK
30,60,2.0,27.4,43.5,8.5,45.0,0.2016,0.0,0.5267,0.00372,OK
30,90,0.5,27.4,46.3,8.5,54.4,0.2346,0.0,0.5281,0.00385,OK
30,90,2.0,27.4,43.5,8.5,45.0,0.2242,0.0,0.5279,0.00354,OK
50,30,0.5,41.7,41.7,16.6,16.6,0.1939,0.0,0.5182,0.00077,OK
50,30,2.0,41.7,41.7,16.6,16.6,0.1769,0.0,0.5176,0.00088,OK
50,60,0.5,41.7,41.7,16.6,16.6,0.2582,0.0,0.5195,0.00136,OK
50,60,2.0,41.7,41.7,16.6,16.6,0.2488,0.0,0.5192,0.0016,OK
50,90,0.5,41.7,41.7,16.6,16.6,0.2921,0.0,0.5201,0.00144,OK
50,90,2.0,41.7,41.7,16.6,16.6,0.2839,0.0,0.5199,0.00163,OK
100,30,0.5,40.6,42.8,59.4,57.2,0.149,0.0,0.5086,0.00028,OK
100,30,2.0,40.6,42.9,59.4,57.1,0.1412,0.0,0.5088,0.00022,OK
100,60,0.5,40.6,42.8,59.4,57.2,0.1436,0.0,0.5085,0.00026,OK
100,60,2.0,40.6,42.9,59.4,57.1,0.1464,0.0,0.5085,0.00033,OK
100,90,0.5,40.6,42.8,59.4,57.2,0.1426,0.0,0.5085,0.00027,OK
100,90,2.0,40.6,42.9,59.4,57.1,0.1456,0.0,0.5085,0.00028,OK
