method,condition,progress_governor_mode,progress_governor_rate_deg_s,solver_safety_mode,alpha_constraint_mode,alpha_soft_weight,omega_soft_weight,target_reached,final_theta_deg,T_reach,done_reason,theta_cmd_final_deg,theta_target_final_deg,alpha_violation_count,alpha_mean_severity,alpha_max_severity,alpha_p95_severity,omega_violation_count,omega_mean_severity,omega_max_severity,omega_p95_severity,delta_r_violation_count,delta_r_mean_severity,delta_r_max_severity,delta_r_p95_severity,F_tan_violation_count,F_rad_violation_count,mean_action_magnitude,max_action_magnitude,action_smoothness,runtime_s
baseline_cem,clean,off,nan,off,soft,1.0,0.0,True,90.14631852620893,2.06,target_reached,89.99999999971945,89.99999999971945,84,0.9707977436361845,6.4377998728048755,5.190370737879354,17,0.021314290471390853,0.4265414427484995,0.2095827413663774,0,0.0,0.0,0.0,0,0,3.9476771941154825,7.953676678512168,0.20497280707735124,34.684871749952435
baseline_cem,noise,off,nan,off,soft,1.0,0.0,True,90.21661702349557,1.8000000000000014,target_reached,89.99999999971945,89.99999999971945,66,1.0121832361354404,7.694412413161114,4.652838501469261,16,0.024626794101253274,0.44323048717652824,0.2657679427625952,0,0.0,0.0,0.0,0,0,4.135895989672286,7.839479180319609,0.2065864296509824,30.270817082957365
baseline_cem,noise_bias,off,nan,off,soft,1.0,0.0,True,90.01365991496137,2.1899999999999973,target_reached,89.99999999971945,89.99999999971945,90,1.0417673384874,7.789745762859031,4.4539534690138245,22,0.022813001406889397,0.44958339026767513,0.20869699709417136,0,0.0,0.0,0.0,0,0,3.8927163390804527,8.232650339736571,0.2055945477809949,36.78660887503065
alpha100_omega0,clean,off,nan,soft_penalty,soft,100.0,0.0,True,90.01330081092338,1.9800000000000015,target_reached,89.99999999971945,89.99999999971945,64,0.9857485354022764,7.896744286389515,6.083357683682723,22,0.03384799525175945,0.480062211413689,0.3469592700227373,0,0.0,0.0,0.0,0,0,3.7404367292113716,8.465669052466604,0.20044955850419865,33.16161304200068
alpha100_omega0,noise,off,nan,soft_penalty,soft,100.0,0.0,True,90.12119185770305,1.9300000000000015,target_reached,89.99999999971945,89.99999999971945,81,1.0773274307492755,8.332585279924945,5.242512594040663,21,0.03212047705718097,0.47217706960978867,0.3267617354998096,0,0.0,0.0,0.0,0,0,4.013675978787356,8.520423978842475,0.22639274525786146,32.78626533295028
alpha100_omega0,noise_bias,off,nan,soft_penalty,soft,100.0,0.0,True,90.25357110919407,1.8900000000000015,target_reached,89.99999999971945,89.99999999971945,64,0.9359740135066569,8.785466113021581,4.542409150657966,20,0.029798785013814864,0.44940348563491606,0.3113403373238287,0,0.0,0.0,0.0,0,0,3.9443203725638276,8.562087294258037,0.19965172347902807,31.685246833018027
alpha200_omega0,clean,off,nan,soft_penalty,soft,200.0,0.0,True,90.00098337303204,3.139999999999977,target_reached,89.99999999971945,89.99999999971945,73,0.6460521111996569,7.896744286389515,4.1734507206065246,22,0.021383336682857558,0.480062211413689,0.20220498436934536,0,0.0,0.0,0.0,0,0,2.696212978282421,8.465669052466604,0.12631877022118357,52.99939254205674
alpha200_omega0,noise,off,nan,soft_penalty,soft,200.0,0.0,True,90.07711562108182,1.9700000000000015,target_reached,89.99999999971945,89.99999999971945,69,0.9908884848349083,8.332585285676599,5.9045350889246775,21,0.03147157919580895,0.472177078601661,0.3193133443107155,0,0.0,0.0,0.0,0,0,3.8527677536791773,8.52042398041967,0.2028500649195839,33.245054207975045
alpha200_omega0,noise_bias,off,nan,soft_penalty,soft,200.0,0.0,True,90.12817354620306,1.8900000000000015,target_reached,89.99999999971945,89.99999999971945,72,1.1475535896496232,6.796319889508748,5.647811314554774,25,0.02283104256986217,0.44796378434767625,0.20353904521671282,0,0.0,0.0,0.0,0,0,4.120231800315714,8.127035660368447,0.2070678338980057,31.714477500063367
fixed_rate_15,clean,fixed_rate,15.0,off,soft,1.0,0.0,False,87.75461959686125,nan,max_time,89.99999999971945,89.99999999971945,293,1.0174674822409235,26.256584185823307,4.768022016589138,36,0.029910197349309265,1.0989866151216623,0.0,0,0.0,0.0,0.0,0,0,5.034703043459878,8.112571302592064,0.18592112169703565,135.3071073340252
