method,condition,gatekeeper_mode,gatekeeper_horizon,gatekeeper_top_k,solver_safety_mode,alpha_constraint_mode,alpha_soft_weight,target_reached,final_theta_deg,T_reach,done_reason,gatekeeper_intervention_count,gatekeeper_decision_count,gatekeeper_intervention_rate,gatekeeper_selected_rank_mean,gatekeeper_selected_rank_max,nominal_safety_score_mean,selected_safety_score_mean,nominal_task_cost_mean,selected_task_cost_mean,alpha_violation_count,alpha_mean_severity,alpha_max_severity,alpha_p95_severity,omega_violation_count,omega_mean_severity,omega_max_severity,omega_p95_severity,delta_r_violation_count,delta_r_mean_severity,delta_r_max_severity,delta_r_p95_severity,F_tan_violation_count,F_rad_violation_count,mean_action_magnitude,max_action_magnitude,action_smoothness,runtime_s
baseline_cem,clean,off,0,20,off,soft,1.0,True,90.14631852620893,2.06,target_reached,0,69,0.0,0.0,0.0,0.0,0.0,nan,nan,84,0.9707977436361845,6.4377998728048755,5.190370737879354,17,0.021314290471390853,0.4265414427484995,0.2095827413663774,0,0.0,0.0,0.0,0,0,3.9476771941154825,7.953676678512168,0.20497280707735124,34.55807766702492
baseline_cem,noise,off,0,20,off,soft,1.0,True,90.21661702349557,1.8000000000000014,target_reached,0,60,0.0,0.0,0.0,0.0,0.0,nan,nan,66,1.0121832361354404,7.694412413161114,4.652838501469261,16,0.024626794101253274,0.44323048717652824,0.2657679427625952,0,0.0,0.0,0.0,0,0,4.135895989672286,7.839479180319609,0.2065864296509824,30.45507349993568
baseline_cem,noise_bias,off,0,20,off,soft,1.0,True,90.01365991496137,2.1899999999999973,target_reached,0,73,0.0,0.0,0.0,0.0,0.0,nan,nan,90,1.0417673384874,7.789745762859031,4.4539534690138245,22,0.022813001406889397,0.44958339026767513,0.20869699709417136,0,0.0,0.0,0.0,0,0,3.8927163390804527,8.232650339736571,0.2055945477809949,37.01933083310723
runtime_filter_old,clean,off,0,20,off,soft,1.0,False,40.83310865249212,nan,max_time,0,267,0.0,0.0,0.0,0.0,0.0,nan,nan,34,0.11124995892956249,6.79075604642583,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,5.574133159554786,7.292214397690403,0.033843227989040554,136.2745185829699
runtime_filter_old,noise,off,0,20,off,soft,1.0,False,1.4072241377411678,nan,max_time,0,267,0.0,0.0,0.0,0.0,0.0,nan,nan,163,1.3173857624217047,39.96341419110296,7.539044077218884,205,0.26393434072155453,2.097957607281195,1.7881851716617412,0,0.0,0.0,0.0,0,0,5.019755481294515,7.290060387638112,0.15555737350987237,121.4882761669578
runtime_filter_old,noise_bias,off,0,20,off,soft,1.0,False,46.86675672136673,nan,max_time,0,267,0.0,0.0,0.0,0.0,0.0,nan,nan,124,0.2691667850221882,9.875332504400733,2.2370015787141133,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,5.65659344916077,7.227172051606732,0.14037019091997183,132.06035399995744
alpha100_omega0,clean,off,0,20,soft_penalty,soft,100.0,True,90.01330081092338,1.9800000000000015,target_reached,0,66,0.0,0.0,0.0,0.0,0.0,nan,nan,64,0.9857485354022764,7.896744286389515,6.083357683682723,22,0.03384799525175945,0.480062211413689,0.3469592700227373,0,0.0,0.0,0.0,0,0,3.7404367292113716,8.465669052466604,0.20044955850419865,33.39526424999349
alpha100_omega0,noise,off,0,20,soft_penalty,soft,100.0,True,90.12119185770305,1.9300000000000015,target_reached,0,65,0.0,0.0,0.0,0.0,0.0,nan,nan,81,1.0773274307492755,8.332585279924945,5.242512594040663,21,0.03212047705718097,0.47217706960978867,0.3267617354998096,0,0.0,0.0,0.0,0,0,4.013675978787356,8.520423978842475,0.22639274525786146,32.92539912497159
alpha100_omega0,noise_bias,off,0,20,soft_penalty,soft,100.0,True,90.25357110919407,1.8900000000000015,target_reached,0,63,0.0,0.0,0.0,0.0,0.0,nan,nan,64,0.9359740135066569,8.785466113021581,4.542409150657966,20,0.029798785013814864,0.44940348563491606,0.3113403373238287,0,0.0,0.0,0.0,0,0,3.9443203725638276,8.562087294258037,0.19965172347902807,31.907307957997546
alpha200_omega0,clean,off,0,20,soft_penalty,soft,200.0,True,90.00098337303204,3.139999999999977,target_reached,0,105,0.0,0.0,0.0,0.0,0.0,nan,nan,73,0.6460521111996569,7.896744286389515,4.1734507206065246,22,0.021383336682857558,0.480062211413689,0.20220498436934536,0,0.0,0.0,0.0,0,0,2.696212978282421,8.465669052466604,0.12631877022118357,53.296873667044565
