setting,factor,scale,condition,target_reached,final_theta_deg,T_reach,done_reason,rmse_theta,rmse_omega,rmse_r,rmse_r_dot,bias_theta_mean,bias_theta_std,bias_theta_final,bias_omega_mean,bias_omega_std,bias_omega_final,bias_r_mean,bias_r_std,bias_r_final,bias_r_dot_mean,bias_r_dot_std,bias_r_dot_final,m_mean,m_std,m_final,k_mean,k_std,k_final,b_r_mean,b_r_std,b_r_final,alpha_violation_count,alpha_mean_severity,alpha_p95_severity,alpha_max_severity,omega_violation_count,omega_mean_severity,omega_p95_severity,omega_max_severity,mean_action_magnitude,max_action_magnitude,action_smoothness,mean_innovation_norm,max_covariance_trace,ukf_failure_count,runtime_s
default,default,1.0,clean,True,90.14631852620893,2.06,target_reached,0.014207406232261228,0.009393297832139972,0.002464035579896003,0.0006573687609728409,0.012105730174647318,0.007436740960920086,0.0047636998280648915,-0.008980192228890285,0.00275488864240896,-0.005813205998756897,0.0022812829662561375,0.0009309637668654485,0.003163700896158644,0.0006273321317348581,0.00019607377118244652,0.0005330747548645065,1.173793573034318,0.05095604822094858,1.1727951997845183,332.08580268253144,19.805160895715257,342.00379700893745,10.287019520972684,0.728083326192903,10.272118103203592,84,0.9707977436361845,5.190370737879354,6.4377998728048755,17,0.021314290471390853,0.2095827413663774,0.4265414427484995,3.9476771941154825,7.953676678512168,0.20497280707735124,0.00725256292397194,0.0732,0,34.52377179200016
default,default,1.0,noise,True,90.21661702349557,1.8000000000000014,target_reached,0.013155256682231992,0.031172480681154014,0.004258899897734707,0.00655410866021021,0.010358012511561196,0.00835512235415834,0.002748950252827605,-0.012912267691627798,0.003545155369683543,-0.009115738193980628,0.003102723268743115,0.001800067065768121,0.005614706013468623,0.0040963534011006185,0.0022475848022762306,0.004871189356496441,1.180460556761017,0.05600425969841286,1.1863219518892882,275.07236943377217,23.768027231264295,280.1001962796519,20.04447317272636,3.206776104261436,24.330992929688875,66,1.0121832361354404,4.652838501469261,7.694412413161114,16,0.024626794101253274,0.2657679427625952,0.44323048717652824,4.135895989672286,7.839479180319609,0.2065864296509824,0.04327613675699076,0.0732,0,30.530518207999876
default,default,1.0,noise_bias,True,90.01365991496137,2.1899999999999973,target_reached,0.007270342073692134,0.025704377134933364,0.003589511432085136,0.004664360880681004,0.014874649766840518,0.004954745314464754,0.011989446299183595,-0.01645165492742355,0.0027315932075396756,-0.016075376580634494,0.004338876116092718,0.0015410800935553276,0.006098522014448462,0.0046862951594259595,0.0016462392175953832,0.00527653700074089,1.180828102144255,0.050708614800307056,1.191593287737174,301.4625813779523,15.462907744628344,306.6073683083946,21.199190310554943,4.144798877683865,26.937248309490382,90,1.0417673384874,4.4539534690138245,7.789745762859031,22,0.022813001406889397,0.20869699709417136,0.44958339026767513,3.8927163390804527,8.232650339736571,0.2055945477809949,0.038332463325926824,0.0732,0,37.0493355829999
Q_0.3,Q,0.3,clean,True,90.17680970464687,1.9000000000000015,target_reached,0.027520732679604615,0.01746595167989619,0.0031093963598107506,0.0017712956831121224,0.021233856965315635,0.01750864185138236,0.005848084548350998,-0.015596140854660974,0.007862093967816583,-0.007992706827927125,0.002755945915977959,0.0014383691474614251,0.004151349707611667,0.0016182963187070744,0.0007194545147236568,0.0013325889448243817,1.1673409223644207,0.051885640535461894,1.1606495957646583,312.0446092112124,18.84495040216889,316.1530789903268,9.681171279078937,0.9395459065205567,9.496514802537964,76,1.0686835668886874,6.041262156017382,7.707839911780903,28,0.03943572281624564,0.4013491296304188,0.5292484446103896,3.9794272983004935,8.237792513537448,0.21058321347026573,0.008298103540936151,0.0732,0,32.22259099999974
Q_0.3,Q,0.3,noise,True,90.02401451782178,1.9800000000000015,target_reached,0.02619165035126828,0.04542265087568312,0.0050877852867096725,0.005792704045406263,0.01853353823011209,0.020013293278263518,0.0031102578143521217,-0.020211782671090476,0.010950895128275618,-0.01015236072216086,0.0035757072672909793,0.0023797095297083746,0.006713086265914414,0.003320797164595439,0.002174560168432003,0.003631508493744616,1.174019071223945,0.05244187621778371,1.1687448522193062,271.77419409368935,21.43038189188906,263.7514036984027,18.598292183781666,2.480842300506575,21.319850932405107,65,0.812882381965454,3.896732142385782,8.06167297587688,23,0.021976480275809708,0.1969387873978514,0.46535417329552775,3.805856748007962,7.758487232417994,0.1891312686634376,0.044080507665302616,0.0732,0,33.047803957999804
Q_0.3,Q,0.3,noise_bias,True,90.10283699792882,1.7900000000000014,target_reached,0.021354229801784558,0.04169010050749458,0.004626945012300364,0.0060617575647710364,0.02588122004674326,0.01550204016729521,0.01196462378679218,-0.029894788623597738,0.009390455257829791,-0.02290159783559553,0.0046015963857898145,0.0023608226069018936,0.007964510310043093,0.005983887439086308,0.0019643765498531976,0.006374922283910023,1.1714396706357617,0.05526892339620295,1.1846609071783625,275.82452637392197,22.06977639495484,271.9566513620819,18.124141350073405,2.4823612103310007,20.5282301382208,71,1.130074243388847,5.4212357116128524,8.786794025625912,41,0.04797774829484902,0.27340500812233764,0.31063954218404977,4.105041617872988,8.134660181319681,0.22796634286763168,0.043594692160004285,0.0732,0,29.94214133300011
Q_3,Q,3.0,clean,True,90.15971739309774,1.9600000000000015,target_reached,0.006724993210294575,0.005477181028268521,0.0020256855680860024,9.631723902233833e-05,0.0060811678362041105,0.00287146056875778,0.0027106890920115772,-0.005402837746171134,0.0008992806408369278,-0.004415833186387737,0.0019185507553751997,0.0006499962933950328,0.0025455075738927573,1.412997418419599e-05,9.523666379951642e-05,-6.626336553696033e-05,1.1791555080200418,0.05317026008213455,1.1834943421219926,345.3514137801655,24.274463734876594,361.9002744574504,10.447582125090298,0.7686656088580921,10.357769346896024,82,1.0221539784671645,5.4649232254034015,7.093218611138699,17,0.02472404717700425,0.25775044422467897,0.4394676176672965,4.025990389655932,8.299548404155281,0.21760582260175243,0.007364446434784096,0.0732,0,33.52748620800003
Q_3,Q,3.0,noise,True,90.24527963254975,3.799999999999963,target_reached,0.004637493570562504,0.028953352055284303,0.004022648053650242,0.006373085995232708,0.0023476133808161257,0.003486068827285515,-0.0011285026843963584,-0.006740761925545005,0.0011896103376232378,-0.0061095732395647275,0.0035839223809338567,0.001257312838301245,0.004727465718573447,0.004669732044675023,0.0016662505416992837,0.005595192064784635,1.1790953837226046,0.05124968760662157,1.211482610583353,291.11351153512095,22.5460088392335,307.18695714477633,30.808949548571128,8.57923601029509,43.525820499094614,102,2.3335799418909504,14.22084903288421,71.53134148100014,23,0.01834373549284994,0.11928942059181136,1.0084628838222407,3.0264740060039372,10.512129405528896,0.28322897443119405,0.03956689173124144,0.0732,0,64.31561391700006
Q_3,Q,3.0,noise_bias,True,90.06489230420733,2.8399999999999834,target_reached,0.0028746482406995922,0.02793358762266727,0.002751941569417974,0.0040800662833420905,0.008573890764064382,0.0015823581712637814,0.010704568144165115,-0.009164087027827221,0.001723726826177196,-0.010706245063862916,0.003942658651415327,0.0009619884031486201,0.004815983715143147,0.003643512577033344,0.0014503323247629172,0.005004174150086523,1.1768679337209493,0.0674505843846862,0.9085460779148431,324.93143351542676,22.35468442764633,244.2285104739477,27.363561010806485,7.229478124631156,37.265748210035,89,0.9815519887193586,4.7761507106088725,33.37813830431602,23,0.01620482848630132,0.13508690390871142,0.42381146889266064,3.3038935110040386,8.048348865437012,0.17717021811082467,0.03770642767916794,0.0732,0,48.47079258299982
R_0.3,R,0.3,clean,True,90.14669566261743,2.06,target_reached,0.014209462300907381,0.00939372999418795,0.0024651615144239036,0.0006581564324155833,0.012107290264507733,0.007437982843027784,0.004764200848346138,-0.008980657065733805,0.002754937049642011,-0.005813613233572346,0.0022823491347414454,0.0009315133937121973,0.003165234579464431,0.0006282362064807983,0.0001960533982029367,0.0005338679048239963,1.1737919771777483,0.050955873156852044,1.1727918107233872,332.0559874177391,19.80023331025044,341.96550212861985,10.286906372223417,0.7277543081256304,10.27261468461028,84,0.9708006041831284,5.190379757443347,6.4377863406781675,17,0.021315431716915023,0.20959447349014568,0.42655950071108273,3.9476687908913344,7.953669983218265,0.20497202962393413,0.007252491633898531,0.0732,0,35.04870249999976
