method,condition,target_reached,final_theta_deg,T_reach,done_reason,alpha_violation_count,alpha_mean_severity,alpha_p90_severity,alpha_p95_severity,alpha_p99_severity,alpha_max_severity,omega_violation_count,omega_mean_severity,omega_p95_severity,omega_max_severity,delta_r_violation_count,delta_r_mean_severity,delta_r_max_severity,F_tan_violation_count,F_rad_violation_count,force_violation_count,mean_action_magnitude,max_action_magnitude,action_smoothness,cem_num_samples,cem_num_elites,cem_iterations,cem_horizon,estimator_mode,estimator_oracle,identifier_mode,identifier_oracle,oracle_prediction_params,w_action_rate,w_F_tan_rate,w_F_rad_rate,runtime_s,diagnostic_notes
baseline_mainline,clean,True,90.14631852620893,2.06,target_reached,84,0.9707977436361845,3.3881106120695774,5.190370737879354,6.017610310288631,6.4377998728048755,17,0.021314290471390853,0.2095827413663774,0.4265414427484995,0,0.0,0.0,0,0,0,3.9476771941154825,7.953676678512168,0.20497280707735124,128,16,3,18,ukf_bias,False,filtered_windowed_nls,False,False,0.0,0.0,0.0,34.95123641600003,default CEM budget with UKF-bias and filtered Windowed NLS
baseline_mainline,noise,True,90.21661702349557,1.8000000000000014,target_reached,66,1.0121832361354404,3.4520981614670454,4.652838501469261,6.990984807934064,7.694412413161114,16,0.024626794101253274,0.2657679427625952,0.44323048717652824,0,0.0,0.0,0,0,0,4.135895989672286,7.839479180319609,0.2065864296509824,128,16,3,18,ukf_bias,False,filtered_windowed_nls,False,False,0.0,0.0,0.0,30.693241500000113,default CEM budget with UKF-bias and filtered Windowed NLS
baseline_mainline,noise_bias,True,90.01365991496137,2.1899999999999973,target_reached,90,1.0417673384874,3.8416100386343928,4.4539534690138245,7.385774911270411,7.789745762859031,22,0.022813001406889397,0.20869699709417136,0.44958339026767513,0,0.0,0.0,0,0,0,3.8927163390804527,8.232650339736571,0.2055945477809949,128,16,3,18,ukf_bias,False,filtered_windowed_nls,False,False,0.0,0.0,0.0,37.429888499999834,default CEM budget with UKF-bias and filtered Windowed NLS
oracle_cem,clean,False,89.94230911866765,nan,max_time,95,0.28909804519801446,0.4184985054887596,2.159637732566805,6.31993475937966,8.381583390375368,20,0.0064943770345716285,0.0,0.40435224320067165,0,0.0,0.0,0,0,0,1.6297511675238237,8.379434910157572,0.05816831948738866,128,16,3,18,oracle_true_state,True,oracle_true_params_frozen,True,True,0.0,0.0,0.0,133.5783430419997,true state and true physical parameters for MPC prediction; CEM budget unchanged
oracle_cem,noise,False,89.94230911866765,nan,max_time,95,0.28909804519801446,0.4184985054887596,2.159637732566805,6.31993475937966,8.381583390375368,20,0.0064943770345716285,0.0,0.40435224320067165,0,0.0,0.0,0,0,0,1.6297511675238237,8.379434910157572,0.05816831948738866,128,16,3,18,oracle_true_state,True,oracle_true_params_frozen,True,True,0.0,0.0,0.0,133.67877433400008,true state and true physical parameters for MPC prediction; CEM budget unchanged
oracle_cem,noise_bias,False,89.94230911866765,nan,max_time,95,0.28909804519801446,0.4184985054887596,2.159637732566805,6.31993475937966,8.381583390375368,20,0.0064943770345716285,0.0,0.40435224320067165,0,0.0,0.0,0,0,0,1.6297511675238237,8.379434910157572,0.05816831948738866,128,16,3,18,oracle_true_state,True,oracle_true_params_frozen,True,True,0.0,0.0,0.0,133.26931204100038,true state and true physical parameters for MPC prediction; CEM budget unchanged
high_budget_cem,clean,False,-0.9230352502784898,nan,max_time,310,0.8202026138870357,3.0863116329717775,4.193970034860185,6.758946686970577,10.465998477672333,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,6.517749963233988,8.150602247188456,0.20016625258221024,256,32,5,24,ukf_bias,False,filtered_windowed_nls,False,False,0.0,0.0,0.0,549.9809472500001,"single explicit higher CEM budget: samples=256, elites=32, iterations=5, horizon=24"
high_budget_cem,noise,True,90.15169803327974,7.459999999999885,target_reached,316,0.9817724511400987,3.294424137702476,4.741065385956688,10.332540014905979,13.025282251642103,50,0.020807292761330157,0.10024190917424684,0.9769886759723165,0,0.0,0.0,0,0,0,6.003915913645977,8.019828712241035,0.2052580376981981,256,32,5,24,ukf_bias,False,filtered_windowed_nls,False,False,0.0,0.0,0.0,515.5530044999996,"single explicit higher CEM budget: samples=256, elites=32, iterations=5, horizon=24"
high_budget_cem,noise_bias,False,-1.0655943933639047,nan,max_time,266,0.7191188770774581,2.6889514071572087,3.795596227212977,6.843062094475648,10.481929002725773,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,6.513373277285682,8.051793285232135,0.19415435826967092,256,32,5,24,ukf_bias,False,filtered_windowed_nls,False,False,0.0,0.0,0.0,550.5339698340003,"single explicit higher CEM budget: samples=256, elites=32, iterations=5, horizon=24"
smooth_action_cem_diagnostic,clean,True,90.14631852620893,2.06,target_reached,84,0.9707977436361845,3.3881106120695774,5.190370737879354,6.017610310288631,6.4377998728048755,17,0.021314290471390853,0.2095827413663774,0.4265414427484995,0,0.0,0.0,0,0,0,3.9476771941154825,7.953676678512168,0.20497280707735124,128,16,3,18,ukf_bias,False,filtered_windowed_nls,False,False,0.0,0.05,1.0,35.35087937499975,"single explicit action-rate penalty: w_F_tan_rate=0.05, w_F_rad_rate=1.0"
smooth_action_cem_diagnostic,noise,True,90.21661702349557,1.8000000000000014,target_reached,66,1.0121832361354404,3.4520981614670454,4.652838501469261,6.990984807934064,7.694412413161114,16,0.024626794101253274,0.2657679427625952,0.44323048717652824,0,0.0,0.0,0,0,0,4.135895989672286,7.839479180319609,0.2065864296509824,128,16,3,18,ukf_bias,False,filtered_windowed_nls,False,False,0.0,0.05,1.0,30.74332404099914,"single explicit action-rate penalty: w_F_tan_rate=0.05, w_F_rad_rate=1.0"
smooth_action_cem_diagnostic,noise_bias,True,90.01365991496137,2.1899999999999973,target_reached,90,1.0417673384874,3.8416100386343928,4.4539534690138245,7.385774911270411,7.789745762859031,22,0.022813001406889397,0.20869699709417136,0.44958339026767513,0,0.0,0.0,0,0,0,3.8927163390804527,8.232650339736571,0.2055945477809949,128,16,3,18,ukf_bias,False,filtered_windowed_nls,False,False,0.0,0.05,1.0,37.674797250000665,"single explicit action-rate penalty: w_F_tan_rate=0.05, w_F_rad_rate=1.0"
