condition,seed,updates,first_divergence_update,first_divergence_step,shifted_previous_trajectory_ok,current_final_state_ok,failed_solution_handling_ok,metrics_current_only_ok,control_measurement_alignment_ok
clean,101,31,2,20,True,True,True,True,True
clean,102,31,2,20,True,True,True,True,True
clean,103,31,2,20,True,True,True,True,True
initial_theta_offset,101,35,4,40,True,True,True,True,True
initial_theta_offset,102,35,4,40,True,True,True,True,True
initial_theta_offset,103,35,4,40,True,True,True,True,True
noise,101,33,1,10,True,True,True,True,True
noise,102,29,1,10,True,True,True,True,True
noise,103,35,2,20,True,True,True,True,True
noise_bias,101,32,2,20,True,True,True,True,True
noise_bias,102,28,1,10,True,True,True,True,True
noise_bias,103,31,2,20,True,True,True,True,True
stronger_noise,101,28,2,20,True,True,True,True,True
stronger_noise,102,50,2,20,True,True,True,True,True
stronger_noise,103,30,1,10,True,True,True,True,True
mass_mismatch,101,56,1,10,True,True,True,True,True
mass_mismatch,102,56,1,10,True,True,True,True,True
mass_mismatch,103,56,1,10,True,True,True,True,True
parameter_mismatch_low_k,101,34,2,20,True,True,True,True,True
parameter_mismatch_low_k,102,34,2,20,True,True,True,True,True
parameter_mismatch_low_k,103,34,2,20,True,True,True,True,True
parameter_mismatch_high_k,101,30,6,60,True,True,True,True,True
parameter_mismatch_high_k,102,30,6,60,True,True,True,True,True
parameter_mismatch_high_k,103,30,6,60,True,True,True,True,True
