phase,method,condition,seed,stress_override,target_reached,final_theta_deg,T_reach,done_reason,solver_status_examples,solver_success_count,solver_failure_count,solver_failure_rate,fallback_count,fallback_rate,solve_time_mean,solve_time_max,ipopt_iterations_mean,ipopt_iterations_max,objective_mean,cost_task_mean,cost_action_mean,cost_action_rate_mean,cost_terminal_mean,cost_progress_mean,cost_alpha_slack_l1_mean,cost_alpha_slack_l2_mean,cost_state_violation_mean,dynamics_residual_max,dynamics_residual_mean,constraint_violation_max,constraint_violation_mean,alpha_violation_count,alpha_mean_severity,alpha_p95_severity,alpha_p99_severity,alpha_max_severity,alpha_clipped_max,alpha_violation_duration_s,alpha_integrated_violation,alpha_early_p95,alpha_early_max,alpha_late_p95,alpha_late_max,theta_error_initial_deg,theta_error_final_deg,theta_error_reduction_deg,pred_progress_mean_deg,pred_final_error_mean_deg,pred_alpha_abs_max,slack_mean_raw,slack_max_raw,slack_active_count_gt_1e_5,slack_active_count_gt_1e_4,slack_active_count_gt_1e_3,omega_abs_mean,omega_abs_p95,omega_abs_p99,omega_abs_max,omega_violation_count,omega_violation_mean,omega_violation_p95,omega_violation_max,delta_r_violation_count,delta_r_max_severity,force_violation_count,force_max_severity,mean_action_magnitude,max_action_magnitude,action_smoothness,action_total_variation,first_action_diff_vs_cem_mean,runtime_s
phase1_recovery,baseline_cem,initial_theta_offset,101,theta_init=0.02 rad and omega_init=-0.15 rad/s explicit run override,True,90.08902768202869,2.479999999999991,target_reached,,0,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,123,0.9117729775874196,4.142712335933389,8.16859336011227,10.764156179487744,10.565361785334897,1.23,2.270314714192675,7.898339717201569,10.764156179487744,3.563129315641896,5.780744526122982,88.8540844094578,0.08902768230923291,88.76505672714858,nan,nan,nan,nan,nan,0,0,0,0.6426570709182873,1.4314114815208634,1.632315527202489,1.6594240777312292,25,0.02348130469615928,0.23141148152086338,0.4594240777312293,0,0.0,0,0.0,4.112658913929254,8.740148734579794,0.20251891815876633,50.22469170337405,nan,42.054815415998746
phase1_recovery,nmpc_base,initial_theta_offset,101,theta_init=0.02 rad and omega_init=-0.15 rad/s explicit run override,False,89.94724859591334,nan,max_time,Solve_Succeeded,267,0,0.0,0,0.0,0.03177933910123006,0.15239024999755202,9.0561797752809,39.0,0.5963046484483501,1424.2316077579496,1.028904918791522,0.00011469334051953758,103.81507577961877,0.0,0.19366752392709463,3.312740846549155e-09,0.009984828618893118,8.083925353220833e-05,3.5272912309320163e-07,0.0003337650329053865,3.280996646498426e-06,30,0.04465204794215554,0.0,2.673539568114706,3.137920413548983,3.0297898987010656,0.3,0.35810942449608746,2.918855357276413,3.137920413548983,0.0,0.5641427482581145,88.8540844094578,0.052751403806107156,88.8013330056517,6.997571208200387,10.049532882071547,3.0001506949394074,0.00010759306884838591,0.0008044872244331457,4805,426,0,0.24585084864001283,1.1757317977015949,1.1811789561773978,1.1822906837002831,0,0.0,0.0,0.0,0,0.0,0,0.0,1.4508964622003229,7.2431965261324045,0.01955397209434216,15.662731647568068,nan,20.12229554100486
phase1_recovery,nmpc_terminal_progress,initial_theta_offset,101,theta_init=0.02 rad and omega_init=-0.15 rad/s explicit run override,False,89.94854330590518,nan,max_time,Solve_Succeeded,267,0,0.0,0,0.0,0.029539719243542192,0.1594665829979931,8.217228464419476,31.0,0.5412696970001454,1261.9289704243467,0.8286380216618855,0.00012224015892771983,191.79979426567309,0.0,7.01482611148056,0.004530008756930785,0.02165070097731517,8.184565849269845e-05,3.303143567360656e-07,0.0004547758462769558,4.735389461505104e-06,21,0.0513070804892692,0.0,2.6538748143948543,7.048532742462845,6.81630053533773,0.21,0.41148278552393897,5.05088193789328,7.048532742462845,0.0,0.7234267569556945,88.8540844094578,0.051456693814267575,88.80262771564354,6.599394252882812,7.219376768687413,11.329941796938025,0.003897125617489201,8.330032009132692,4805,390,12,0.2167915582600487,1.1722943545416664,1.1787141741473082,1.1804804938629216,0,0.0,0.0,0.0,0,0.0,0,0.0,1.2577724524382552,7.954215775804297,0.022266039712822913,17.835097809971153,nan,19.727516207996814
phase1_recovery,nmpc_progress_stage_cost,initial_theta_offset,101,theta_init=0.02 rad and omega_init=-0.15 rad/s explicit run override,False,89.90655656968923,nan,max_time,Maximum_Iterations_Exceeded; Solve_Succeeded,70,197,0.7378277153558053,0,0.0,0.24493468239713675,0.493464707993553,65.17228464419476,80.0,0.5979099079161442,1433.7693831375534,1.0289226339533526,0.00011485737051650493,103.81562664279213,0.014340651624654376,1.79601570441545,2.585010128932957e-07,0.009983591305978312,9.079666708129708e-05,8.037729677719275e-08,0.00033376501799686764,3.278206486272966e-06,36,0.04739235899718334,0.0,2.6735395846705527,3.1379203510474234,3.0297899099433225,0.36,0.38008671915741044,2.9188553739544596,3.1379203510474234,0.0,0.655160076210251,88.8540844094578,0.09344343003022419,88.76064097942758,7.026632821884615,10.059904713599826,3.0001511607627394,0.0009977865024530278,0.0015057243084022499,4805,3450,3006,0.2458174025568791,1.1757314512659782,1.181163538869964,1.182290643523904,0,0.0,0.0,0.0,0,0.0,0,0.0,1.4540001883289928,7.243196551439931,0.021382983588333928,17.127769854255476,nan,78.20515737499954
phase1_recovery,nmpc_longer_horizon,initial_theta_offset,101,theta_init=0.02 rad and omega_init=-0.15 rad/s explicit run override,False,89.9502821175842,nan,max_time,Solve_Succeeded,267,0,0.0,0,0.0,0.03653889936339943,0.1784672909998335,9.183520599250937,45.0,0.5270705527208079,1556.04166427599,1.216422493388292,0.00019913029575951128,28.973290941128294,0.0,4.403073135986338,0.0025685929503144367,0.019504602289840554,9.402701219396459e-05,4.0881488545598087e-07,0.0004798603167579518,3.309608705008017e-06,26,0.05899778661017471,0.0,2.7972927812909925,6.351154175541055,6.121786811536946,0.26,0.4731622486136012,4.672787379194433,6.351154175541055,0.0,0.5911601830683981,88.8540844094578,0.049717882135260474,88.80436652732254,10.577199134941589,4.351926405718737,10.618241907739362,0.0014676910453287786,7.618332129677038,8008,562,6,0.22654887807303742,1.17431557423844,1.1804257806598895,1.1817919968809447,0,0.0,0.0,0.0,0,0.0,0,0.0,1.3293268888230094,7.786848135170839,0.022223384343006723,17.800930858748384,nan,23.083322249993216
phase1_recovery,baseline_cem,initial_theta_offset,102,theta_init=0.02 rad and omega_init=-0.15 rad/s explicit run override,True,90.17859899916536,2.299999999999995,target_reached,,0,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,97,1.0426403412912295,5.468317306712953,7.755930335889712,8.413354049377446,8.092822142453267,0.97,2.4084991883827405,6.774649612111857,8.413354049377446,5.163432146922817,7.593853822542421,88.8540844094578,0.17859899944590535,88.6754854100119,nan,nan,nan,nan,nan,0,0,0,0.683817554530915,1.5399375782923284,1.618696822455303,1.637577795963317,39,0.04349069605898323,0.3399375782923283,0.43757779596331714,0,0.0,0,0.0,4.054914572305008,8.261953791268104,0.2257329075007458,51.91856872517153,nan,39.683853041002294
phase1_recovery,nmpc_base,initial_theta_offset,102,theta_init=0.02 rad and omega_init=-0.15 rad/s explicit run override,False,89.94724859591334,nan,max_time,Solve_Succeeded,267,0,0.0,0,0.0,0.03212625018319016,0.12656395800149767,9.0561797752809,39.0,0.5963046484483501,1424.2316077579496,1.028904918791522,0.00011469334051953758,103.81507577961877,0.0,0.19366752392709463,3.312740846549155e-09,0.009984828618893118,8.083925353220833e-05,3.5272912309320163e-07,0.0003337650329053865,3.280996646498426e-06,30,0.04465204794215554,0.0,2.673539568114706,3.137920413548983,3.0297898987010656,0.3,0.35810942449608746,2.918855357276413,3.137920413548983,0.0,0.5641427482581145,88.8540844094578,0.052751403806107156,88.8013330056517,6.997571208200387,10.049532882071547,3.0001506949394074,0.00010759306884838591,0.0008044872244331457,4805,426,0,0.24585084864001283,1.1757317977015949,1.1811789561773978,1.1822906837002831,0,0.0,0.0,0.0,0,0.0,0,0.0,1.4508964622003229,7.2431965261324045,0.01955397209434216,15.662731647568068,nan,20.24878908300161
phase1_recovery,nmpc_terminal_progress,initial_theta_offset,102,theta_init=0.02 rad and omega_init=-0.15 rad/s explicit run override,False,89.94854330590518,nan,max_time,Solve_Succeeded,267,0,0.0,0,0.0,0.031372627805092645,0.16544012499798555,8.217228464419476,31.0,0.5412696970001454,1261.9289704243467,0.8286380216618855,0.00012224015892771983,191.79979426567309,0.0,7.01482611148056,0.004530008756930785,0.02165070097731517,8.184565849269845e-05,3.303143567360656e-07,0.0004547758462769558,4.735389461505104e-06,21,0.0513070804892692,0.0,2.6538748143948543,7.048532742462845,6.81630053533773,0.21,0.41148278552393897,5.05088193789328,7.048532742462845,0.0,0.7234267569556945,88.8540844094578,0.051456693814267575,88.80262771564354,6.599394252882812,7.219376768687413,11.329941796938025,0.003897125617489201,8.330032009132692,4805,390,12,0.2167915582600487,1.1722943545416664,1.1787141741473082,1.1804804938629216,0,0.0,0.0,0.0,0,0.0,0,0.0,1.2577724524382552,7.954215775804297,0.022266039712822913,17.835097809971153,nan,20.425814333000744
phase1_recovery,nmpc_progress_stage_cost,initial_theta_offset,102,theta_init=0.02 rad and omega_init=-0.15 rad/s explicit run override,False,89.90655656968923,nan,max_time,Maximum_Iterations_Exceeded; Solve_Succeeded,70,197,0.7378277153558053,0,0.0,0.2423887053706896,0.5366585419978946,65.17228464419476,80.0,0.5979099079161442,1433.7693831375534,1.0289226339533526,0.00011485737051650493,103.81562664279213,0.014340651624654376,1.79601570441545,2.585010128932957e-07,0.009983591305978312,9.079666708129708e-05,8.037729677719275e-08,0.00033376501799686764,3.278206486272966e-06,36,0.04739235899718334,0.0,2.6735395846705527,3.1379203510474234,3.0297899099433225,0.36,0.38008671915741044,2.9188553739544596,3.1379203510474234,0.0,0.655160076210251,88.8540844094578,0.09344343003022419,88.76064097942758,7.026632821884615,10.059904713599826,3.0001511607627394,0.0009977865024530278,0.0015057243084022499,4805,3450,3006,0.2458174025568791,1.1757314512659782,1.181163538869964,1.182290643523904,0,0.0,0.0,0.0,0,0.0,0,0.0,1.4540001883289928,7.243196551439931,0.021382983588333928,17.127769854255476,nan,77.52823054200417
phase1_recovery,nmpc_longer_horizon,initial_theta_offset,102,theta_init=0.02 rad and omega_init=-0.15 rad/s explicit run override,False,89.9502821175842,nan,max_time,Solve_Succeeded,267,0,0.0,0,0.0,0.03635279681636147,0.16630454099504277,9.183520599250937,45.0,0.5270705527208079,1556.04166427599,1.216422493388292,0.00019913029575951128,28.973290941128294,0.0,4.403073135986338,0.0025685929503144367,0.019504602289840554,9.402701219396459e-05,4.0881488545598087e-07,0.0004798603167579518,3.309608705008017e-06,26,0.05899778661017471,0.0,2.7972927812909925,6.351154175541055,6.121786811536946,0.26,0.4731622486136012,4.672787379194433,6.351154175541055,0.0,0.5911601830683981,88.8540844094578,0.049717882135260474,88.80436652732254,10.577199134941589,4.351926405718737,10.618241907739362,0.0014676910453287786,7.618332129677038,8008,562,6,0.22654887807303742,1.17431557423844,1.1804257806598895,1.1817919968809447,0,0.0,0.0,0.0,0,0.0,0,0.0,1.3293268888230094,7.786848135170839,0.022223384343006723,17.800930858748384,nan,22.927407750001294
