phase,method,condition,seed,target_crossed,target_reached,actual_crossing_time,T_reach,final_theta_deg,final_theta_error_signed_deg,planner_success,planner_status,planner_solve_time_s,planner_iterations,planned_alpha_peak,planned_crossing_time,planner_terminal_crossing_margin_deg,planner_F_tan_margin,planner_F_rad_margin,planner_delta_r_margin,planner_omega_margin,tracker_solver_success_count,tracker_solver_failure_count,tracker_solver_failure_rate,fallback_count,fallback_rate,tracker_solve_time_mean,tracker_solve_time_max,tracking_error_mean,tracking_error_max,alpha_abs_mean,alpha_abs_p95,alpha_abs_p99,alpha_abs_max,alpha_p95_severity,alpha_p99_severity,alpha_max_severity,alpha_violation_duration_s,alpha_integrated_violation,alpha_clipped_max,raw_omega_p95,raw_omega_max,delta_r_violation_count,delta_r_violation_max,force_violation_count,force_violation_max,action_magnitude_mean,action_magnitude_max,action_total_variation,runtime_s
phase1_initial_theta_offset,baseline_cem,initial_theta_offset,101,True,True,2.479999999999991,2.479999999999991,90.08902768202869,0.08902768230923291,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.142712335933389,8.16859336011227,10.764156179487744,1.23,2.270314714192675,10.565361785334897,nan,nan,0,nan,0,nan,nan,nan,0.20251891815876633,42.02647741700639
phase1_initial_theta_offset,nmpc_base,initial_theta_offset,101,False,False,nan,nan,89.94724859591334,-0.052751403806107156,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,267,0,0.0,0,0.0,0.03188736065920252,0.19455379201099277,nan,nan,nan,nan,nan,nan,0.0,2.673539568114706,3.137920413548983,0.3,0.35810942449608746,3.0297898987010656,nan,nan,0,nan,0,nan,nan,nan,0.01955397209434216,20.03047687500657
phase1_initial_theta_offset,nmpc_crossing_weighted,initial_theta_offset,101,True,True,1.400000000000001,1.400000000000001,90.13903263678993,0.13903263707049013,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,47,0,0.0,0,0.0,0.035805488404064896,0.06139012500352692,nan,nan,nan,nan,nan,nan,0.7287366213657136,26.13371250099277,27.07101946794442,0.17,1.060802306078881,26.363427717214098,nan,nan,0,nan,0,nan,nan,nan,0.18755192414803484,3.01173512499372
phase1_initial_theta_offset,oracle_planner_nmpc_tracker,initial_theta_offset,101,True,True,1.8000000000000014,1.8000000000000014,90.03233129723152,0.03233129751206593,True,Solve_Succeeded,0.06132199999410659,14,2.955387145933049,1.7999999999999998,0.13513107563974858,27.831960115396694,0.5996326876665877,0.046934027686348245,0.020391673833911383,180,0,0.0,0,0.0,0.022341557033602535,0.07180041699029971,0.03756580082713233,0.08825878972971787,1.4386895750426387,2.918269452977201,2.9702385138823924,2.996437212404625,0.0,0.0,0.0,0.0,0.0,0.0,1.1821884588576026,1.1845948646919722,0,0.0,0,0.0,4.415355035110901,7.21471155146926,14.93259010010198,2.082720457998221
phase1_initial_theta_offset,oracle_planner_nmpc_tracker_with_cem_fallback,initial_theta_offset,101,True,True,1.8000000000000014,1.8000000000000014,90.03233129723152,0.03233129751206593,True,Solve_Succeeded,0.06267225000192411,14,2.955387145933049,1.7999999999999998,0.13513107563974858,27.831960115396694,0.5996326876665877,0.046934027686348245,0.020391673833911383,180,0,0.0,0,0.0,0.022429686882242096,0.06887366699811537,0.03756580082713233,0.08825878972971787,1.4386895750426387,2.918269452977201,2.9702385138823924,2.996437212404625,0.0,0.0,0.0,0.0,0.0,0.0,1.1821884588576026,1.1845948646919722,0,0.0,0,0.0,4.415355035110901,7.21471155146926,14.93259010010198,2.0846247080044122
phase1_initial_theta_offset,baseline_cem,initial_theta_offset,102,True,True,2.299999999999995,2.299999999999995,90.17859899916536,0.17859899944590535,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.468317306712953,7.755930335889712,8.413354049377446,0.97,2.4084991883827405,8.092822142453267,nan,nan,0,nan,0,nan,nan,nan,0.2257329075007458,38.958329834000324
phase1_initial_theta_offset,nmpc_base,initial_theta_offset,102,False,False,nan,nan,89.94724859591334,-0.052751403806107156,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,267,0,0.0,0,0.0,0.031847029007567536,0.128006999992067,nan,nan,nan,nan,nan,nan,0.0,2.673539568114706,3.137920413548983,0.3,0.35810942449608746,3.0297898987010656,nan,nan,0,nan,0,nan,nan,nan,0.01955397209434216,20.05091866699513
phase1_initial_theta_offset,nmpc_crossing_weighted,initial_theta_offset,102,True,True,1.400000000000001,1.400000000000001,90.13903263678993,0.13903263707049013,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,47,0,0.0,0,0.0,0.0364707004460952,0.06575566699029878,nan,nan,nan,nan,nan,nan,0.7287366213657136,26.13371250099277,27.07101946794442,0.17,1.060802306078881,26.363427717214098,nan,nan,0,nan,0,nan,nan,nan,0.18755192414803484,3.032177542001591
phase1_initial_theta_offset,oracle_planner_nmpc_tracker,initial_theta_offset,102,True,True,1.8000000000000014,1.8000000000000014,90.03233129723152,0.03233129751206593,True,Solve_Succeeded,0.06322670899680816,14,2.955387145933049,1.7999999999999998,0.13513107563974858,27.831960115396694,0.5996326876665877,0.046934027686348245,0.020391673833911383,180,0,0.0,0,0.0,0.022028764584683815,0.06609570801083464,0.03756580082713233,0.08825878972971787,1.4386895750426387,2.918269452977201,2.9702385138823924,2.996437212404625,0.0,0.0,0.0,0.0,0.0,0.0,1.1821884588576026,1.1845948646919722,0,0.0,0,0.0,4.415355035110901,7.21471155146926,14.93259010010198,2.0823877499933587
phase1_initial_theta_offset,oracle_planner_nmpc_tracker_with_cem_fallback,initial_theta_offset,102,True,True,1.8000000000000014,1.8000000000000014,90.03233129723152,0.03233129751206593,True,Solve_Succeeded,0.08439566599554382,14,2.955387145933049,1.7999999999999998,0.13513107563974858,27.831960115396694,0.5996326876665877,0.046934027686348245,0.020391673833911383,180,0,0.0,0,0.0,0.022090811051263395,0.04934154100192245,0.03756580082713233,0.08825878972971787,1.4386895750426387,2.918269452977201,2.9702385138823924,2.996437212404625,0.0,0.0,0.0,0.0,0.0,0.0,1.1821884588576026,1.1845948646919722,0,0.0,0,0.0,4.415355035110901,7.21471155146926,14.93259010010198,2.1140629589935998
