row_type,condition,method,n,target_crossed_mean,crossing_time_mean,true_alpha_p95_mean,true_alpha_p99_mean,true_alpha_max_mean,alpha_violation_duration_mean,alpha_violation_integral_mean,state_tracking_rmse_mean,crossing_time_successful_only_mean,target_crossed_oracle,target_crossed_state_contribution,target_crossed_parameter_contribution,target_crossed_full_gap,target_crossed_interaction_residual,crossing_time_oracle,crossing_time_state_contribution,crossing_time_parameter_contribution,crossing_time_full_gap,crossing_time_interaction_residual,true_alpha_p95_oracle,true_alpha_p95_state_contribution,true_alpha_p95_parameter_contribution,true_alpha_p95_full_gap,true_alpha_p95_interaction_residual,true_alpha_p99_oracle,true_alpha_p99_state_contribution,true_alpha_p99_parameter_contribution,true_alpha_p99_full_gap,true_alpha_p99_interaction_residual,true_alpha_max_oracle,true_alpha_max_state_contribution,true_alpha_max_parameter_contribution,true_alpha_max_full_gap,true_alpha_max_interaction_residual,alpha_violation_duration_oracle,alpha_violation_duration_state_contribution,alpha_violation_duration_parameter_contribution,alpha_violation_duration_full_gap,alpha_violation_duration_interaction_residual,alpha_violation_integral_oracle,alpha_violation_integral_state_contribution,alpha_violation_integral_parameter_contribution,alpha_violation_integral_full_gap,alpha_violation_integral_interaction_residual,state_tracking_rmse_oracle,state_tracking_rmse_state_contribution,state_tracking_rmse_parameter_contribution,state_tracking_rmse_full_gap,state_tracking_rmse_interaction_residual
method_aggregate,clean,baseline_cem,3,1.0,2.029999999999996,9.025978789779403,13.131265689434528,14.292177346800623,0.9233333333333333,2.4594919945103624,nan,2.029999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,clean,oracle_planner_tracker,3,1.0,1.7200000000000013,2.879701164892937,2.9601789521987456,3.1789462217011697,0.02,0.0019647738114378253,0.03844230222815747,1.7200000000000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,clean,state_error_only,3,1.0,1.7200000000000013,2.8796860645164855,2.960688577373224,3.1789462217011697,0.02,0.0019625666545197307,0.038668334552162724,1.7200000000000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,clean,parameter_error_only,3,1.0,2.909999999999982,3.377094142488976,6.31460555960961,6.363365804818863,0.18000000000000002,0.4112201290308313,0.6281465353017172,2.909999999999982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,clean,fixed_nominal_planner_tracker,3,0.0,nan,2.906473177238505,6.072598868811056,6.363365804818863,0.26,0.7074126314950598,2.114323275854992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,clean,full_adaptive_planner_tracker,3,1.0,3.1599999999999766,3.2580493533077877,6.1810964229453065,6.363365804818863,0.26,0.3976501426794214,0.5699819772223303,3.1599999999999766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decomposition,clean,gap_decomposition,3,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.7200000000000013,0.0,1.1899999999999806,1.4399999999999753,0.24999999999999467,2.879701164892937,-1.510037645147122e-05,0.4973929775960393,0.37834818841485074,-0.11902968880473708,2.9601789521987456,0.0005096251744785008,3.354426607410864,3.220917470746561,-0.13401876183878159,3.1789462217011697,0.0,3.1844195831176934,3.1844195831176934,0.0,0.02,0.0,0.16000000000000003,0.24000000000000002,0.07999999999999999,0.0019647738114378253,-2.2071569180945674e-06,0.4092553552193935,0.39568536886798356,-0.013567779194491814,0.03844230222815747,0.0002260323240052542,0.5897042330735597,0.5315396749941729,-0.058390590403392006
method_aggregate,initial_theta_offset,baseline_cem,3,1.0,2.1266666666666625,7.832268267540216,10.916972189485891,12.141630817359792,1.0333333333333334,2.357152811277468,nan,2.1266666666666625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,initial_theta_offset,oracle_planner_tracker,3,1.0,1.8000000000000014,2.918269452977201,2.9702385138823924,2.9964372124046244,0.0,0.0,0.04433677921387527,1.8000000000000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,initial_theta_offset,state_error_only,3,1.0,1.7900000000000016,2.9187531879023947,2.970499951364858,2.9964372124046244,0.0,0.0,0.044185970273182634,1.7900000000000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
