case,attempt_index,arrival_time_s,sample_time_s,accepted,reason,rank,rrqr_rank,condition_number,candidate_residual_rms_nms,bound_hit,active_or_pressured_bounds,candidate_distance_to_truth_span_l2,last_valid_before_distance_to_truth_span_l2,last_valid_after_distance_to_truth_span_l2,accepted_update_movement,candidate_E_meas_nm,candidate_E_oracle_nm,last_valid_after_E_meas_nm,last_valid_after_E_oracle_nm,measurement_fit_improves_without_oracle_improvement,unconstrained_beta,candidate_beta,last_valid_after_beta
ideal_200hz,0,3.8199999999996903,3.8199999999996903,False,bound_hit,11,11,28883.667168306976,0.008066787042338715,True,"[{""index"": 10, ""name"": ""bv2_viscous_damping"", ""direction"": ""lower"", ""constrained_hit"": true, ""bound"": 2.5, ""constrained_candidate"": 2.5000000057340688, ""unconstrained_candidate"": 2.3067519512474592, ""unconstrained_violation"": 0.19324804875254076, ""unconstrained_violation_fraction_of_span"": 0.03864960975050815, ""constrained_distance_to_bound"": 5.734068775353762e-09}]",0.7036113191667671,0.46038359121476413,0.46038359121476413,not_accepted,2.876208756650999,0.9608293324998307,4.307376079741182,4.735718022480572,False,"[1.32313935835288, 0.21220152456625138, 0.34292848003591747, 36.50983118675713, 9.387631367696276, 10.620577919506964, 8.972451556334136, 0.6201109355643133, 1.8516878483724315, 4.916770538751625, 2.3067519512474592]","[1.3321013021811563, 0.21290105679650195, 0.33808512011566394, 36.35340791107424, 9.551227561429638, 10.591401633919892, 9.194345298076033, 0.6248594825712245, 1.7345188955278927, 4.918698031207055, 2.5000000057340688]","[1.4508174768147026, 0.19868084092008, 0.338787595728, 33.064998596820004, 7.607366586, 10.0, 10.0, 0.8726646259971648, 1.7453292519943295, 5.0, 5.0]"
ideal_200hz,1,4.319999999999777,4.319999999999777,True,accepted,11,11,21394.208873735028,0.007941779458720873,False,[],0.6630052110681068,0.46038359121476413,0.44892797591878936,toward_truth,2.649076629979651,0.796577482331573,3.943731185826062,4.321466600611448,False,"[1.5118875454089427, 0.22142193912524802, 0.3127790427821677, 36.382348970322404, 9.635902883491205, 10.912829005263214, 9.521046117300429, 0.5946286385279509, 1.597038536048129, 5.040911176264429, 2.575919882119806]","[1.5118875454089427, 0.22142193912524802, 0.3127790427821677, 36.382348970322404, 9.635902883491205, 10.912829005263214, 9.521046117300429, 0.5946286385279509, 1.597038536048129, 5.040911176264429, 2.575919882119806]","[1.4569244836741266, 0.2009549507405968, 0.3361867404334168, 33.396733634170246, 7.810220215749121, 10.091282900526322, 9.952104611730043, 0.8448610272502434, 1.7305001803997095, 5.004091117626443, 4.85]"
ideal_200hz,2,4.819999999999944,4.819999999999944,False,bound_hit,11,11,18075.42790263137,0.0104763128381089,True,"[{""index"": 1, ""name"": ""b_distal_inertia_combination"", ""direction"": ""upper"", ""constrained_hit"": true, ""bound"": 0.29802126138012003, ""constrained_candidate"": 0.2980212613610931, ""unconstrained_candidate"": 0.35268609316790067, ""unconstrained_violation"": 0.05466483178778064, ""unconstrained_violation_fraction_of_span"": 0.27513891895479614, ""constrained_distance_to_bound"": 1.90269466848747e-11}]",0.7487971934429872,0.44892797591878936,0.44892797591878936,not_accepted,2.491008382900492,0.6590594742382765,3.92105478998026,4.324635985303041,False,"[1.479632099260523, 0.35268609316790067, 0.27769959331828203, 35.726329174971895, 10.864403431745268, 10.521216022729236, 11.046079172726447, 0.9014586522794305, 0.5756357669106769, 4.886143831816072, 4.784274218493153]","[1.3868978445981215, 0.2980212613610931, 0.3167850341759176, 35.612895717442655, 11.017733918603362, 10.468007611233457, 11.300124421657207, 0.9314867079277194, 0.4733992044605848, 4.875950931295232, 4.89445317436172]","[1.4569244836741266, 0.2009549507405968, 0.3361867404334168, 33.396733634170246, 7.810220215749121, 10.091282900526322, 9.952104611730043, 0.8448610272502434, 1.7305001803997095, 5.004091117626443, 4.85]"
ideal_200hz,3,5.320000000000111,5.320000000000111,False,bound_hit,11,11,12353.116184610439,0.011474347377928377,True,"[{""index"": 1, ""name"": ""b_distal_inertia_combination"", ""direction"": ""upper"", ""constrained_hit"": true, ""bound"": 0.29802126138012003, ""constrained_candidate"": 0.29802126134400925, ""unconstrained_candidate"": 0.34021026182954045, ""unconstrained_violation"": 0.04218900044942042, ""unconstrained_violation_fraction_of_span"": 0.21234559031482594, ""constrained_distance_to_bound"": 3.6110781032050454e-11}]",0.6629360865110189,0.44892797591878936,0.44892797591878936,not_accepted,2.362751763538922,0.5619752199049785,3.9090077341740126,4.325420950480836,False,"[1.3031971694453377, 0.34021026182954045, 0.2719252514093983, 39.60132883350252, 8.118344198560264, 10.782403300263393, 11.737862418389726, 1.8125966720159368, 3.3584205833807816, 4.5450619956885, 4.779777067305361]","[1.2140285116536793, 0.29802126134400925, 0.3114222080077115, 39.314189104107754, 8.479708227333662, 10.700160869219149, 11.666449320103856, 1.8742223740833093, 2.9843044185652308, 4.530823636549391, 4.865766381932678]","[1.4569244836741266, 0.2009549507405968, 0.3361867404334168, 33.396733634170246, 7.810220215749121, 10.091282900526322, 9.952104611730043, 0.8448610272502434, 1.7305001803997095, 5.004091117626443, 4.85]"
ideal_200hz,4,5.820000000000278,5.820000000000278,False,bound_hit,11,11,4283.872452304445,0.010552649421933336,True,"[{""index"": 1, ""name"": ""b_distal_inertia_combination"", ""direction"": ""upper"", ""constrained_hit"": true, ""bound"": 0.29802126138012003, ""constrained_candidate"": 0.2980212613356593, ""unconstrained_candidate"": 0.3290797058523668, ""unconstrained_violation"": 0.03105844447224676, ""unconstrained_violation_fraction_of_span"": 0.15632329885668297, ""constrained_distance_to_bound"": 4.4460712889105025e-11}]",0.7562560899411672,0.44892797591878936,0.44892797591878936,not_accepted,2.2591299037399195,0.4853782395941204,3.9062740402373692,4.325423265045829,False,"[1.2894918814358145, 0.3290797058523668, 0.2455876111333152, 40.11944257102168, 8.243504239806198, 10.72965931742372, 11.864191019403583, 2.3058152054860135, 3.187202996740799, 4.44931371991969, 4.745816045334983]","[1.2208820698585898, 0.2980212613356593, 0.2779775365929997, 39.87890441310819, 8.52755480640101, 10.670917405795873, 11.75299389752129, 2.341497963304577, 2.8826235865518792, 4.442208368959863, 4.830283079737828]","[1.4569244836741266, 0.2009549507405968, 0.3361867404334168, 33.396733634170246, 7.810220215749121, 10.091282900526322, 9.952104611730043, 0.8448610272502434, 1.7305001803997095, 5.004091117626443, 4.85]"
ideal_200hz,5,6.320000000000445,6.320000000000445,False,bound_hit,11,11,4020.6075150826878,0.0097381568091441,True,"[{""index"": 1, ""name"": ""b_distal_inertia_combination"", ""direction"": ""upper"", ""constrained_hit"": true, ""bound"": 0.29802126138012003, ""constrained_candidate"": 0.29802126135092666, ""unconstrained_candidate"": 0.31573236646458835, ""unconstrained_violation"": 0.017711105084468326, ""unconstrained_violation_fraction_of_span"": 0.08914349769433819, ""constrained_distance_to_bound"": 2.919336994366972e-11}]",0.669431513154284,0.44892797591878936,0.44892797591878936,not_accepted,2.162021508284646,0.4217622561550989,3.9104472077684376,4.324275465632263,False,"[1.2886575346552405, 0.31573236646458835, 0.2770195155142057, 39.591529472756925, 8.47457611116764, 10.787704404160303, 11.754266535156685, 1.9553936276759107, 2.883618100906146, 4.56245083867839, 4.835330846079575]","[1.2525446149318757, 0.29802126135092666, 0.2953177521955722, 39.52688661182521, 8.515120458961148, 10.77550598057009, 11.719157021515587, 1.9304171565769583, 2.8361258972709886, 4.563887330725456, 4.864295770536957]","[1.4569244836741266, 0.2009549507405968, 0.3361867404334168, 33.396733634170246, 7.810220215749121, 10.091282900526322, 9.952104611730043, 0.8448610272502434, 1.7305001803997095, 5.004091117626443, 4.85]"
ideal_200hz,6,6.820000000000612,6.820000000000612,True,accepted,11,11,4171.094502729844,0.009168379177458002,False,[],0.5971379738950897,0.44892797591878936,0.42987828026677305,toward_truth,2.0774196609917492,0.37293638929229245,3.5636887843298006,3.908295751093336,False,"[1.2643582107636102, 0.2949903733004459, 0.31540875204543095, 39.22988157805406, 8.541081122293141, 10.850820640971113, 11.675146477691886, 1.6202002279687653, 2.7611775638699316, 4.654545641174257, 4.908902721744741]","[1.2643582107636102, 0.2949903733004459, 0.31540875204543095, 39.22988157805406, 8.541081122293141, 10.850820640971113, 11.675146477691886, 1.6202002279687653, 2.7611775638699316, 4.654545641174257, 4.908902721744741]","[1.437667856383075, 0.2069153759681992, 0.3341089415946182, 33.980048428558625, 7.883306306403523, 10.1672366745708, 10.124408798326227, 0.9223949473220956, 1.8335679187467318, 4.969136569981224, 4.855890272174474]"
ideal_200hz,7,7.320000000000779,7.320000000000779,True,accepted,11,11,4325.189300172039,0.008740804523369096,False,[],0.5362046347806773,0.42987828026677305,0.4106220585018936,toward_truth,2.005371427600512,0.33668495647961694,3.2563781458552303,3.533384783372071,False,"[1.307737553013195, 0.28983450489505613, 0.32218409041930895, 39.3284581680391, 8.145266803663796, 11.01574983793569, 11.68561510548952, 1.3112548236422559, 3.1242023529184952, 4.767941983410947, 4.907358080066153]","[1.307737553013195, 0.28983450489505613, 0.32218409041930895, 39.3284581680391, 8.145266803663796, 11.01574983793569, 11.68561510548952, 1.3112548236422559, 3.1242023529184952, 4.767941983410947, 4.907358080066153]","[1.4246748260460869, 0.2128758011958016, 0.33291645647708723, 34.514889402506675, 7.9095023561295505, 10.252087990907288, 10.280529429042556, 0.9612809349541116, 1.9626313621639082, 4.949017111324196, 4.861037052963642]"
ideal_200hz,8,7.820000000000946,7.820000000000946,True,accepted,11,11,3827.529054825926,0.00978020392348451,False,[],0.4038190245482324,0.4106220585018936,0.3806653496353168,toward_truth,1.934754006353275,0.29693928317499396,2.987628417424687,3.1967205393809666,False,"[1.5640056922547008, 0.2807603831924206, 0.32192156209520395, 38.170241771726, 8.087460115278233, 11.461382650142847, 11.670191942723289, 0.23515129684154157, 3.14955355008496, 5.411784166016024, 4.914115933804969]","[1.5640056922547008, 0.2807603831924206, 0.32192156209520395, 38.170241771726, 8.087460115278233, 11.461382650142847, 11.670191942723289, 0.23515129684154157, 3.14955355008496, 5.411784166016024, 4.914115933804969]","[1.4386079126669482, 0.218836226423404, 0.3318169670388989, 34.88042463942861, 7.9272981320444185, 10.373017456830844, 10.419495680410629, 0.8886679711428546, 2.0813235809560133, 4.995293816793378, 4.866344941047775]"
ideal_200hz,9,8.320000000000828,8.320000000000828,True,accepted,11,11,1580.6249524429816,0.009387164607294465,False,[],0.39583790146598535,0.3806653496353168,0.35532417255129656,toward_truth,1.8770668750260109,0.2731780390932678,2.745955477161829,2.886224909911981,False,"[1.5726146070078455, 0.27652976956012876, 0.3337573661989706, 39.21247261213258, 7.7617239570676215, 11.72390738783877, 11.681267293940278, 0.9317156538609704, 3.452206743928941, 5.411867824832345, 4.897480651886549]","[1.5726146070078455, 0.27652976956012876, 0.3337573661989706, 39.21247261213258, 7.7617239570676215, 11.72390738783877, 11.681267293940278, 0.9317156538609704, 3.452206743928941, 5.411867824832345, 4.897480651886549]","[1.452008582101038, 0.22460558073707648, 0.3320110069549061, 35.31362943669901, 7.910740714546739, 10.508106449931637, 10.545672841763594, 0.8929727394146662, 2.218411897253306, 5.036951217597275, 4.8694585121316525]"
