case,alignment,quantity,bias,component_rmse,combined_rmse,peak_norm
ideal_200hz,aligned,human_q_deg,"[0.029489109177407272, 0.07803573004977901]","[0.03241157829162151, 0.08030262614477303]",0.06123325147785761,0.1423623276853969
ideal_200hz,aligned,human_dq_deg_s,"[0.0018784541179860201, 0.0038823605933590213]","[0.09621103551909746, 0.21458133969680185]",0.1662854694519811,10.36445786017693
ideal_200hz,aligned,cuff_position_mm,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,0.0
ideal_200hz,aligned,cuff_orientation_deg,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,0.0
ideal_200hz,aligned,cuff_force_n,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,0.0
ideal_200hz,aligned,cuff_moment_nm,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,0.0
ideal_200hz,aligned,robot_q_deg,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
ideal_200hz,aligned,robot_dq_deg_s,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
ideal_200hz,arrival_aligned,human_q_deg,"[0.029489109177407272, 0.07803573004977901]","[0.03241157829162151, 0.08030262614477303]",0.06123325147785761,0.1423623276853969
ideal_200hz,arrival_aligned,human_dq_deg_s,"[0.0018784541179860201, 0.0038823605933590213]","[0.09621103551909746, 0.21458133969680185]",0.1662854694519811,10.36445786017693
ideal_200hz,arrival_aligned,cuff_position_mm,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,0.0
ideal_200hz,arrival_aligned,cuff_orientation_deg,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,0.0
ideal_200hz,arrival_aligned,cuff_force_n,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,0.0
ideal_200hz,arrival_aligned,cuff_moment_nm,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,0.0
noise_200hz,aligned,human_q_deg,"[0.030739111962113277, 0.08037644524814501]","[0.1593916558067701, 0.1998300156205523]",0.18074531125832,0.7427532181212397
noise_200hz,aligned,human_dq_deg_s,"[-0.004965597725980444, -0.007372489705303752]","[1.4027743950767873, 1.7104800093650228]",1.5642119207320362,17.124710555410672
noise_200hz,aligned,cuff_position_mm,"[-0.004234429742121701, 0.0022565677932679033, 0.004057950407715232]","[0.8797386268961279, 0.10383516051904862, 1.04684416771263]",0.7917500665586864,2.889954459187532
noise_200hz,aligned,cuff_orientation_deg,"[0.0005721843755375235, 0.001191310781773164, 0.0012101857532610585]","[0.017791100447407535, 0.0828723003830607, 0.018094356735304504]",0.050039141917684354,0.3243550335020514
