         8152944 function calls in 2.642 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.001    0.000    2.652    0.265 mpc.py:853(solve)
       20    0.000    0.000    2.603    0.130 mpc.py:649(_evaluate_population)
       20    0.004    0.000    2.603    0.130 mpc.py:658(<listcomp>)
      640    0.013    0.000    2.599    0.004 mpc.py:757(_evaluate_sequence)
      650    0.060    0.000    1.865    0.003 mpc.py:376(_interaction_cost_terms)
    10400    0.007    0.000    1.502    0.000 mpc.py:197(_allocate)
    10400    0.093    0.000    1.495    0.000 cuff_allocator.py:213(allocate)
      650    0.005    0.000    1.413    0.002 mpc.py:383(<listcomp>)
    30550    0.195    0.000    0.924    0.000 estimator_v2.py:235(cuff_pose)
     9750    0.004    0.000    0.739    0.000 mpc.py:26(_step_model)
     9750    0.049    0.000    0.734    0.000 estimator_v2.py:809(step_dynamics)
      640    0.004    0.000    0.733    0.001 mpc.py:324(_rollout)
    39000    0.080    0.000    0.684    0.000 estimator_v2.py:801(continuous_dynamics)
    10400    0.084    0.000    0.674    0.000 cuff_allocator.py:131(_enrich_allocation)
    20800    0.012    0.000    0.649    0.000 cuff_allocator.py:110(_world_from_cuff_rotation)
    30700    0.076    0.000    0.536    0.000 frames.py:19(__post_init__)
    10400    0.030    0.000    0.371    0.000 cuff_allocator.py:116(cylindrical_surface_mapping)
    59800    0.137    0.000    0.337    0.000 _linalg.py:320(solve)
    20800    0.043    0.000    0.326    0.000 cuff_allocator.py:75(sagittal_allocation_matrix)
    39150    0.048    0.000    0.316    0.000 estimator_v2.py:791(inverse_dynamics)
    30700    0.021    0.000    0.304    0.000 numeric.py:2243(allclose)
     9750    0.005    0.000    0.296    0.000 mpc.py:370(_world_from_cuff_rotation)
    30700    0.137    0.000    0.222    0.000 numeric.py:2337(isclose)
   103380    0.109    0.000    0.181    0.000 _linalg.py:2575(norm)
    20800    0.089    0.000    0.180    0.000 estimator_v2.py:190(translational_jacobian_world)
    92950    0.133    0.000    0.176    0.000 _shape_base_impl.py:621(column_stack)
    39150    0.109    0.000    0.135    0.000 human.py:121(soft_limit_torque)
    39150    0.108    0.000    0.130    0.000 estimator_v2.py:75(dynamic_regressor_row)
    51350    0.017    0.000    0.104    0.000 estimator_v2.py:159(cuff_distance_m)
    90500    0.054    0.000    0.100    0.000 _linalg.py:148(_commonType)
    30700    0.047    0.000    0.099    0.000 _linalg.py:2331(det)
  1150220    0.072    0.000    0.072    0.000 {built-in method numpy.asarray}
    39000    0.041    0.000    0.062    0.000 estimator_v2.py:780(mass_matrix)
    32000    0.011    0.000    0.060    0.000 fromnumeric.py:2589(all)
   327330    0.058    0.000    0.058    0.000 {built-in method numpy.array}
