         215066 function calls in 0.118 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.001    0.000    0.118    0.012 mpc.py:849(solve)
       20    0.001    0.000    0.069    0.003 mpc.py:645(_evaluate_population)
      300    0.003    0.000    0.051    0.000 mpc.py:533(_batched_base_step)
     1200    0.018    0.000    0.048    0.000 mpc.py:486(_batched_base_continuous_dynamics)
       10    0.001    0.000    0.030    0.003 mpc.py:376(_interaction_cost_terms)
      160    0.000    0.000    0.024    0.000 mpc.py:197(_allocate)
      160    0.001    0.000    0.024    0.000 cuff_allocator.py:213(allocate)
       10    0.000    0.000    0.022    0.002 mpc.py:383(<listcomp>)
     1200    0.019    0.000    0.021    0.000 mpc.py:441(_batched_soft_limit_torque)
     2160    0.009    0.000    0.016    0.000 _linalg.py:320(solve)
       20    0.002    0.000    0.016    0.001 mpc.py:552(_batched_cuff_force_norm)
      470    0.003    0.000    0.015    0.000 estimator_v2.py:235(cuff_pose)
       10    0.000    0.000    0.013    0.001 mpc.py:345(_seed_sequence)
      150    0.000    0.000    0.011    0.000 mpc.py:26(_step_model)
      150    0.001    0.000    0.011    0.000 estimator_v2.py:809(step_dynamics)
      620    0.002    0.000    0.011    0.000 frames.py:19(__post_init__)
      120    0.000    0.000    0.011    0.000 einsumfunc.py:1057(einsum)
      120    0.011    0.000    0.011    0.000 {built-in method numpy._core._multiarray_umath.c_einsum}
      160    0.001    0.000    0.011    0.000 cuff_allocator.py:131(_enrich_allocation)
      600    0.001    0.000    0.011    0.000 estimator_v2.py:801(continuous_dynamics)
      320    0.000    0.000    0.010    0.000 cuff_allocator.py:110(_world_from_cuff_rotation)
      620    0.000    0.000    0.006    0.000 numeric.py:2243(allclose)
      750    0.001    0.000    0.006    0.000 estimator_v2.py:791(inverse_dynamics)
      160    0.000    0.000    0.006    0.000 cuff_allocator.py:116(cylindrical_surface_mapping)
      320    0.001    0.000    0.005    0.000 cuff_allocator.py:75(sagittal_allocation_matrix)
       10    0.000    0.000    0.005    0.001 mpc.py:330(_reference_arrays)
       10    0.000    0.000    0.005    0.001 mpc.py:335(<listcomp>)
      150    0.000    0.000    0.005    0.000 profile_stage4_realtime.py:64(reference)
      620    0.003    0.000    0.005    0.000 numeric.py:2337(isclose)
      150    0.000    0.000    0.005    0.000 mpc.py:370(_world_from_cuff_rotation)
      150    0.000    0.000    0.004    0.000 reference.py:184(continuous_teaching_reference)
     2780    0.002    0.000    0.003    0.000 _linalg.py:148(_commonType)
     1680    0.002    0.000    0.003    0.000 _linalg.py:2575(norm)
      150    0.000    0.000    0.003    0.000 reference.py:66(_world_from_cuff)
     1450    0.002    0.000    0.003    0.000 _shape_base_impl.py:621(column_stack)
      320    0.001    0.000    0.003    0.000 estimator_v2.py:190(translational_jacobian_world)
      750    0.002    0.000    0.003    0.000 human.py:121(soft_limit_torque)
      750    0.002    0.000    0.002    0.000 estimator_v2.py:75(dynamic_regressor_row)
    31120    0.002    0.000    0.002    0.000 {built-in method numpy.asarray}
      620    0.001    0.000    0.002    0.000 _linalg.py:2331(det)
      830    0.000    0.000    0.002    0.000 estimator_v2.py:159(cuff_distance_m)
     2800    0.001    0.000    0.002    0.000 _ufunc_config.py:440(__enter__)
      150    0.000    0.000    0.001    0.000 mpc.py:32(_inverse_model)
      680    0.000    0.000    0.001    0.000 fromnumeric.py:2589(all)
     4320    0.001    0.000    0.001    0.000 _linalg.py:123(_makearray)
     1200    0.001    0.000    0.001    0.000 numeric.py:64(zeros_like)
     1270    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      710    0.000    0.000    0.001    0.000 fromnumeric.py:89(_wrapreduction_any_all)
     5490    0.001    0.000    0.001    0.000 {built-in method numpy.array}
     9220    0.001    0.000    0.001    0.000 _linalg.py:128(isComplexType)
      600    0.001    0.000    0.001    0.000 estimator_v2.py:780(mass_matrix)
      620    0.001    0.000    0.001    0.000 _twodim_base_impl.py:163(eye)
     4940    0.001    0.000    0.001    0.000 _linalg.py:142(_realType)
     4900    0.001    0.000    0.001    0.000 {built-in method numpy.zeros}
      150    0.000    0.000    0.001    0.000 reference.py:162(continuous_teaching_joint_reference)
     3100    0.000    0.000    0.001    0.000 numeric.py:2429(<genexpr>)
     2800    0.000    0.000    0.001    0.000 _ufunc_config.py:456(__exit__)
     2800    0.001    0.000    0.001    0.000 _ufunc_config.py:430(__init__)
    16370    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
      450    0.000    0.000    0.001    0.000 _function_base_impl.py:1505(interp)
     1500    0.001    0.000    0.001    0.000 {method 'dot' of 'numpy.ndarray' objects}
      300    0.000    0.000    0.001    0.000 fromnumeric.py:69(_wrapreduction)
     2780    0.001    0.000    0.001    0.000 _linalg.py:198(_assert_stacked_square)
      800    0.000    0.000    0.001    0.000 cuff_allocator.py:64(_geometry_axes)
     1450    0.000    0.000    0.000    0.000 _shape_base_impl.py:617(_column_stack_dispatcher)
      320    0.000    0.000    0.000    0.000 cuff_allocator.py:101(_sagittal_wrench_to_world_matrix)
      150    0.000    0.000    0.000    0.000 fromnumeric.py:2241(clip)
      200    0.000    0.000    0.000    0.000 fromnumeric.py:3052(max)
       10    0.000    0.000    0.000    0.000 profile_stage4_realtime.py:34(_model)
     2450    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
      179    0.000    0.000    0.000    0.000 fromnumeric.py:51(_wrapfunc)
     2780    0.000    0.000    0.000    0.000 _linalg.py:192(_assert_stacked_2d)
     2800    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath._make_extobj}
     6570    0.000    0.000    0.000    0.000 {built-in method math.cos}
     1510    0.000    0.000    0.000    0.000 shape_base.py:208(_arrays_for_stack_dispatcher)
     1400    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
      150    0.000    0.000    0.000    0.000 fromnumeric.py:41(_wrapit)
     5590    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
     5269    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      160    0.000    0.000    0.000    0.000 _twodim_base_impl.py:245(diag)
     1500    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       40    0.000    0.000    0.000    0.000 shape_base.py:380(stack)
     3640    0.000    0.000    0.000    0.000 multiarray.py:180(concatenate)
      490    0.000    0.000    0.000    0.000 estimator_v2.py:154(cuff_offset_rad)
     2800    0.000    0.000    0.000    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
       10    0.000    0.000    0.000    0.000 numeric.py:1522(cross)
      620    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.generic' objects}
     2800    0.000    0.000    0.000    0.000 {method 'set' of '_contextvars.ContextVar' objects}
     4800    0.000    0.000    0.000    0.000 multiarray.py:383(where)
     3400    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       20    0.000    0.000    0.000    0.000 fromnumeric.py:3869(std)
     2940    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
     2180    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
     2160    0.000    0.000    0.000    0.000 {method '__array_wrap__' of 'numpy.ndarray' objects}
     3720    0.000    0.000    0.000    0.000 {built-in method math.sin}
       20    0.000    0.000    0.000    0.000 _methods.py:221(_std)
       40    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:367(broadcast_to)
      450    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.interp}
       80    0.000    0.000    0.000    0.000 fromnumeric.py:2338(sum)
       20    0.000    0.000    0.000    0.000 mpc.py:736(<listcomp>)
       40    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:340(_broadcast_to)
       20    0.000    0.000    0.000    0.000 _methods.py:151(_var)
     4940    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      150    0.000    0.000    0.000    0.000 {method 'clip' of 'numpy.ndarray' objects}
     1500    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
     2160    0.000    0.000    0.000    0.000 _linalg.py:316(_solve_dispatcher)
       30    0.000    0.000    0.000    0.000 numeric.py:1448(moveaxis)
      710    0.000    0.000    0.000    0.000 fromnumeric.py:91(<dictcomp>)
     3710    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       20    0.000    0.000    0.000    0.000 fromnumeric.py:3735(mean)
      150    0.000    0.000    0.000    0.000 _methods.py:99(_clip)
       20    0.000    0.000    0.000    0.000 _methods.py:118(_mean)
      760    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      450    0.000    0.000    0.000    0.000 _type_check_impl.py:270(iscomplexobj)
       50    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
     1680    0.000    0.000    0.000    0.000 _linalg.py:2571(_norm_dispatcher)
       10    0.000    0.000    0.000    0.000 mpc.py:92(objective_contract)
     1200    0.000    0.000    0.000    0.000 numeric.py:58(_zeros_like_dispatcher)
     1200    0.000    0.000    0.000    0.000 multiarray.py:1098(copyto)
       60    0.000    0.000    0.000    0.000 numeric.py:1386(normalize_axis_tuple)
     1389    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       30    0.000    0.000    0.000    0.000 fromnumeric.py:2477(any)
       20    0.000    0.000    0.000    0.000 shape_base.py:220(vstack)
     1220    0.000    0.000    0.000    0.000 multiarray.py:107(empty_like)
       10    0.000    0.000    0.000    0.000 <string>:2(__init__)
      300    0.000    0.000    0.000    0.000 fromnumeric.py:70(<dictcomp>)
     1300    0.000    0.000    0.000    0.000 {built-in method _operator.index}
      680    0.000    0.000    0.000    0.000 fromnumeric.py:2584(_all_dispatcher)
       10    0.000    0.000    0.000    0.000 surface_loads.py:237(__post_init__)
       20    0.000    0.000    0.000    0.000 fromnumeric.py:3190(min)
       40    0.000    0.000    0.000    0.000 _methods.py:76(_count_reduce_items)
      620    0.000    0.000    0.000    0.000 numeric.py:2239(_allclose_dispatcher)
     1010    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      620    0.000    0.000    0.000    0.000 numeric.py:2333(_isclose_dispatcher)
      620    0.000    0.000    0.000    0.000 _linalg.py:492(_unary_dispatcher)
      200    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      490    0.000    0.000    0.000    0.000 {built-in method math.atan2}
      160    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       20    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
      620    0.000    0.000    0.000    0.000 multiarray.py:690(result_type)
