setting,case,challenger_index,fit_end_time_s,reference_epoch,parameter_identification_status,active_bound_count,rank,rrqr_rank,condition_number,control_model_status,decision_time_s,decision_reason,decision_block_count,validation_duration_s,valid_measurements_accumulated_during_validation,look_count,final_delta_prior_mean_nms2,final_delta_prior_upper_nms2,final_delta_last_mean_nms2,final_delta_last_upper_nms2,oracle_improvement_vs_last_valid_nm,proposed_model_distance_to_truth_span_l2,reference_model_distance_to_truth_span_l2
primary_single_challenger_hac_lag2,ideal_200hz,0,5.380000000000131,0,identified_boundary_pressured,1,11,11,11136.55538249854,promoted,10.87999999999941,upper_bounds_below_zero_against_both_references,8,5.499999999999278,275,1,-0.6037240973397117,-0.45938988182816026,-0.6037240973397117,-0.45938988182816026,0.2859217061021644,0.4509287563919224,0.46038359121476413
primary_single_challenger_hac_lag2,ideal_200hz,1,10.87999999999941,1,identified_boundary_pressured,1,11,11,543.7443587743173,promoted,19.380000000000702,upper_bounds_below_zero_against_both_references,8,8.500000000001293,425,1,-1.1357164520261755,-0.3977673295050492,-0.6399902969893041,-0.2570985050917566,0.37715320208777303,0.40085178964290935,0.4509287563919224
primary_single_challenger_hac_lag2,ideal_200hz,2,19.380000000000702,2,identified_boundary_pressured,2,11,11,338.11039487908835,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,,180,0,,,,,,,
primary_single_challenger_hac_lag2,noise_200hz,0,5.380000000000131,0,identified_boundary_pressured,2,11,11,6513.780311950414,promoted,17.899999999998894,upper_bounds_below_zero_against_both_references,8,12.519999999998763,626,1,-0.6757850141347735,-0.4144092781376234,-0.6757850141347735,-0.4144092781376234,0.29713982304655495,0.4822195707359471,0.46038359121476413
primary_single_challenger_hac_lag2,noise_200hz,1,17.899999999998894,1,identified_boundary_pressured,2,11,11,486.67896880394505,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,,254,0,,,,,,,
primary_single_challenger_hac_lag2,noise_bias_drift_200hz,0,5.380000000000131,0,identified_boundary_pressured,2,11,11,6513.780311950414,promoted,17.899999999998894,upper_bounds_below_zero_against_both_references,8,12.519999999998763,626,1,-0.834767773053991,-0.4732692383702808,-0.834767773053991,-0.4732692383702808,0.32567511911525937,0.4700588009731886,0.46038359121476413
primary_single_challenger_hac_lag2,noise_bias_drift_200hz,1,17.899999999998894,1,identified_boundary_pressured,4,11,11,486.67896880394505,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,,254,0,,,,,,,
primary_single_challenger_hac_lag2,noise_bias_delay_200hz,0,5.350000000000121,0,identified_boundary_pressured,3,11,11,7123.980464585032,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,,398,0,,,,,,,
primary_single_challenger_hac_lag2,noise_bias_delay_100hz,0,3.829999999999689,0,identified_boundary_pressured,6,11,11,11022.749212763321,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,,448,0,,,,,,,
sensitivity_single_challenger_hac_lag3_12_to_20,ideal_200hz,0,5.380000000000131,0,identified_boundary_pressured,1,11,11,11136.55538249854,promoted,17.399999999998283,upper_bounds_below_zero_against_both_references,12,12.019999999998152,601,1,-0.5234918577756614,-0.3093383970242912,-0.5234918577756614,-0.3093383970242912,0.26692207365207476,0.4509287563919224,0.46038359121476413
sensitivity_single_challenger_hac_lag3_12_to_20,ideal_200hz,1,17.399999999998283,1,identified_boundary_pressured,1,11,11,350.4997800439677,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,,279,0,,,,,,,
sensitivity_single_challenger_hac_lag3_12_to_20,noise_200hz,0,5.380000000000131,0,identified_boundary_pressured,2,11,11,6513.780311950414,promoted,20.880000000002536,upper_bounds_below_zero_against_both_references,12,15.500000000002405,775,1,-0.6947057015928567,-0.5229650212209922,-0.6947057015928567,-0.5229650212209922,0.32109861901016856,0.4822195707359471,0.46038359121476413
sensitivity_single_challenger_hac_lag3_12_to_20,noise_200hz,1,20.880000000002536,1,identified_boundary_pressured,2,11,11,404.9368632302295,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,,105,0,,,,,,,
sensitivity_single_challenger_hac_lag3_12_to_20,noise_bias_drift_200hz,0,5.380000000000131,0,identified_boundary_pressured,2,11,11,6513.780311950414,promoted,20.880000000002536,upper_bounds_below_zero_against_both_references,12,15.500000000002405,775,1,-0.8490235481009366,-0.6111315209679017,-0.8490235481009366,-0.6111315209679017,0.3494417396917422,0.4700588009731886,0.46038359121476413
sensitivity_single_challenger_hac_lag3_12_to_20,noise_bias_drift_200hz,1,20.880000000002536,1,identified_boundary_pressured,2,11,11,404.9368632302295,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,,105,0,,,,,,,
sensitivity_single_challenger_hac_lag3_12_to_20,noise_bias_delay_200hz,0,5.350000000000121,0,identified_boundary_pressured,3,11,11,7123.980464585032,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,,398,0,,,,,,,
sensitivity_single_challenger_hac_lag3_12_to_20,noise_bias_delay_100hz,0,3.829999999999689,0,identified_boundary_pressured,6,11,11,11022.749212763321,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,,448,0,,,,,,,
sensitivity_single_challenger_moving_block_bootstrap_l2,ideal_200hz,0,5.380000000000131,0,identified_boundary_pressured,1,11,11,11136.55538249854,promoted,10.87999999999941,upper_bounds_below_zero_against_both_references,8,5.499999999999278,275,1,-0.6037240973397117,-0.5254215016833939,-0.6037240973397117,-0.5260305842183396,0.2859217061021644,0.4509287563919224,0.46038359121476413
sensitivity_single_challenger_moving_block_bootstrap_l2,ideal_200hz,1,10.87999999999941,1,identified_boundary_pressured,1,11,11,543.7443587743173,promoted,19.380000000000702,upper_bounds_below_zero_against_both_references,8,8.500000000001293,425,1,-1.1357164520261755,-0.7624642862082338,-0.6399902969893041,-0.4394727998266673,0.37715320208777303,0.40085178964290935,0.4509287563919224
sensitivity_single_challenger_moving_block_bootstrap_l2,ideal_200hz,2,19.380000000000702,2,identified_boundary_pressured,2,11,11,338.11039487908835,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,,180,0,,,,,,,
sensitivity_single_challenger_moving_block_bootstrap_l2,noise_200hz,0,5.380000000000131,0,identified_boundary_pressured,2,11,11,6513.780311950414,promoted,17.899999999998894,upper_bounds_below_zero_against_both_references,8,12.519999999998763,626,1,-0.6757850141347735,-0.5253658442602236,-0.6757850141347735,-0.5322513050721115,0.29713982304655495,0.4822195707359471,0.46038359121476413
sensitivity_single_challenger_moving_block_bootstrap_l2,noise_200hz,1,17.899999999998894,1,identified_boundary_pressured,2,11,11,486.67896880394505,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,,254,0,,,,,,,
sensitivity_single_challenger_moving_block_bootstrap_l2,noise_bias_drift_200hz,0,5.380000000000131,0,identified_boundary_pressured,2,11,11,6513.780311950414,promoted,17.899999999998894,upper_bounds_below_zero_against_both_references,8,12.519999999998763,626,1,-0.834767773053991,-0.6308938258426557,-0.834767773053991,-0.6385707009075847,0.32567511911525937,0.4700588009731886,0.46038359121476413
sensitivity_single_challenger_moving_block_bootstrap_l2,noise_bias_drift_200hz,1,17.899999999998894,1,identified_boundary_pressured,4,11,11,486.67896880394505,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,,254,0,,,,,,,
sensitivity_single_challenger_moving_block_bootstrap_l2,noise_bias_delay_200hz,0,5.350000000000121,0,identified_boundary_pressured,3,11,11,7123.980464585032,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,,398,0,,,,,,,
sensitivity_single_challenger_moving_block_bootstrap_l2,noise_bias_delay_100hz,0,3.829999999999689,0,identified_boundary_pressured,6,11,11,11022.749212763321,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,,448,0,,,,,,,
