setting,case,candidate_index,fit_end_time_s,reference_epoch,parameter_identification_status,active_bound_count,rank,rrqr_rank,condition_number,control_model_status,decision_time_s,decision_reason,decision_block_count,look_count,final_delta_prior_mean_nms2,final_delta_prior_upper_nms2,final_delta_last_mean_nms2,final_delta_last_upper_nms2,oracle_improvement_vs_last_valid_nm,proposed_model_distance_to_truth_span_l2,reference_model_distance_to_truth_span_l2
primary_hac_lag2,ideal_200hz,0,5.380000000000131,0,identified_boundary_pressured,1,11,11,11136.55538249854,promoted,10.87999999999941,upper_bounds_below_zero_against_both_references,8,1,-0.6037240973397117,-0.34730540452554987,-0.6037240973397117,-0.34730540452554987,0.2859217061021644,0.4509287563919224,0.46038359121476413
primary_hac_lag2,ideal_200hz,1,5.880000000000298,0,identified_boundary_pressured,1,11,11,6085.515416115967,rejected_superseded_reference_changed,10.87999999999941,last_valid_changed_before_candidate_decision,,0,,,,,0.30260751926649476,0.46311008627591954,0.46038359121476413
primary_hac_lag2,ideal_200hz,2,6.380000000000465,0,identified_boundary_pressured,2,11,11,3834.090506731251,rejected_superseded_reference_changed,10.87999999999941,last_valid_changed_before_candidate_decision,,0,,,,,0.3156580963455635,0.45864651267295337,0.46038359121476413
primary_hac_lag2,ideal_200hz,3,6.880000000000632,0,identified_boundary_pressured,1,11,11,4102.314831335865,rejected_superseded_reference_changed,10.87999999999941,last_valid_changed_before_candidate_decision,,0,,,,,0.3152447473412199,0.45099055506851554,0.46038359121476413
primary_hac_lag2,ideal_200hz,4,7.380000000000799,0,identified_boundary_pressured,1,11,11,4102.314831335865,rejected_superseded_reference_changed,10.87999999999941,last_valid_changed_before_candidate_decision,,0,,,,,0.36058299072916,0.4417000398331773,0.46038359121476413
primary_hac_lag2,ideal_200hz,5,7.880000000000966,0,identified_boundary_pressured,1,11,11,3601.9754836336915,rejected_superseded_reference_changed,10.87999999999941,last_valid_changed_before_candidate_decision,,0,,,,,0.4339859103721464,0.4197727286216261,0.46038359121476413
primary_hac_lag2,ideal_200hz,6,8.380000000000795,0,identified_boundary_pressured,1,11,11,1538.6282636272242,rejected_superseded_reference_changed,10.87999999999941,last_valid_changed_before_candidate_decision,,0,,,,,0.42868294115452255,0.4152412233496015,0.46038359121476413
primary_hac_lag2,ideal_200hz,7,8.880000000000518,0,identified_boundary_pressured,1,11,11,846.3552044073479,rejected_superseded_reference_changed,10.87999999999941,last_valid_changed_before_candidate_decision,,0,,,,,0.4259869559829288,0.4096728326550378,0.46038359121476413
primary_hac_lag2,ideal_200hz,8,9.38000000000024,0,identified_boundary_pressured,1,11,11,721.1484629892269,rejected_superseded_reference_changed,10.87999999999941,last_valid_changed_before_candidate_decision,,0,,,,,0.4126206687059004,0.40926399285145104,0.46038359121476413
primary_hac_lag2,ideal_200hz,9,9.879999999999963,0,identified_boundary_pressured,1,11,11,685.3749817649332,rejected_superseded_reference_changed,10.87999999999941,last_valid_changed_before_candidate_decision,,0,,,,,0.40886884340302077,0.410608892518552,0.46038359121476413
